time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/n_updates,train/learning_rate,train/approx_kl,train/clip_fraction,train/entropy_loss
602,102.53846153846153,-367.44836,4096,1,6,,,,,,,,,,
553,102.49367088607595,-362.20032,8192,2,14,2025.2140504837037,676.1695556640625,-0.008884310722351074,-0.01142462642674218,0.2,10,0.0003,0.0074176537,0.06162109375,-4.270629031211138
537,103.35,-361.403,12288,3,22,1869.0851348876954,627.7836303710938,0.1779603362083435,-0.011629045286827022,0.2,20,0.0003,0.007843364,0.07978515625,-4.264438705146313
531,104.63,-364.9046,16384,4,30,1677.1704258918762,724.058349609375,0.18107867240905762,-0.011603237774033914,0.2,30,0.0003,0.00919295,0.07255859375,-4.256025991588831
526,104.75,-365.96176,20480,5,38,1590.2123841285706,669.0454711914062,0.20168393850326538,-0.01235280434411834,0.2,40,0.0003,0.008983796,0.0925048828125,-4.247030688822269
525,104.08,-360.2596,24576,6,46,1526.6876511573792,674.3997192382812,0.10901671648025513,-0.012749060701025883,0.2,50,0.0003,0.011058083,0.1134033203125,-4.236762961000204
523,103.17,-354.76572,28672,7,54,1216.1503156661988,405.0729675292969,0.10937666893005371,-0.01575296499649994,0.2,60,0.0003,0.01181608,0.1468994140625,-4.224776224792004
522,103.17,-351.7277,32768,8,62,1264.3434201240539,524.5870361328125,0.2538788914680481,-0.014269099125522188,0.2,70,0.0003,0.010237288,0.113037109375,-4.212038577347994
521,104.48,-360.44687,36864,9,70,1308.252677345276,594.8197631835938,0.1740594506263733,-0.008350521252577892,0.2,80,0.0003,0.010219051,0.0921142578125,-4.218371465802193
520,104.17,-356.94067,40960,10,78,1323.2234029769897,538.8674926757812,0.17927950620651245,-0.011232045736323925,0.2,90,0.0003,0.013193352,0.1365234375,-4.216329890489578
520,103.81,-350.08212,45056,11,86,1052.7626746177673,404.626953125,0.2820691466331482,-0.014950837945798412,0.2,100,0.0003,0.012171801,0.1383056640625,-4.20658158659935
519,104.12,-345.76678,49152,12,94,1071.1047186851501,456.00421142578125,0.41599082946777344,-0.012295369967614534,0.2,110,0.0003,0.011815399,0.1148193359375,-4.1980069853365425
519,103.58,-343.4191,53248,13,102,1078.995985889435,572.7691650390625,0.35282301902770996,-0.010013825415808243,0.2,120,0.0003,0.01223951,0.1423828125,-4.181663758307695
