rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl
709.6701,18,6678,448.62,122880,1,,,,,,,,,,
736.0438,143,1710,443.32,245760,2,-0.05434000492095947,0.06887125651041667,0.0003,10,0.2,0.013222169131040573,-0.005981404826349414,0.26776673720868227,-4.270577845474084,0.008133831
739.07635,267,1378,446.7,368640,3,0.6353630721569061,0.08732828776041666,0.0003,20,0.2,0.009582377970218658,-0.009038561484157982,0.04938419122161577,-4.262151669760545,0.009238591
724.6002,391,1255,436.54,491520,4,0.6402832567691803,0.110078125,0.0003,30,0.2,0.04995926842093468,-0.009700136219598789,0.07742404117898938,-4.250815160771211,0.010367773
756.1193,514,1193,450.0,614400,5,0.7371379733085632,0.12855875651041668,0.0003,40,0.2,-0.006461266428232193,-0.010903117012779451,0.07750009106869887,-4.236890848030646,0.011749182
785.7869,635,1160,450.0,737280,6,0.6903212666511536,0.1420361328125,0.0003,50,0.2,0.03382260352373123,-0.011084722640219601,0.08125835673786544,-4.223454063634078,0.012689231
834.27545,759,1133,437.54,860160,7,0.718681812286377,0.15063720703125,0.0003,60,0.2,0.012013722211122513,-0.011372272229794665,0.08428579447383527,-4.213008854836225,0.012980131
848.1933,882,1113,444.86,983040,8,0.7003043591976166,0.15815266927083332,0.0003,70,0.2,0.01726619340479374,-0.011082540034609943,0.0891672164859483,-4.201484652161598,0.013458675
908.531,1006,1098,439.6,1105920,9,0.6730331778526306,0.16480712890625,0.0003,80,0.2,0.06723186373710632,-0.01098144330814345,0.10697868456928215,-4.187256731962164,0.014390537
941.25006,1128,1088,441.62,1228800,10,0.6813836395740509,0.16905110677083332,0.0003,90,0.2,0.012651026248931885,-0.011098658873255165,0.11149984624479355,-4.172912155340115,0.014647981
989.7975,1252,1079,449.22,1351680,11,0.7128445208072662,0.1775,0.0003,100,0.2,0.004351582378149033,-0.010785732730103822,0.11054939786030445,-4.154836241652569,0.015255145
1019.32306,1373,1073,444.08,1474560,12,0.6948810517787933,0.18476725260416665,0.0003,110,0.2,0.06380438059568405,-0.011478975237408425,0.11485428901854902,-4.13483626678586,0.01611911
1062.005,1494,1068,444.02,1597440,13,0.663502961397171,0.18571126302083332,0.0003,120,0.2,0.025877749547362328,-0.01088660242883634,0.12099845766827154,-4.1248267297695085,0.016160991
1055.9756,1619,1062,447.86,1720320,14,0.6532129049301147,0.19512044270833334,0.0003,130,0.2,0.01820426806807518,-0.010928597502518945,0.1263486725281109,-4.111073811277747,0.016939346
1064.9413,1744,1056,432.38,1843200,15,0.656670480966568,0.19743408203125,0.0003,140,0.2,0.03622860461473465,-0.010569503400844648,0.1367141449654203,-4.092705997551481,0.017212356
1107.1652,1868,1051,448.74,1966080,16,0.6697455048561096,0.20003580729166667,0.0003,150,0.2,0.04211588203907013,-0.0096879510182589,0.12199370729950412,-4.081522917337716,0.017727662
