time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/approx_kl
6605,18,1,122880,673.7187,450.0,,,,,,,,,,
1650,148,2,245760,750.7474,450.0,-0.007139607196380287,-0.11283469200134277,10,-4.26945736899972,0.2101488039076018,0.0003,0.2,0.08237060546875,0.00586172379553318,0.00927163
1341,274,3,368640,754.8497,450.0,-0.009790705577628008,0.47202640771865845,20,-4.260736418813467,0.062361817730416075,0.0003,0.2,0.10411865234375,-0.003741906024515629,0.010398863
1224,401,4,491520,833.02246,450.0,-0.010749947836544985,0.6381016969680786,30,-4.2493240161488455,0.05755518976584426,0.0003,0.2,0.12071370442708333,0.013409284874796867,0.011383197
1153,532,5,614400,773.78644,450.0,-0.011537789117816525,0.6217894554138184,40,-4.234781136761109,0.07983046396577265,0.0003,0.2,0.14352783203125,0.018920108675956726,0.012821427
1120,658,6,737280,779.71326,450.0,-0.011656602745830847,0.6956667006015778,50,-4.22114771746099,0.07041123337267588,0.0003,0.2,0.15410563151041667,0.04278108850121498,0.0135451155
1093,786,7,860160,804.60925,450.0,-0.011409409866476684,0.6757260262966156,60,-4.205280861904224,0.09495317633651817,0.0003,0.2,0.16284016927083333,0.02841673232614994,0.013969674
1074,914,8,983040,887.9144,428.8666666666667,-0.011793360707682344,0.7206765711307526,70,-4.188950618083278,0.07339674329666498,0.0003,0.2,0.17455078125,0.017267897725105286,0.014895809
1059,1043,9,1105920,877.219,444.8,-0.011247319746980794,0.6912029981613159,80,-4.172391912092765,0.10121764566235167,0.0003,0.2,0.1816015625,0.024185270071029663,0.0158568
1048,1172,10,1228800,888.29803,428.8666666666667,-0.011237991685508557,0.7435425817966461,90,-4.154523235534628,0.09659880669991253,0.0003,0.2,0.18316569010416667,0.0019984040409326553,0.01589912
1038,1301,11,1351680,1023.9272,450.0,-0.011649055454533179,0.7324270904064178,100,-4.140782719155153,0.09799824726350682,0.0003,0.2,0.19283854166666667,-0.004633655771613121,0.016593698
1031,1429,12,1474560,1001.97565,450.0,-0.011315952247041423,0.7965898811817169,110,-4.128023401573301,0.10603151713449431,0.0003,0.2,0.19667643229166668,-0.0045044198632240295,0.017079879
