rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss
673.64703,1,450.0,18,6726,122880,,,,,,,,,,
786.9303,2,450.0,152,1615,245760,0.0704052734375,0.02551257237792015,-0.0062944884866980525,0.008477195,0.2436089693757822,10,0.07118654251098633,0.2,0.0003,-4.2702853857477505
731.5982,3,450.0,283,1298,368640,0.09385660807291667,0.020726993680000305,-0.009314818844159163,0.009681481,0.08987172169135495,20,0.6912494003772736,0.2,0.0003,-4.260724482312798
728.4216,4,450.0,409,1200,491520,0.12430908203125,0.04182488098740578,-0.011560365639470547,0.011229432,0.09100115457889237,30,0.7444040477275848,0.2,0.0003,-4.2481801664580905
697.25385,5,406.73333333333335,533,1150,614400,0.137314453125,0.03724153712391853,-0.011916663253699274,0.011908714,0.0983385977432287,40,0.7586132735013962,0.2,0.0003,-4.236105563690265
821.17615,6,426.6666666666667,656,1123,737280,0.14905354817708333,0.01257227547466755,-0.011868430002899307,0.012885449,0.0921687397849746,50,0.7259082198143005,0.2,0.0003,-4.220226090475917
894.5323,7,450.0,780,1101,860160,0.16299560546875,0.01976311206817627,-0.012555628827358304,0.0138535835,0.09034407085254012,60,0.753327414393425,0.2,0.0003,-4.203562435135245
909.8897,8,450.0,906,1084,983040,0.171787109375,-0.008227009326219559,-0.012856392715414888,0.0145930685,0.10072562694355534,70,0.7301084995269775,0.2,0.0003,-4.187263614435991
942.4604,9,432.0,1031,1072,1105920,0.17980061848958334,0.0318601168692112,-0.012308991648654531,0.015115082,0.1096518064487221,80,0.717877596616745,0.2,0.0003,-4.17038276600341
906.095,10,411.1333333333333,1154,1064,1228800,0.18667317708333334,0.08631261438131332,-0.012610925071918851,0.015932461,0.09723314186917074,90,0.705608457326889,0.2,0.0003,-4.151440350562334
977.9929,11,425.26666666666665,1279,1056,1351680,0.1938037109375,0.041827522218227386,-0.012200597700248181,0.016740214,0.09995675724145257,100,0.7110467553138733,0.2,0.0003,-4.127128814135989
992.7272,12,417.4,1401,1051,1474560,0.1983203125,0.030174754559993744,-0.012355415258134599,0.017199373,0.09150632034482745,110,0.7376728653907776,0.2,0.0003,-4.10973121886452
1091.9287,13,439.3333333333333,1534,1040,1597440,0.20200764973958332,-0.015319421887397766,-0.011556967530129138,0.017647393,0.08852263327726784,120,0.7392858266830444,0.2,0.0003,-4.088022605255246
1018.00134,14,423.6,1660,1036,1720320,0.20704508463541665,0.016714151948690414,-0.01165042030547435,0.01825872,0.09706653136498061,130,0.6603555679321289,0.2,0.0003,-4.0751248192166285
1125.3207,15,426.93333333333334,1785,1032,1843200,0.21382242838541668,-0.005706809461116791,-0.011211403007600894,0.018702406,0.08601288446438654,140,0.7183873355388641,0.2,0.0003,-4.0545280050983035
1237.8832,16,450.0,1909,1029,1966080,0.21766276041666666,0.03524159640073776,-0.010664558448103587,0.018796613,0.08366452473938504,150,0.6968979835510254,0.2,0.0003,-4.0340533025438585
1181.3787,17,433.2,2032,1027,2088960,0.21611002604166665,0.01039581373333931,-0.010587326975710312,0.019418988,0.08352422429112873,160,0.7109061479568481,0.2,0.0003,-4.016874677563707
1244.2223,18,433.4,2159,1024,2211840,0.22616373697916667,-0.0029907207936048508,-0.010393983844672524,0.020003418,0.08700886058621109,170,0.7002359330654144,0.2,0.0003,-3.9954577392339705
1299.823,19,450.0,2284,1021,2334720,0.23266438802083333,7.251650094985962e-05,-0.010783180407906911,0.020860134,0.07718406563042662,180,0.7133115231990814,0.2,0.0003,-3.9738699659953514
1242.003,20,425.53333333333336,2409,1019,2457600,0.22666097005208333,0.04407968744635582,-0.01013033138309159,0.020475416,0.07655313993095963,190,0.6346447765827179,0.2,0.0003,-3.963289928374191
1273.5414,21,441.8666666666667,2534,1018,2580480,0.23440999348958333,0.025130905210971832,-0.009898692595791847,0.021373618,0.08105294999152345,200,0.6927230954170227,0.2,0.0003,-3.928705853695671
1288.67,22,421.6666666666667,2657,1017,2703360,0.24008463541666666,0.028033453971147537,-0.009766062837558516,0.021882836,0.07739076221565483,210,0.7196411788463593,0.2,0.0003,-3.907873749434948
