time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance
20,1,697.27795,450.0,6039,122880,,,,,,,,,,
214,2,702.9519,437.78,1146,245760,0.0003,0.1914239609629294,0.040142415364583336,-4.272488778705398,10,0.2,-0.0061972010880708694,-0.002952746653766856,0.0076932083,0.031902313232421875
406,3,732.9277,438.26,906,368640,0.0003,0.02530764223001218,0.17165771484375,-4.259148189201951,20,0.2,-0.046265002340078354,-0.023121489510873894,0.022322217,0.43142497539520264
597,4,809.87665,450.0,821,491520,0.0003,0.02526329182602543,0.32153076171875,-4.228580611223975,30,0.2,-0.08713642507791519,-0.045055425551072406,0.040932614,0.6182115972042084
795,5,794.43896,421.28,771,614400,0.0003,0.027947407574683895,0.42449869791666667,-4.190364463652173,40,0.2,-0.06778546422719955,-0.053268274998614897,0.05735341,0.6023873090744019
997,6,880.8172,446.08,739,737280,0.0003,0.03255376087278516,0.49523356119791667,-4.141427654201785,50,0.2,-0.07561331987380981,-0.053446618425671964,0.07765753,0.6159265041351318
1200,7,930.2742,439.2,716,860160,0.0003,0.0311550039111656,0.5394694010416666,-4.091540889926255,60,0.2,-0.07092578709125519,-0.057224632292115225,0.09606903,0.6227740049362183
1410,8,927.43896,434.36,697,983040,0.0003,0.031437991897328176,0.5735245768229167,-4.037488949286441,70,0.2,-0.10649866610765457,-0.05698310477397172,0.11423777,0.6409716606140137
1617,9,994.7402,444.26,683,1105920,0.0003,0.03540977333347352,0.6034554036458334,-3.968173545288543,80,0.2,-0.11945400387048721,-0.05428332604661288,0.13457808,0.6540152430534363
1827,10,1052.8329,443.72,672,1228800,0.0003,0.03294374821127955,0.6222111002604167,-3.9072557857011754,90,0.2,-0.07225354760885239,-0.054511722032245115,0.14977083,0.5975006818771362
2038,11,1056.9277,444.34,663,1351680,0.0003,0.03750825245770102,0.63562744140625,-3.8468468502288062,100,0.2,-0.09937747567892075,-0.05232530900157144,0.16511205,0.6280970573425293
2252,12,1074.7155,440.28,654,1474560,0.0003,0.03535134080792583,0.6534334309895833,-3.772723924567302,110,0.2,-0.08473007380962372,-0.05102363522084488,0.18272594,0.6531838476657867
2470,13,1135.8423,449.38,646,1597440,0.0003,0.03842489151817669,0.6597420247395833,-3.721155638558169,120,0.2,-0.07145221531391144,-0.04992357617068895,0.19432837,0.6309272050857544
2687,14,1150.947,445.16,640,1720320,0.0003,0.03631684600727264,0.67149169921875,-3.6546271242698034,130,0.2,-0.06895774602890015,-0.04920028322223516,0.21099882,0.680583119392395
2907,15,1169.6826,446.46,634,1843200,0.0003,0.03847787720439859,0.67372314453125,-3.611350829452276,140,0.2,-0.0677306205034256,-0.04786724694622838,0.2164773,0.7033555209636688
3129,16,1134.4307,437.88,628,1966080,0.0003,0.03999375969845763,0.6835563151041667,-3.5448983727271357,150,0.2,-0.050971370190382004,-0.04640834850277315,0.23479071,0.6661616265773773
3356,17,1171.1082,442.04,622,2088960,0.0003,0.04122251468953133,0.69218017578125,-3.4562182868644595,160,0.2,-0.09993342310190201,-0.04513942639823047,0.252431,0.7233599126338959
3579,18,1174.1182,447.06,617,2211840,0.0003,0.040217508767236725,0.6958943684895833,-3.3987058076262473,170,0.2,-0.053342822939157486,-0.04459385454129612,0.2613903,0.7345643043518066
3804,19,1136.3198,426.34,613,2334720,0.0003,0.041094802372463164,0.69974609375,-3.3327231975023945,180,0.2,-0.10485925525426865,-0.0438050396709635,0.2764923,0.7375566065311432
4032,20,1187.1584,440.36,609,2457600,0.0003,0.044826959277852435,0.7034130859375,-3.286699091345072,190,0.2,-0.06287167221307755,-0.04250852597001237,0.28736845,0.7761284857988358
4261,21,1168.569,425.36,605,2580480,0.0003,0.0411815990399676,0.7079679361979166,-3.212610016167164,200,0.2,-0.0693945363163948,-0.0427821640677818,0.30338866,0.7798549234867096
4521,22,1191.9191,432.86,597,2703360,0.0003,0.0417032311893369,0.70759765625,-3.172440516576171,210,0.2,-0.06326425075531006,-0.04106231344989889,0.31109124,0.7764933258295059
4748,23,1239.9491,449.28,595,2826240,0.0003,0.04053069764888884,0.7066414388020833,-3.134453102486829,220,0.2,-0.11899158358573914,-0.04043343319281121,0.31703928,0.7611174136400223
4980,24,1176.093,432.66,592,2949120,0.0003,0.04204919461949127,0.7147176106770833,-3.0430016332368055,230,0.2,-0.0946488156914711,-0.03892938443285251,0.3411883,0.7821837961673737
5209,25,1182.9336,429.58,589,3072000,0.0003,0.04698104751553425,0.7163004557291667,-2.9768839775646727,240,0.2,-0.10050735622644424,-0.03842040411360358,0.3560637,0.771554172039032
5439,26,1217.0403,432.92,587,3194880,0.0003,0.04323798567376798,0.7194759114583333,-2.909759316928685,250,0.2,-0.05509547144174576,-0.03894354149322984,0.37283945,0.7709880471229553
5673,27,1247.086,438.86,584,3317760,0.0003,0.04639909852371299,0.7201416015625,-2.836647960804403,260,0.2,-0.09570395201444626,-0.03646472163076396,0.38851804,0.7763276547193527
5906,28,1227.9146,433.8,582,3440640,0.0003,0.048959737209637144,0.71844482421875,-2.825843342654407,270,0.2,-0.09190788865089417,-0.03620252704518256,0.38738504,0.7969963699579239
6141,29,1227.7412,425.5,580,3563520,0.0003,0.05082593169553244,0.7164762369791666,-2.7799299175664784,280,0.2,-0.07583385705947876,-0.034919427500353775,0.39597735,0.7991544902324677
6378,30,1229.4448,434.28,577,3686400,0.0003,0.044175936252455965,0.7167578125,-2.6944705834860603,290,0.2,-0.025498490780591965,-0.03462115682122506,0.41178858,0.8104064017534256
6611,31,1246.3694,432.8,576,3809280,0.0003,0.04391154896540684,0.7181746419270834,-2.631635208216806,300,0.2,-0.057102397084236145,-0.03257458016635307,0.42351374,0.7900723218917847
6845,32,1212.3896,419.72,574,3932160,0.0003,0.044744099781964905,0.7177327473958334,-2.5643151912838222,310,0.2,-0.07973066717386246,-0.03130390041029993,0.44961542,0.8125088959932327
7083,33,1273.5923,433.46,572,4055040,0.0003,0.04533954086521893,0.71845703125,-2.492445047857861,320,0.2,-0.054693110287189484,-0.02964528162405865,0.46250212,0.8312250971794128
7322,34,1298.2008,437.3,570,4177920,0.0003,0.04983697008351252,0.71507568359375,-2.4319720154752336,330,0.2,-0.04832782223820686,-0.028968555162718984,0.46571273,0.8111545443534851
7560,35,1313.124,438.34,568,4300800,0.0003,0.046531555531861765,0.71636474609375,-2.3633237777091565,340,0.2,-0.011940393596887589,-0.027997677480586087,0.47939464,0.8292314559221268
7799,36,1326.1328,447.38,567,4423680,0.0003,0.0592066069880093,0.7131502278645834,-2.3758862857085963,350,0.2,-0.08026058226823807,-0.027606917223062435,0.46376604,0.8075215667486191
8041,37,1300.4142,439.7,565,4546560,0.0003,0.05862565402751595,0.7109903971354167,-2.3011216507665813,360,0.2,-0.09010569751262665,-0.026273863060826744,0.484397,0.8014147132635117
8279,38,1280.0685,426.8,563,4669440,0.0003,0.057068848488658355,0.71142822265625,-2.2442137014617525,370,0.2,-0.09262528270483017,-0.026799310023913375,0.49312332,0.8102871477603912
8521,39,1305.3989,434.22,562,4792320,0.0003,0.05855292840724966,0.7072355143229166,-2.1765789420406025,380,0.2,-0.05037655681371689,-0.024409928693179,0.5264067,0.8127026706933975
8762,40,1365.2183,450.0,560,4915200,0.0003,0.05196878770075273,0.7055094401041667,-2.118482112356772,390,0.2,-0.032226599752902985,-0.02411204797968215,0.52500737,0.8257374912500381
9003,41,1348.6499,441.3,559,5038080,0.0003,0.06019058340592892,0.69986083984375,-2.0916913325277466,400,0.2,-0.05270799621939659,-0.021871410184394334,0.52758974,0.7913483828306198
9239,42,1318.2727,433.88,558,5160960,0.0003,0.07330881728140715,0.7015616861979167,-2.073272248587261,410,0.2,-0.04859747365117073,-0.020394593776509283,0.5281209,0.7692058831453323
9480,43,1340.1282,444.4,557,5283840,0.0003,0.0611985293434797,0.6977921549479167,-2.0430386243388057,420,0.2,-0.09018123149871826,-0.02282702521051154,0.5420945,0.8096601665019989
9717,44,1302.4952,427.18,556,5406720,0.0003,0.05506043455679901,0.6970426432291666,-1.972621745467186,430,0.2,-0.04680813476443291,-0.020735470789198494,0.554385,0.8209981769323349
9992,45,1307.3766,435.54,553,5529600,0.0003,0.0629684301080609,0.6912548828125,-1.938790573105216,440,0.2,-0.054071277379989624,-0.01888360763839349,0.56198037,0.7973110973834991
10232,46,1318.3002,435.22,552,5652480,0.0003,0.06672198605485997,0.6883642578125,-1.9037444023539623,450,0.2,-0.06053654104471207,-0.01915338963321119,0.5740878,0.7987724393606186
10473,47,1340.0347,437.56,551,5775360,0.0003,0.07151908853231968,0.6851692708333333,-1.854775019797186,460,0.2,0.008692014962434769,-0.019051933537605995,0.59325165,0.8025196641683578
10709,48,1342.2635,434.04,550,5898240,0.0003,0.07155796132147467,0.6812125651041666,-1.8312675781423846,470,0.2,-0.034638117998838425,-0.016953871326513763,0.62510616,0.7932795733213425
10977,49,1300.8931,426.4,548,6021120,0.0003,0.059385735090084685,0.67693359375,-1.757665539489438,480,0.2,-0.05601531267166138,-0.018593920478081904,0.62773913,0.8192240595817566
11216,50,1318.186,437.14,547,6144000,0.0003,0.06124567930053066,0.67352294921875,-1.72190993182982,490,0.2,-0.08628328144550323,-0.015647278361963498,0.63761175,0.8246811032295227
11455,51,1317.6505,438.24,547,6266880,0.0003,0.05849466756893283,0.67190185546875,-1.6922131838587424,500,0.2,-0.04195860028266907,-0.011880181542983337,0.6617151,0.8090700954198837
11697,52,1349.196,439.56,546,6389760,0.0003,0.05942951842225739,0.6660758463541666,-1.6922277667435508,510,0.2,-0.04080270603299141,-0.015011212019756689,0.663309,0.8183037042617798
11938,53,1329.7521,439.96,545,6512640,0.0003,0.0626637312087405,0.6612923177083333,-1.6620381490637859,520,0.2,0.025059498846530914,-0.012652249282982666,0.6780082,0.821108490228653
12176,54,1364.3796,441.84,544,6635520,0.0003,0.05973448992721387,0.6543212890625,-1.6735157391925652,530,0.2,-0.04944128543138504,-0.012754759551644384,0.75350064,0.800031453371048
12418,55,1348.2897,436.1,544,6758400,0.0003,0.06843065838998882,0.6516910807291667,-1.6986952139809728,540,0.2,-0.03612622618675232,-0.01286393910641588,0.6668866,0.7949060797691345
12659,56,1361.432,438.26,543,6881280,0.0003,0.06410254704290613,0.6467805989583333,-1.64461488654837,550,0.2,-0.06100797653198242,-0.011112840978266831,0.6497861,0.8166747093200684
12900,57,1303.4003,413.44,542,7004160,0.0003,0.06506649845037221,0.6474894205729167,-1.6604635543438295,560,0.2,-0.044868841767311096,-0.013175718007193306,0.6304867,0.8122736215591431
13137,58,1321.9678,428.6,542,7127040,0.0003,0.06401082735091525,0.6459383138020833,-1.6261409810495873,570,0.2,0.001299586147069931,-0.010268432646735165,0.6442885,0.8253461718559265
13413,59,1363.8358,436.62,540,7249920,0.0003,0.07456064574211875,0.6372989908854166,-1.6531478714942933,580,0.2,-0.05741424113512039,-0.013075462530711473,0.62930083,0.7984247803688049
13656,60,1343.2909,432.86,539,7372800,0.0003,0.07001349426825376,0.6348152669270833,-1.6315565395106872,590,0.2,-0.03914310783147812,-0.010936489581678567,0.6343351,0.8055540025234222
