time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss
1,450.0,1218.2654,122880,6116,20,,,,,,,,,,
2,450.0,1202.1317,245760,1309,187,0.16793290979296824,300,-3.554442965524892,0.0002,0.19323617219924927,0.2,0.044720933,-0.01909985040355726,0.38609944661458334,0.015591733157634735
3,450.0,1220.0565,368640,1043,353,0.05758750479995797,310,-3.528240070641041,0.0002,0.4602736830711365,0.2,0.04603832,-0.02179646354240807,0.39260498046875,-0.006798906251788139
4,450.0,1211.5209,491520,949,517,0.05716986050210835,320,-3.491923259695371,0.0002,0.6103291213512421,0.2,0.048067234,-0.021541830619037985,0.4018351236979167,-0.0564279705286026
5,450.0,1271.8558,614400,901,681,0.08296176871522523,330,-3.4561877638474106,0.0002,0.6124531328678131,0.2,0.05075465,-0.02234017145468897,0.4138004557291667,0.01858655735850334
6,450.0,1288.7074,737280,873,843,0.07213228177308338,340,-3.4468956684196987,0.0002,0.6773821115493774,0.2,0.050426308,-0.021463854780940893,0.41189208984375,0.0038937050849199295
7,450.0,1282.545,860160,854,1006,0.10191968529834412,350,-3.3896569698428114,0.0002,0.6818081140518188,0.2,0.053984627,-0.021713313497220953,0.42405110677083335,-0.03239993005990982
8,450.0,1301.8583,983040,841,1168,0.10008593237653259,360,-3.3580110464120905,0.0002,0.707656592130661,0.2,0.054384273,-0.021567968107259125,0.4237288411458333,0.01648491621017456
9,450.0,1325.1509,1105920,829,1333,0.12285199102072511,370,-3.315437405879299,0.0002,0.6834564507007599,0.2,0.05711825,-0.022208112898918747,0.43402018229166667,-0.006841763854026794
10,450.0,1349.2811,1228800,821,1495,0.11561650735442526,380,-3.3018445958321294,0.0002,0.6791537404060364,0.2,0.05742509,-0.021513508906609788,0.4297257486979167,0.059862684458494186
