time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate
6061,122880,1,1521.6722,431.93333333333334,20,,,,,,,,,,
1253,245760,2,1585.4371,450.0,196,0.16974250972270966,0.5539017021656036,1120,-1.9623638638357321,0.23551344518433326,-0.008195745409963517,0.2,0.14785372,0.48134195963541665,0.0002
979,368640,3,1459.6399,420.46666666666664,376,0.08670806139707565,0.7337243854999542,1130,-1.9152721773522596,0.1212680312654023,-0.008682726817305593,0.2,0.14241168,0.47626057942708333,0.0002
897,491520,4,1512.1204,441.53333333333336,547,0.04160979762673378,0.765906423330307,1140,-1.8714926490125556,0.10966200499620754,-0.008438563195983685,0.2,0.1451634,0.47039388020833334,0.0002
855,614400,5,1507.8708,436.73333333333335,718,0.0010677501559257507,0.7799884974956512,1150,-1.7913724928100905,0.12156744903792666,-0.008610153938152508,0.2,0.15217227,0.4711433919270833,0.0002
828,737280,6,1498.2711,436.6666666666667,890,0.0034174639731645584,0.7843741923570633,1160,-1.8060442635727425,0.11280049668974243,-0.008421209311503237,0.2,0.15089522,0.4700537109375,0.0002
809,860160,7,1551.1798,436.1333333333333,1061,0.0004012845456600189,0.7465910315513611,1170,-1.937935232942303,0.12414444898080547,-0.00962553584232713,0.2,0.13772115,0.46988606770833335,0.0002
794,983040,8,1537.8873,449.73333333333335,1236,0.17857962846755981,0.7656910270452499,1180,-1.928386931475252,0.12621450519465724,-0.008599603205020685,0.2,0.14250848,0.46412760416666665,0.0002
781,1105920,9,1544.9985,450.0,1415,0.04737034812569618,0.7793093025684357,1190,-1.8653484797601898,0.12434396601393626,-0.008083255491540816,0.2,0.14648987,0.46704671223958333,0.0002
772,1228800,10,1529.7322,450.0,1590,0.0463680662214756,0.7678887695074081,1200,-1.889928960315883,0.12548819615588097,-0.008554997998829398,0.2,0.1403045,0.46876383463541665,0.0002
