time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/explained_variance
20,1,1506.3713,357.26666666666665,122880,5883,,,,,,,,,,
222,2,1524.356,365.2,245760,1105,-0.0003459282975139407,0.35040445963541667,0.2,5610,0.43878912925720215,0.9063113829208305,0.0002,0.1471922,-1.0698538175101082,-0.09745824337005615
421,3,1554.6083,383.26666666666665,368640,874,-0.0012982085647793914,0.3482999674479167,0.2,5620,-0.025802651420235634,0.08228130350085848,0.0002,0.1385239,-1.0693025759824861,0.6153919100761414
620,4,1706.9255,406.46666666666664,491520,792,-0.0005873268788733791,0.35274820963541664,0.2,5630,0.01424899697303772,0.29474394712223634,0.0002,0.15907484,-1.0784773482661694,-0.13353991508483887
822,5,1617.9551,388.0,614400,746,-0.0041584558137401475,0.35292643229166665,0.2,5640,0.02384566143155098,0.07226133704721481,0.0002,0.14462319,-1.0887071998758862,0.8268665969371796
1024,6,1571.3625,385.4,737280,719,-0.004017154802313599,0.35660481770833335,0.2,5650,0.07865539193153381,0.04236923532885461,0.0002,0.14873679,-1.095359543968613,0.8770759105682373
1229,7,1530.7659,378.2,860160,699,-0.00269308771172291,0.3586043294270833,0.2,5660,0.07544680684804916,0.04709563753238399,0.0002,0.15667495,-1.0883605883580942,0.8411283642053604
1431,8,1258.6376,310.2,983040,686,-0.0005496715498156846,0.3654630533854167,0.2,5670,0.015978004783391953,0.059160032667102014,0.0002,0.15203689,-1.086820036880672,0.8330948650836945
1637,9,1753.8667,413.73333333333335,1105920,675,-0.0033349570546821875,0.3743595377604167,0.2,5680,-0.016932040452957153,0.04955174126954868,0.0002,0.15653588,-1.1060865557255843,0.9045146405696869
1845,10,1642.4,392.6,1228800,665,-0.0006488306964183721,0.37164388020833333,0.2,5690,0.026509203016757965,0.06313117036583814,0.0002,0.15901361,-1.0961701487501463,0.6635453701019287
2052,11,1574.7491,374.3333333333333,1351680,658,-0.00400643241800329,0.3738094075520833,0.2,5700,-0.033567875623703,0.02826758322186227,0.0002,0.15349051,-1.1149375632156928,0.9065037295222282
2256,12,1609.7894,399.93333333333334,1474560,653,-0.00326220627466076,0.36733642578125,0.2,5710,-0.03589426726102829,0.0313449247892883,0.0002,0.15222715,-1.1412894043481598,0.9081779569387436
2458,13,1599.3717,404.93333333333334,1597440,649,-0.0031710981351382845,0.37132161458333335,0.2,5720,0.012764234095811844,0.03837819010971846,0.0002,0.15480341,-1.1201896330248564,0.8547583371400833
2663,14,1743.2583,419.93333333333334,1720320,645,-0.0035577240291271056,0.3706306966145833,0.2,5730,-0.018167925998568535,0.03547007771667571,0.0002,0.15909012,-1.1353752958215773,0.8994452506303787
2867,15,1615.5388,409.93333333333334,1843200,642,-0.0028722325512004925,0.3713834635416667,0.2,5740,-0.01854637637734413,0.03130156648363027,0.0002,0.15888469,-1.1138186767728377,0.8837228044867516
3070,16,1477.2045,361.06666666666666,1966080,640,-0.002138058485725196,0.365048828125,0.2,5750,0.007908797822892666,0.035520613881243814,0.0002,0.14445344,-1.1240016371229042,0.849108561873436
3278,17,1854.6425,444.73333333333335,2088960,637,-0.002860930562192152,0.36832275390625,0.2,5760,-0.03418098762631416,0.03168524052979289,0.0002,0.15941903,-1.1565666030533612,0.9198620691895485
3514,18,1575.4186,387.8,2211840,629,-0.002456980350449764,0.3683089192708333,0.2,5770,-0.019679570570588112,0.030710232913744827,0.0002,0.15151924,-1.1349777400524665,0.8878404647111893
3718,19,1567.3595,381.06666666666666,2334720,627,0.00034208636339068713,0.36670084635416667,0.2,5780,0.02591945044696331,0.04960257290259809,0.0002,0.1540452,-1.1369262526960422,0.7838335484266281
3925,20,1624.3105,401.6666666666667,2457600,626,-0.002550539206722533,0.36893147786458336,0.2,5790,0.0022547035478055477,0.03847855140247399,0.0002,0.15657473,-1.1081690391246228,0.8961126729846001
4131,21,1441.0698,373.26666666666665,2580480,624,-0.002524325715124481,0.3641788736979167,0.2,5800,0.010826838202774525,0.04545567827676981,0.0002,0.15767165,-1.1105853223924835,0.8828444108366966
4335,22,1375.272,341.2,2703360,623,-0.0024112808163135923,0.36810546875,0.2,5810,-0.0019404550548642874,0.042896485525119106,0.0002,0.1595253,-1.1308362561526397,0.899861142039299
4538,23,1366.3004,340.8666666666667,2826240,622,-0.003317795897273754,0.36783528645833335,0.2,5820,-0.03565063327550888,0.053042294647375456,0.0002,0.15336062,-1.1435640301431218,0.899112693965435
4749,24,1464.282,372.6666666666667,2949120,620,-0.002744645020017439,0.36925048828125,0.2,5830,0.0010516010224819183,0.04670087434963231,0.0002,0.1553629,-1.1627217833387355,0.8876982554793358
4955,25,1441.949,366.3333333333333,3072000,619,-0.0029545896356588247,0.3665266927083333,0.2,5840,0.06734330207109451,0.04119975465430798,0.0002,0.15384811,-1.1587381729328383,0.8887731432914734
5160,26,1492.594,375.6666666666667,3194880,619,-0.00359722381300647,0.3643668619791667,0.2,5850,0.01707465574145317,0.05498033800872994,0.0002,0.15432145,-1.134795481407394,0.8969933092594147
5365,27,1394.8075,350.46666666666664,3317760,618,-0.003492083536933327,0.3637337239583333,0.2,5860,0.01273092906922102,0.03432677984258589,0.0002,0.15141033,-1.1505553709094722,0.9213748127222061
5570,28,1518.0262,383.26666666666665,3440640,617,-0.003595922906749062,0.36584798177083333,0.2,5870,-0.03512172773480415,0.06030600931994438,0.0002,0.15665244,-1.1335677519161254,0.9008595943450928
5775,29,1628.5599,406.6666666666667,3563520,616,-0.0032382352240438194,0.36914225260416667,0.2,5880,0.02126510813832283,0.03910730007522792,0.0002,0.16011886,-1.1417714934516698,0.8743015378713608
5989,30,1417.4323,370.3333333333333,3686400,615,-0.003622177166759381,0.3641463216145833,0.2,5890,-0.024917636066675186,0.05094519894125369,0.0002,0.17212881,-1.1392233337275683,0.876956433057785
6214,31,1381.4362,385.6,3809280,612,-0.004637131388417402,0.3638126627604167,0.2,5900,0.021605348214507103,0.043048210022637555,0.0002,0.15048252,-1.1468635087429235,0.908734418451786
6420,32,1400.1255,355.1333333333333,3932160,612,-0.0020643573134293547,0.36065266927083334,0.2,5910,-0.00954805314540863,0.05084409157528019,0.0002,0.15141188,-1.1354657341788212,0.9006391391158104
6624,33,1497.4779,362.93333333333334,4055040,612,-0.004478174254290934,0.3619205729166667,0.2,5920,-0.028106659650802612,0.040435766604802366,0.0002,0.14714362,-1.144002166185528,0.9300519302487373
6828,34,1563.7291,394.0,4177920,611,-0.004349063962146526,0.3599267578125,0.2,5930,-0.009682354517281055,0.02732805135701407,0.0002,0.1481769,-1.133533851162841,0.928750641644001
7031,35,1445.1478,356.26666666666665,4300800,611,-0.0049768831695928386,0.35760498046875,0.2,5940,-0.02805335819721222,0.03365260073073538,0.0002,0.1485268,-1.1395182120768974,0.933072566986084
7236,36,1305.9019,350.6,4423680,611,-0.004004121625900249,0.36169840494791666,0.2,5950,0.010179925709962845,0.04457982131878756,0.0002,0.1439177,-1.1419973408865431,0.9048166871070862
7455,37,1279.9766,326.1333333333333,4546560,609,-0.0041800543254764,0.3517838541666667,0.2,5960,-0.0024361014366149902,0.03688332459541319,0.0002,0.13956963,-1.1869084802238892,0.935834527015686
7659,38,1256.5697,334.3333333333333,4669440,609,-0.0039747555209548105,0.36144368489583334,0.2,5970,-0.031546249985694885,0.03944507119677837,0.0002,0.1436647,-1.1765300072077662,0.9200933575630188
7863,39,1387.6587,365.26666666666665,4792320,609,-0.00392866100913731,0.36280680338541665,0.2,5980,0.06875504553318024,0.034029973254637295,0.0002,0.13943247,-1.166601124011601,0.9198305532336235
8066,40,1471.1686,388.26666666666665,4915200,609,-0.004055166182012423,0.35540445963541667,0.2,5990,-0.027565455064177513,0.035988259360028675,0.0002,0.14044824,-1.1812559098595132,0.9152995720505714
8293,41,1477.0161,370.3333333333333,5038080,607,-0.004264987398149363,0.35604654947916664,0.2,6000,-0.0077912043780088425,0.03133607862265308,0.0002,0.14180692,-1.1716286381675551,0.9109180197119713
8496,42,1477.9286,390.8666666666667,5160960,607,-0.004037892760261457,0.3554296875,0.2,6010,-0.018798207864165306,0.025632715492035156,0.0002,0.14351924,-1.165468999327471,0.9186724126338959
8700,43,1460.3464,378.3333333333333,5283840,607,-0.003495286059708936,0.3558048502604167,0.2,6020,-0.0054263826459646225,0.04774132058077763,0.0002,0.14358214,-1.1265878035345425,0.8676263839006424
8902,44,1331.3105,346.06666666666666,5406720,607,-0.0027635213459082783,0.3528955078125,0.2,6030,0.0542127750813961,0.08958769038751598,0.0002,0.14495312,-1.1396341354648272,0.7050069272518158
9100,45,1265.8625,369.6666666666667,5529600,607,-0.003685193976568068,0.3500634765625,0.2,6040,-0.0341411754488945,0.03181307631760622,0.0002,0.13934943,-1.1432404245436192,0.8830641210079193
9300,46,1187.9473,314.4,5652480,607,-0.0022160170005524073,0.3477579752604167,0.2,6050,-0.004495325963944197,0.06673754082889445,0.0002,0.14054357,-1.160151682936897,0.854058176279068
9498,47,1450.9955,396.3333333333333,5775360,607,-0.003309389927232284,0.34539632161458333,0.2,6060,0.016201302409172058,0.028981930804596535,0.0002,0.13833618,-1.1750645703698197,0.9089065492153168
9704,48,1373.1241,368.46666666666664,5898240,607,-0.00353047424824581,0.3506884765625,0.2,6070,0.014886818826198578,0.053274780332722003,0.0002,0.1510191,-1.1666287228899697,0.8809649273753166
9902,49,1532.8934,416.8666666666667,6021120,608,-0.0036792432838471238,0.35466389973958334,0.2,6080,-0.010006934404373169,0.07747661347747453,0.0002,0.148972,-1.1427076741401105,0.9044991433620453
10102,50,1247.4958,349.4,6144000,608,-0.0028597220850285036,0.3453548177083333,0.2,6090,0.01024230569601059,0.048231520460867615,0.0002,0.14280424,-1.1707145707868039,0.9167552888393402
10302,51,1364.9651,355.3333333333333,6266880,608,-0.004074184136024997,0.34976888020833335,0.2,6100,0.08528595417737961,0.03357257158731348,0.0002,0.14058806,-1.168931352145349,0.9337390437722206
10502,52,1494.9961,425.93333333333334,6389760,608,-0.0036924903901854123,0.3533634440104167,0.2,6110,-0.021812163293361664,0.03756662112736194,0.0002,0.14859088,-1.1438491361184666,0.8857712894678116
10704,53,1351.8356,363.93333333333334,6512640,608,-0.002509202191473984,0.3490730794270833,0.2,6120,0.02321692183613777,0.0405866769307886,0.0002,0.1396966,-1.1751086703905216,0.9172860011458397
10904,54,1283.4744,352.46666666666664,6635520,608,-0.004332417770974643,0.34880208333333335,0.2,6130,0.04367361590266228,0.040141989975300024,0.0002,0.13908237,-1.182356825551639,0.8902639076113701
11104,55,1417.8323,384.06666666666666,6758400,608,-0.0028880278466961802,0.34490397135416667,0.2,6140,-0.013251138851046562,0.2632285745483326,0.0002,0.1357166,-1.165709175573041,0.8036240190267563
11303,56,1321.6183,384.0,6881280,608,-0.003377148304110354,0.34562744140625,0.2,6150,-0.030712846666574478,0.038228431562492914,0.0002,0.14217357,-1.171322427522391,0.8945345133543015
11505,57,1191.128,326.0,7004160,608,-0.004119843038682423,0.3409765625,0.2,6160,0.055497560650110245,0.047766284714131566,0.0002,0.13696486,-1.1642574941925705,0.8806373253464699
11707,58,1303.5906,390.8666666666667,7127040,608,-0.0035415726710592327,0.34661783854166667,0.2,6170,-0.0023388247936964035,0.039473719114518344,0.0002,0.14248307,-1.1488472379899273,0.875848762691021
11909,59,1207.7748,374.6,7249920,608,-0.0040711523383621774,0.3418684895833333,0.2,6180,-0.0022434471175074577,0.048416576781273764,0.0002,0.13857482,-1.1645884732560565,0.921758346259594
12125,60,1153.0995,321.4,7372800,608,-0.002402421125004063,0.34357096354166666,0.2,6190,-0.011598793789744377,0.042516986568301336,0.0002,0.14571969,-1.180351983482639,0.8796836659312248
12326,61,1457.7174,387.46666666666664,7495680,608,-0.004342653877314054,0.34903564453125,0.2,6200,0.0056501757353544235,0.04086282809653918,0.0002,0.14401725,-1.1915380272362381,0.8923313841223717
12529,62,1240.1213,367.46666666666664,7618560,608,-0.002851149628644028,0.3439200846354167,0.2,6210,0.0022332128137350082,0.03422079489559716,0.0002,0.14341927,-1.1528489695799848,0.900695763528347
12729,63,1304.4185,372.53333333333336,7741440,608,-0.0035731171244060534,0.34394938151041665,0.2,6220,-0.030362950637936592,0.05096141221139381,0.0002,0.14702195,-1.180225301121051,0.8948908224701881
12933,64,1280.7238,367.26666666666665,7864320,608,-0.002867692397154921,0.3409293619791667,0.2,6230,-0.02384844422340393,0.040053095862000794,0.0002,0.13944122,-1.178426664120828,0.9059546515345573
13133,65,1232.5552,356.1333333333333,7987200,608,-0.0031690477219520593,0.34044026692708335,0.2,6240,-0.004959455691277981,0.05643598279126915,0.0002,0.1369215,-1.1940777826029807,0.8939991071820259
13334,66,1416.0776,410.46666666666664,8110080,608,-0.0029853620912717815,0.34700439453125,0.2,6250,0.06501556932926178,0.046955203563390266,0.0002,0.13964468,-1.1475773086057355,0.8690378218889236
13534,67,1282.7574,368.73333333333335,8232960,608,-0.003218224202419151,0.33929606119791667,0.2,6260,-0.009313124231994152,0.045457694548764874,0.0002,0.13915415,-1.1790942902180055,0.8898572027683258
13741,68,1303.9773,358.93333333333334,8355840,608,-0.0028158920622505927,0.340537109375,0.2,6270,-0.012911578640341759,0.045394757055064475,0.0002,0.13500871,-1.156247970800226,0.8819914236664772
13941,69,1086.9358,322.1333333333333,8478720,608,-0.0020118565112140154,0.3412931315104167,0.2,6280,-0.01837415248155594,0.045184790166304084,0.0002,0.13543853,-1.1532358904369175,0.904999390244484
14151,70,1547.152,446.06666666666666,8601600,607,-0.0032666588744602147,0.34612060546875,0.2,6290,0.039475999772548676,0.045994867354935805,0.0002,0.14235549,-1.1461738961221029,0.8821309208869934
14353,71,1351.2284,361.53333333333336,8724480,607,-0.0028531995011947704,0.33965169270833334,0.2,6300,-0.00044546276330947876,0.051183007752448856,0.0002,0.14093973,-1.146674293388302,0.887132316827774
14553,72,1308.6213,372.46666666666664,8847360,607,-0.0020585672842056133,0.33650553385416665,0.2,6310,-0.025084976106882095,0.041342415449022764,0.0002,0.13607328,-1.1320980800967664,0.8573496341705322
14753,73,1061.1217,318.53333333333336,8970240,608,-0.003825877147993803,0.33809000651041665,0.2,6320,0.010697342455387115,0.05766395503756636,0.0002,0.13705495,-1.153337985801821,0.8148962706327438
14952,74,1096.8293,343.53333333333336,9093120,608,-0.003584816075778387,0.33453938802083333,0.2,6330,0.01752307638525963,0.04606403436517212,0.0002,0.12674052,-1.1690501978900283,0.8498585671186447
15152,75,1109.8042,308.06666666666666,9216000,608,-0.0032324979625551957,0.33397867838541667,0.2,6340,-0.020613262429833412,0.04665331841699299,0.0002,0.13132331,-1.156559580291311,0.8660929054021835
15350,76,1050.5509,331.2,9338880,608,-0.005378696906397333,0.3373209635416667,0.2,6350,-0.006909681484103203,0.041757730430678444,0.0002,0.13642725,-1.1484248258328686,0.8600694537162781
15550,77,1244.7668,370.6,9461760,608,-0.002263110199874063,0.33261474609375,0.2,6360,-0.012863815762102604,0.042409480186197474,0.0002,0.13587865,-1.1619066041490684,0.8975772485136986
15750,78,1224.3995,357.3333333333333,9584640,608,-0.0020463508641720787,0.33490478515625,0.2,6370,-0.0001669286866672337,0.05028021763565448,0.0002,0.13003872,-1.140958709338059,0.8274504393339157
15950,79,1434.3259,423.73333333333335,9707520,608,-0.0025596003262156348,0.3366398111979167,0.2,6380,0.004856893792748451,0.046984401700935145,0.0002,0.13226022,-1.1246356066005925,0.9014675691723824
16151,80,1204.8381,332.1333333333333,9830400,608,-0.003270845055709894,0.3331022135416667,0.2,6390,-0.027759723365306854,0.03393796629487042,0.0002,0.12687393,-1.139157626979674,0.8970733359456062
16352,81,1259.2007,404.46666666666664,9953280,608,-0.0024482738471003056,0.32817220052083335,0.2,6400,-0.020802482962608337,0.041602364799790244,0.0002,0.13151023,-1.157080756102999,0.8793108016252518
16554,82,1044.8881,347.26666666666665,10076160,608,-0.003521150394869134,0.3277229817708333,0.2,6410,0.013585283420979977,0.04930780320954909,0.0002,0.12862484,-1.1597292643909654,0.8645597547292709
16754,83,1234.9667,364.93333333333334,10199040,608,-0.003708069085984486,0.3227132161458333,0.2,6420,-0.008045890368521214,0.04320371547759047,0.0002,0.12476912,-1.1772150931383172,0.8700752705335617
