time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/n_updates,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss
1,6555,450.0,1059.8984,18,122880,,,,,,,,,,
2,1593,450.0,1040.1648,154,245760,0.013760086,1640,0.3440830285724951,0.020472954958677292,0.5488367676734924,0.0003,-2.3785493629798293,0.2,0.13412353515625,-0.00222028579865461
3,1290,450.0,1052.5277,285,368640,0.0134525085,1650,0.13095144117755506,0.04983614385128021,0.6178655028343201,0.0003,-2.403667650508384,0.2,0.13954996744791667,-0.0025481253996501134
4,1178,450.0,1044.148,417,491520,0.012442535,1660,0.12092598003039408,0.017171213403344154,0.5447332561016083,0.0003,-2.379871821415921,0.2,0.129296875,-0.001105321035659775
5,1062,450.0,1057.0905,578,614400,0.012490792,1670,0.15003164668664493,0.1817374974489212,0.5449260771274567,0.0003,-2.347008871237437,0.2,0.12215738932291667,-0.0013068335044408741
6,1021,450.0,1074.9928,721,737280,0.010882727,1680,0.11209516416764624,0.08296074718236923,0.7203392088413239,0.0003,-2.3259714744612574,0.2,0.11961669921875,-0.00019371013496008042
7,1006,450.0,1071.4829,854,860160,0.012742235,1690,0.14177903435823586,0.018916994333267212,0.6504238545894623,0.0003,-2.33268518799295,0.2,0.11910400390625,-0.002537790749574924
8,996,450.0,1074.2775,986,983040,0.0136299115,1700,0.11188922347629462,0.05677536875009537,0.6845637857913971,0.0003,-2.345194627729555,0.2,0.11864664713541667,-0.0041087651419426646
9,988,450.0,1058.0492,1119,1105920,0.01427689,1710,0.14072707743451854,0.03698639199137688,0.5959453582763672,0.0003,-2.4961656447003286,0.2,0.13247639973958333,-0.0031823128706491843
10,959,450.0,1072.7998,1280,1228800,0.01267522,1720,0.10858188233762728,0.04301968961954117,0.6640901267528534,0.0003,-2.465772194378078,0.2,0.12104654947916667,-0.0028445313397120722
11,957,450.0,1058.4403,1411,1351680,0.014673884,1730,0.14157588227082063,0.070327527821064,0.590807318687439,0.0003,-2.4466126209000745,0.2,0.12946207682291666,-0.0029974218912502694
12,956,450.0,1072.7515,1541,1474560,0.013747949,1740,0.14803550696728052,0.06161236763000488,0.5613448619842529,0.0003,-2.4331623416393997,0.2,0.12312093098958334,-0.002934813387594962
13,954,450.0,1070.3918,1673,1597440,0.012685472,1750,0.11201538433262613,0.06838606297969818,0.6642103791236877,0.0003,-2.4116870955129466,0.2,0.12107340494791667,-0.0023153491700577435
14,952,450.0,1054.3838,1806,1720320,0.013355177,1760,0.1524611518890985,0.05195576697587967,0.5795573592185974,0.0003,-2.3884291370461384,0.2,0.11704508463541667,-0.002175852036913663
15,950,450.0,1037.6027,1939,1843200,0.012025448,1770,0.11960502979706993,0.040582798421382904,0.6457561254501343,0.0003,-2.408082189473013,0.2,0.11484944661458334,-0.001419537019822504
16,948,450.0,1027.921,2072,1966080,0.012693692,1780,0.1813491186350196,0.013150574639439583,0.44986802339553833,0.0003,-2.4240323866903783,0.2,0.11868245442708333,-0.0016630973764282923
17,935,450.0,1044.2712,2232,2088960,0.010756239,1790,0.14557189306426152,0.027396803721785545,0.4762784242630005,0.0003,-2.4259279595563807,0.2,0.12264892578125,-0.000306671722731456
18,934,450.0,1061.4293,2367,2211840,0.009898773,1800,0.16436332451718044,0.06135275959968567,0.5131023824214935,0.0003,-2.406122599715988,0.2,0.10179606119791666,-0.0006707074149016989
19,932,450.0,1039.3174,2502,2334720,0.009987946,1810,0.1341316974735431,0.1587008535861969,0.5646882057189941,0.0003,-2.4382102900619307,0.2,0.11043619791666667,-0.0006250207731409318
20,932,450.0,1051.859,2636,2457600,0.009704735,1820,0.15206538892773097,0.06106484681367874,0.5335440635681152,0.0003,-2.4716703804582356,0.2,0.10371175130208334,-0.00044699319240256347
21,931,450.0,1043.7423,2770,2580480,0.010115493,1830,0.16202644424629398,0.06562446802854538,0.642461359500885,0.0003,-2.4442708466574548,0.2,0.10746663411458333,-0.0009038816942362853
22,931,450.0,1059.4407,2901,2703360,0.010472831,1840,0.13754315225502067,0.04134351387619972,0.5859848856925964,0.0003,-2.454123506930967,0.2,0.10708577473958333,-0.0007897910610760542
23,931,450.0,1046.2607,3034,2826240,0.010769755,1850,0.1566175441450226,0.04276192933320999,0.6905426383018494,0.0003,-2.438168927902977,0.2,0.106015625,-0.0009362284835939742
24,931,450.0,1061.398,3166,2949120,0.0101903025,1860,0.11532808121635753,0.08550801873207092,0.7287286221981049,0.0003,-2.432506420550247,0.2,0.10174723307291667,-0.0009217771281297852
25,927,450.0,1050.5203,3310,3072000,0.011087482,1870,0.15063030372267044,0.15385004878044128,0.6070134937763214,0.0003,-2.447801751829684,0.2,0.10022623697916666,-0.0007455793683038792
