rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance
450.0,1290.2236,1,6592,122880,18,,,,,,,,,,
450.0,1345.6775,2,1587,245760,154,-2.4951416783655684,0.013627659,0.2,6120,0.12031901041666666,0.0003,-0.0011212139809140354,0.33864231162452296,0.0728769451379776,0.6000128090381622
450.0,1171.3567,3,1267,368640,290,-2.5514329575871426,0.018918045,0.2,6130,0.12788167317708332,0.0003,-0.001778530295071808,0.13610282827794434,0.0008521638810634613,0.784177616238594
450.0,1204.6237,4,1081,491520,454,-2.5054633830984434,0.015607162,0.2,6140,0.12113688151041667,0.0003,-0.002462636450103067,0.11977074967886438,0.01802081987261772,0.684015691280365
450.0,1248.6582,5,1036,614400,592,-2.4783609756827354,0.026932899,0.2,6150,0.116689453125,0.0003,-0.0018419672102663754,0.12049577506011701,0.06345929950475693,0.7235873937606812
450.0,1135.5479,6,1015,737280,726,-2.495771483331919,0.015500776,0.2,6160,0.11932210286458333,0.0003,-0.002896824373425867,0.10027341602850356,0.05652064085006714,0.7933124601840973
450.0,1348.114,7,1000,860160,860,-2.5199171456322076,0.0139425155,0.2,6170,0.12480224609375,0.0003,-0.0024654781065025114,0.10969454276448232,0.0362287200987339,0.7778220772743225
450.0,1221.2345,8,973,983040,1009,-2.56023787462463,0.014688929,0.2,6180,0.13298909505208334,0.0003,-0.002730312463093772,0.10931133588645026,0.127568781375885,0.758188396692276
450.0,1252.975,9,966,1105920,1144,-2.54815425435702,0.013997227,0.2,6190,0.12251871744791666,0.0003,-0.0017995339564307264,0.12590764262795953,0.0773223266005516,0.6958319544792175
450.0,1311.2361,10,961,1228800,1278,-2.544395198362569,0.012877392,0.2,6200,0.126708984375,0.0003,-0.002234205286343543,0.09253434220724253,0.04228290170431137,0.8307759314775467
450.0,1170.4995,11,955,1351680,1413,-2.5487557173520328,0.0134874685,0.2,6210,0.12990315755208334,0.0003,-0.0015408924111822368,0.12174066103749889,0.024757547304034233,0.7813989967107773
450.0,1233.8914,12,953,1474560,1546,-2.508162253846725,0.013119486,0.2,6220,0.12410481770833333,0.0003,-0.002172718914904787,0.11258052650050862,-0.0005588605999946594,0.7931749522686005
450.0,1170.2122,13,949,1597440,1682,-2.507080964470903,0.011835179,0.2,6230,0.12514567057291667,0.0003,-0.0019025069677142408,0.08722075336207732,-0.006650710944086313,0.8547960370779037
450.0,1304.0254,14,940,1720320,1829,-2.5490224658697844,0.012855883,0.2,6240,0.13065836588541666,0.0003,-0.0014830950386991997,0.12750721362041076,0.05538230389356613,0.7847353965044022
450.0,1251.3412,15,937,1843200,1965,-2.6028192630658546,0.012048355,0.2,6250,0.12146809895833334,0.0003,-0.0012800458325424795,0.10743436080032552,0.10617462545633316,0.8070083111524582
450.0,1228.8291,16,935,1966080,2102,-2.586463127657771,0.012850791,0.2,6260,0.11628092447916667,0.0003,-0.001554601404186542,0.12425499367280281,0.05772574990987778,0.7306778132915497
450.0,1260.2761,17,933,2088960,2237,-2.6080906088650226,0.014467129,0.2,6270,0.1484130859375,0.0003,-0.003403668768684535,0.08726595736050513,0.015046510845422745,0.8773242756724358
450.0,1234.4645,18,932,2211840,2373,-2.5998273909340304,0.0135270795,0.2,6280,0.12163899739583334,0.0003,-0.0021310086847915956,0.12204012506175786,0.03833061456680298,0.7923285365104675
450.0,1253.796,19,931,2334720,2505,-2.601209811444084,0.016190838,0.2,6290,0.121494140625,0.0003,-0.0025819502508238655,0.09529000067452822,0.09679065644741058,0.7759102284908295
450.0,1209.523,20,930,2457600,2641,-2.5769988837093116,0.012614366,0.2,6300,0.11437744140625,0.0003,-0.0019085832499695244,0.10136274991513346,0.07366668432950974,0.8205106258392334
450.0,1278.5244,21,929,2580480,2775,-2.577714984429379,0.0120977005,0.2,6310,0.11320556640625,0.0003,-0.0022875562862221463,0.09525420453690459,0.03122583031654358,0.7923040688037872
450.0,1239.1097,22,928,2703360,2910,-2.606606392264366,0.013266955,0.2,6320,0.12543701171875,0.0003,-0.0020279796800241456,0.0810598763172311,0.037943094968795776,0.8340339809656143
