2024-02-18 19:00:10.618245
Logging to Training/Logs/TekusRewardOne-OneC
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 450       |
|    ep_rew_mean     | 1136.0859 |
| time/              |           |
|    fps             | 6614      |
|    iterations      | 1         |
|    time_elapsed    | 18        |
|    total_timesteps | 122880    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1223.0375   |
| time/                   |             |
|    fps                  | 1579        |
|    iterations           | 2           |
|    time_elapsed         | 155         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.018984202 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.04       |
|    explained_variance   | 0.688       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0737      |
|    n_updates            | 3270        |
|    policy_gradient_loss | 0.000101    |
|    value_loss           | 0.391       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1104.1536   |
| time/                   |             |
|    fps                  | 1262        |
|    iterations           | 3           |
|    time_elapsed         | 292         |
|    total_timesteps      | 368640      |
| train/                  |             |
|    approx_kl            | 0.022120755 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.98       |
|    explained_variance   | 0.831       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0244      |
|    n_updates            | 3280        |
|    policy_gradient_loss | -0.00111    |
|    value_loss           | 0.13        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1127.9805   |
| time/                   |             |
|    fps                  | 1153        |
|    iterations           | 4           |
|    time_elapsed         | 425         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.016633222 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.07       |
|    explained_variance   | 0.848       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0333      |
|    n_updates            | 3290        |
|    policy_gradient_loss | -0.0012     |
|    value_loss           | 0.0938      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 442         |
|    ep_rew_mean          | 1131.194    |
| time/                   |             |
|    fps                  | 1093        |
|    iterations           | 5           |
|    time_elapsed         | 561         |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.017348142 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.08       |
|    explained_variance   | 0.79        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0341      |
|    n_updates            | 3300        |
|    policy_gradient_loss | -0.000299   |
|    value_loss           | 0.117       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1121.2268  |
| time/                   |            |
|    fps                  | 1060       |
|    iterations           | 6          |
|    time_elapsed         | 695        |
|    total_timesteps      | 737280     |
| train/                  |            |
|    approx_kl            | 0.01737433 |
