2024-03-11 00:42:23.299080
Logging to Training/Logs/TekusReward1-1E-FINAL3cont
loading: TekusReward1-1E-FINAL3
saving: TekusReward1-1E-FINAL3cont
35500000
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 349      |
|    ep_rew_mean     | 896.9067 |
| time/              |          |
|    fps             | 5933     |
|    iterations      | 1        |
|    time_elapsed    | 20       |
|    total_timesteps | 122880   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 423         |
|    ep_rew_mean          | 1110.1049   |
| time/                   |             |
|    fps                  | 1074        |
|    iterations           | 2           |
|    time_elapsed         | 228         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.077223815 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.559      |
|    explained_variance   | 0.516       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0162      |
|    n_updates            | 9280        |
|    policy_gradient_loss | -0.00367    |
|    value_loss           | 0.225       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 400        |
|    ep_rew_mean          | 883.0862   |
| time/                   |            |
|    fps                  | 853        |
|    iterations           | 3          |
|    time_elapsed         | 431        |
|    total_timesteps      | 368640     |
| train/                  |            |
|    approx_kl            | 0.21629445 |
|    clip_fraction        | 0.191      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.584     |
|    explained_variance   | 0.792      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.00023    |
|    n_updates            | 9290       |
|    policy_gradient_loss | -0.00681   |
|    value_loss           | 0.0534     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 389        |
|    ep_rew_mean          | 996.4932   |
| time/                   |            |
|    fps                  | 772        |
|    iterations           | 4          |
|    time_elapsed         | 635        |
|    total_timesteps      | 491520     |
| train/                  |            |
|    approx_kl            | 0.06941231 |
|    clip_fraction        | 0.184      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.591     |
|    explained_variance   | 0.856      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.00936    |
|    n_updates            | 9300       |
|    policy_gradient_loss | -0.00665   |
|    value_loss           | 0.0571     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 376        |
|    ep_rew_mean          | 1004.4479  |
| time/                   |            |
|    fps                  | 730        |
|    iterations           | 5          |
|    time_elapsed         | 840        |
|    total_timesteps      | 614400     |
| train/                  |            |
|    approx_kl            | 0.06750868 |
|    clip_fraction        | 0.185      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.587     |
|    explained_variance   | 0.851      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0346     |
|    n_updates            | 9310       |
|    policy_gradient_loss | -0.0065    |
|    value_loss           | 0.0756     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 421        |
|    ep_rew_mean          | 993.5732   |
| time/                   |            |
|    fps                  | 705        |
|    iterations           | 6          |
|    time_elapsed         | 1045       |
|    total_timesteps      | 737280     |
| train/                  |            |
|    approx_kl            | 0.07106133 |
|    clip_fraction        | 0.187      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.602     |
|    explained_variance   | 0.857      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0545     |
|    n_updates            | 9320       |
|    policy_gradient_loss | -0.00751   |
|    value_loss           | 0.0542     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 383         |
|    ep_rew_mean          | 1002.7602   |
| time/                   |             |
|    fps                  | 687         |
|    iterations           | 7           |
|    time_elapsed         | 1250        |
|    total_timesteps      | 860160      |
| train/                  |             |
|    approx_kl            | 0.076190904 |
|    clip_fraction        | 0.197       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.617      |
|    explained_variance   | 0.864       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0286      |
|    n_updates            | 9330        |
|    policy_gradient_loss | -0.00714    |
|    value_loss           | 0.0715      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 374        |
|    ep_rew_mean          | 969.68176  |
| time/                   |            |
|    fps                  | 676        |
|    iterations           | 8          |
|    time_elapsed         | 1454       |
|    total_timesteps      | 983040     |
| train/                  |            |
|    approx_kl            | 0.07284288 |
|    clip_fraction        | 0.194      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.608     |
|    explained_variance   | 0.876      |
|    learning_rate        | 0.0002     |
|    loss                 | -0.00349   |
|    n_updates            | 9340       |
|    policy_gradient_loss | -0.00853   |
|    value_loss           | 0.0587     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 402         |
|    ep_rew_mean          | 1038.4368   |
| time/                   |             |
|    fps                  | 666         |
|    iterations           | 9           |
|    time_elapsed         | 1658        |
|    total_timesteps      | 1105920     |
| train/                  |             |
|    approx_kl            | 0.078476764 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.61       |
|    explained_variance   | 0.832       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0174      |
|    n_updates            | 9350        |
|    policy_gradient_loss | -0.00727    |
|    value_loss           | 0.0667      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 392        |
|    ep_rew_mean          | 1101.1653  |
| time/                   |            |
|    fps                  | 659        |
|    iterations           | 10         |
|    time_elapsed         | 1861       |
|    total_timesteps      | 1228800    |
| train/                  |            |
|    approx_kl            | 0.08504994 |
|    clip_fraction        | 0.199      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.614     |
|    explained_variance   | 0.839      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0714     |
|    n_updates            | 9360       |
|    policy_gradient_loss | -0.00831   |
|    value_loss           | 0.0651     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 409         |
|    ep_rew_mean          | 1083.4165   |
| time/                   |             |
|    fps                  | 654         |
|    iterations           | 11          |
|    time_elapsed         | 2065        |
|    total_timesteps      | 1351680     |
| train/                  |             |
|    approx_kl            | 0.079274766 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.63       |
|    explained_variance   | 0.885       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0104      |
|    n_updates            | 9370        |
|    policy_gradient_loss | -0.00829    |
|    value_loss           | 0.0694      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 410         |
|    ep_rew_mean          | 1114.5577   |
| time/                   |             |
|    fps                  | 649         |
|    iterations           | 12          |
|    time_elapsed         | 2270        |
|    total_timesteps      | 1474560     |
| train/                  |             |
|    approx_kl            | 0.083196685 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.617      |
|    explained_variance   | 0.836       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0222      |
|    n_updates            | 9380        |
|    policy_gradient_loss | -0.00713    |
|    value_loss           | 0.0785      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 392        |
|    ep_rew_mean          | 1104.171   |
| time/                   |            |
|    fps                  | 646        |
|    iterations           | 13         |
|    time_elapsed         | 2471       |
|    total_timesteps      | 1597440    |
| train/                  |            |
|    approx_kl            | 0.07629748 |
|    clip_fraction        | 0.2        |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.627     |
|    explained_variance   | 0.866      |
|    learning_rate        | 0.0002     |
|    loss                 | -0.00942   |
|    n_updates            | 9390       |
|    policy_gradient_loss | -0.00862   |
|    value_loss           | 0.0634     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 368         |
|    ep_rew_mean          | 1084.8478   |
| time/                   |             |
|    fps                  | 643         |
|    iterations           | 14          |
|    time_elapsed         | 2675        |
|    total_timesteps      | 1720320     |
| train/                  |             |
|    approx_kl            | 0.080761075 |
|    clip_fraction        | 0.204       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.627      |
|    explained_variance   | 0.866       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0119      |
|    n_updates            | 9400        |
|    policy_gradient_loss | -0.00839    |
|    value_loss           | 0.0655      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 403        |
|    ep_rew_mean          | 1081.4773  |
| time/                   |            |
|    fps                  | 640        |
|    iterations           | 15         |
|    time_elapsed         | 2877       |
|    total_timesteps      | 1843200    |
| train/                  |            |
|    approx_kl            | 0.08067267 |
|    clip_fraction        | 0.203      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.637     |
|    explained_variance   | 0.795      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0392     |
|    n_updates            | 9410       |
|    policy_gradient_loss | -0.00737   |
|    value_loss           | 0.0954     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 403        |
|    ep_rew_mean          | 1107.6213  |
| time/                   |            |
|    fps                  | 638        |
|    iterations           | 16         |
|    time_elapsed         | 3081       |
|    total_timesteps      | 1966080    |
| train/                  |            |
|    approx_kl            | 0.08548765 |
|    clip_fraction        | 0.205      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.642     |
|    explained_variance   | 0.855      |
|    learning_rate        | 0.0002     |
|    loss                 | -0.0263    |
|    n_updates            | 9420       |
|    policy_gradient_loss | -0.00636   |
|    value_loss           | 0.0614     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 387        |
|    ep_rew_mean          | 1174.0404  |
| time/                   |            |
|    fps                  | 635        |
|    iterations           | 17         |
|    time_elapsed         | 3285       |
|    total_timesteps      | 2088960    |
| train/                  |            |
|    approx_kl            | 0.09913035 |
|    clip_fraction        | 0.205      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.642     |
|    explained_variance   | 0.85       |
|    learning_rate        | 0.0002     |
|    loss                 | -0.000725  |
|    n_updates            | 9430       |
|    policy_gradient_loss | -0.00785   |
|    value_loss           | 0.0873     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 420       |
|    ep_rew_mean          | 1303.07   |
| time/                   |           |
|    fps                  | 634       |
|    iterations           | 18        |
|    time_elapsed         | 3487      |
|    total_timesteps      | 2211840   |
| train/                  |           |
|    approx_kl            | 0.0856096 |
|    clip_fraction        | 0.204     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.64     |
|    explained_variance   | 0.849     |
|    learning_rate        | 0.0002    |
|    loss                 | 0.0146    |
|    n_updates            | 9440      |
|    policy_gradient_loss | -0.00792  |
|    value_loss           | 0.0712    |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 377       |
|    ep_rew_mean          | 1152.0835 |
| time/                   |           |
|    fps                  | 632       |
|    iterations           | 19        |
|    time_elapsed         | 3691      |
|    total_timesteps      | 2334720   |
| train/                  |           |
|    approx_kl            | 0.0870342 |
|    clip_fraction        | 0.207     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.639    |
|    explained_variance   | 0.844     |
|    learning_rate        | 0.0002    |
|    loss                 | -0.00917  |
|    n_updates            | 9450      |
|    policy_gradient_loss | -0.00793  |
|    value_loss           | 0.0613    |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 404        |
|    ep_rew_mean          | 1210.541   |
| time/                   |            |
|    fps                  | 631        |
|    iterations           | 20         |
|    time_elapsed         | 3893       |
|    total_timesteps      | 2457600    |
| train/                  |            |
|    approx_kl            | 0.18177655 |
|    clip_fraction        | 0.204      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.623     |
|    explained_variance   | 0.842      |
|    learning_rate        | 0.0002     |
|    loss                 | -0.0151    |
|    n_updates            | 9460       |
|    policy_gradient_loss | -0.00781   |
|    value_loss           | 0.0708     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 422        |
|    ep_rew_mean          | 1298.3167  |
| time/                   |            |
|    fps                  | 629        |
|    iterations           | 21         |
|    time_elapsed         | 4096       |
|    total_timesteps      | 2580480    |
| train/                  |            |
|    approx_kl            | 0.08171589 |
|    clip_fraction        | 0.205      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.624     |
|    explained_variance   | 0.848      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.00411    |
|    n_updates            | 9470       |
|    policy_gradient_loss | -0.00785   |
|    value_loss           | 0.0718     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 419       |
|    ep_rew_mean          | 1305.1023 |
| time/                   |           |
|    fps                  | 628       |
|    iterations           | 22        |
|    time_elapsed         | 4300      |
|    total_timesteps      | 2703360   |
| train/                  |           |
|    approx_kl            | 0.0822159 |
|    clip_fraction        | 0.205     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.637    |
|    explained_variance   | 0.871     |
|    learning_rate        | 0.0002    |
|    loss                 | 0.0404    |
|    n_updates            | 9480      |
|    policy_gradient_loss | -0.00844  |
|    value_loss           | 0.0622    |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 395        |
|    ep_rew_mean          | 1214.5122  |
| time/                   |            |
|    fps                  | 627        |
|    iterations           | 23         |
|    time_elapsed         | 4506       |
|    total_timesteps      | 2826240    |
| train/                  |            |
|    approx_kl            | 0.08136444 |
|    clip_fraction        | 0.21       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.645     |
|    explained_variance   | 0.847      |
|    learning_rate        | 0.0002     |
|    loss                 | -0.00571   |
|    n_updates            | 9490       |
|    policy_gradient_loss | -0.00773   |
|    value_loss           | 0.0658     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 442        |
|    ep_rew_mean          | 1358.447   |
| time/                   |            |
|    fps                  | 626        |
|    iterations           | 24         |
|    time_elapsed         | 4710       |
|    total_timesteps      | 2949120    |
| train/                  |            |
|    approx_kl            | 0.08881419 |
|    clip_fraction        | 0.213      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.628     |
|    explained_variance   | 0.844      |
|    learning_rate        | 0.0002     |
|    loss                 | -0.00163   |
|    n_updates            | 9500       |
|    policy_gradient_loss | -0.00818   |
|    value_loss           | 0.0758     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 376        |
|    ep_rew_mean          | 1165.8656  |
| time/                   |            |
|    fps                  | 625        |
|    iterations           | 25         |
|    time_elapsed         | 4914       |
|    total_timesteps      | 3072000    |
| train/                  |            |
|    approx_kl            | 0.08786299 |
|    clip_fraction        | 0.21       |
|    clip_range           | 0.2        |
