time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/approx_kl,train/loss
6666,659.7721,18,122880,1,429.6,,,,,,,,,,
1677,726.83887,146,245760,2,450.0,-4.269655023043354,-0.007463344069607653,0.026828289031982422,0.2,0.2038086453023425,10,0.08856282552083333,0.0003,0.008950454,0.041369013488292694
1283,704.1075,287,368640,3,450.0,-4.2596728252619505,-0.0102576878944213,0.64741051197052,0.2,0.021830667230387915,20,0.10096923828125,0.0003,0.010381371,-0.0017955601215362549
1195,758.5986,411,491520,4,450.0,-4.246921783809861,-0.01130321168086084,0.780329629778862,0.2,0.02277488334727726,30,0.12331787109375,0.0003,0.011304191,-0.011079668998718262
1141,789.67145,538,614400,5,450.0,-4.231938929259777,-0.011670044826679866,0.7793755829334259,0.2,0.038227791282649075,40,0.13913330078125,0.0003,0.012569171,-0.009678743779659271
1111,824.4543,663,737280,6,450.0,-4.2183452078451715,-0.01211439094250333,0.8042993396520615,0.2,0.03451952207489133,50,0.15270426432291667,0.0003,0.013300809,-0.01712893322110176
1089,857.9544,789,860160,7,450.0,-4.207053543279568,-0.012333888828737448,0.8181322813034058,0.2,0.039730728177382844,60,0.16324869791666666,0.0003,0.0143010635,0.0009287968277931213
1073,867.4976,916,983040,8,427.4,-4.190347324882945,-0.012503623986097712,0.7752618193626404,0.2,0.05211503314771107,70,0.17372639973958334,0.0003,0.014879386,-0.029560726135969162
1060,876.643,1043,1105920,9,431.3333333333333,-4.182204514319698,-0.01250260679564235,0.7628871649503708,0.2,0.058011704841628674,80,0.17798421223958333,0.0003,0.015197698,-0.005335159599781036
1051,930.139,1168,1228800,10,450.0,-4.164421299745639,-0.012369387211474531,0.7652436941862106,0.2,0.056574110353782694,90,0.18470703125,0.0003,0.015775597,0.003950190730392933
1040,979.21124,1299,1351680,11,448.8666666666667,-4.147991367628177,-0.011976949906402296,0.7910764515399933,0.2,0.06246399457711959,100,0.19558024088541667,0.0003,0.01677673,-0.024624356999993324
1035,1070.3142,1424,1474560,12,450.0,-4.131759511952599,-0.011391853446202731,0.8075267523527145,0.2,0.06252239771211558,110,0.19750569661458334,0.0003,0.016823877,0.04018186777830124
1030,1080.0364,1549,1597440,13,447.6666666666667,-4.114142205988367,-0.011645313461491847,0.8287711292505264,0.2,0.06065089949183554,120,0.20437255859375,0.0003,0.017646853,0.04825209826231003
1008,1128.8372,1706,1720320,14,450.0,-4.099279907693465,-0.011296513988897156,0.8236764222383499,0.2,0.06708758222385465,130,0.20809814453125,0.0003,0.018005071,0.017964541912078857
1004,1067.2096,1834,1843200,15,417.1333333333333,-4.081181489216784,-0.01115057483299097,0.8360354006290436,0.2,0.06558119767927564,140,0.21339274088541665,0.0003,0.018653631,0.024643711745738983
