time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range
122880,6623,18,1,450.0,691.4637,,,,,,,,,,
245760,1718,142,2,450.0,724.48267,0.0003,10,-0.007767366768081653,0.009505377,-0.014383959583938122,-0.1885155439376831,0.11969401041666666,-4.267937501346071,0.18966124831790998,0.2
368640,1360,270,3,450.0,747.30524,0.0003,20,-0.009619345913245828,0.009914193,0.03946398198604584,0.5700404942035675,0.09569254557291666,-4.261536061490576,0.025717673259860022,0.2
491520,1246,394,4,450.0,745.28094,0.0003,30,-0.011015957670667072,0.011249854,-0.02126903086900711,0.7196881771087646,0.12144449869791667,-4.246970490713914,0.02941812641452998,0.2
614400,1175,522,5,450.0,792.82825,0.0003,40,-0.012059777624072012,0.01242117,0.001996926963329315,0.7270855605602264,0.14247639973958334,-4.231989062254628,0.04766184423671802,0.2
737280,1125,654,6,428.1333333333333,803.82074,0.0003,50,-0.013075499749678178,0.013576623,0.019873809069395065,0.7721235305070877,0.15843587239583334,-4.218417262559136,0.04717451532211271,0.2
860160,1104,778,7,443.73333333333335,830.0147,0.0003,60,-0.012321891184322642,0.013985516,4.171207547187805e-05,0.737300843000412,0.16393391927083334,-4.202429619058966,0.06169434982691503,0.2
983040,1091,900,8,450.0,919.6316,0.0003,70,-0.012429806091022328,0.015111204,-0.008405373431742191,0.720816045999527,0.17665608723958334,-4.185949188247323,0.06859299219649984,0.2
1105920,1079,1024,9,425.26666666666665,993.4356,0.0003,80,-0.012016432812191245,0.01597359,0.04278719425201416,0.7870421558618546,0.18200927734375,-4.168838737060626,0.06976776006534541,0.2
1228800,1071,1147,10,430.46666666666664,948.2236,0.0003,90,-0.012091740367650346,0.016000936,0.025558512657880783,0.7804095447063446,0.18655680338541666,-4.154954515049855,0.06732566517894156,0.2
1351680,1064,1270,11,450.0,1073.5829,0.0003,100,-0.01196773271177032,0.016641477,0.023207135498523712,0.7937687486410141,0.19260172526041666,-4.133760113542278,0.07307678720748906,0.2
1474560,1058,1393,12,420.3333333333333,990.38214,0.0003,110,-0.011099858917774933,0.017179469,0.004224548116326332,0.7894115298986435,0.19833577473958333,-4.110682172949115,0.06986109512028633,0.2
1597440,1052,1517,13,438.6666666666667,1125.9246,0.0003,120,-0.011048779364894774,0.01810703,-0.022369053214788437,0.8009944707155228,0.20695638020833335,-4.096604163746039,0.07730544189917661,0.2
1720320,1047,1641,14,432.1333333333333,1099.2489,0.0003,130,-0.01057782571582114,0.018577637,-0.01504354178905487,0.8176970183849335,0.20764811197916666,-4.082207160107791,0.07590050394113253,0.2
1843200,1043,1765,15,406.2,1130.4681,0.0003,140,-0.010685322635175302,0.019257057,0.03441701829433441,0.8633828461170197,0.21359944661458333,-4.066053265134493,0.07654373562855957,0.2
1966080,1040,1888,16,450.0,1252.7227,0.0003,150,-0.010396100589162719,0.01950098,0.05044611543416977,0.8227054476737976,0.2143115234375,-4.059168115618328,0.07739191178082061,0.2
2088960,1036,2015,17,432.6,1225.9286,0.0003,160,-0.009944799910669341,0.019791028,0.07301857322454453,0.8406168669462204,0.21562093098958332,-4.042309022732079,0.07495970267967399,0.2
