time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/policy_gradient_loss
6699,122880,450.0,709.913,18,1,,,,,,,,,,
1630,245760,446.9,723.44556,150,2,0.2,0.058366063982248306,-4.269696058506767,0.2364241541166363,0.0003,0.005608022212982178,0.009084747,10,0.08142903645833334,-0.007225766904800063
1332,368640,443.62,725.72064,276,3,0.2,-0.014933677390217781,-4.260534543246031,0.058248905975876064,0.0003,0.5574378967285156,0.010214492,20,0.098466796875,-0.009951947625528798
1218,491520,443.1,736.05865,403,4,0.2,-0.033909671008586884,-4.248510293488701,0.05228747478016885,0.0003,0.6924717724323273,0.011051125,30,0.11797281901041666,-0.010816968009906608
1157,614400,432.54,724.53595,530,5,0.2,0.019336329773068428,-4.232913878882925,0.0675588686587677,0.0003,0.7028209865093231,0.01200379,40,0.13674072265625,-0.010928604066066328
1107,737280,441.58,821.1124,665,6,0.2,0.0006080344319343567,-4.2195459728688,0.0708915883207616,0.0003,0.7764421701431274,0.012921603,50,0.15033528645833333,-0.011578276283762534
1083,860160,444.28,832.23047,793,7,0.2,0.021226679906249046,-4.2062792819986745,0.08816271764565803,0.0003,0.717136800289154,0.013504581,60,0.15752685546875,-0.011639437678247001
1062,983040,441.32,877.5891,924,8,0.2,0.01941647008061409,-4.188800159816941,0.08943445968043913,0.0003,0.7202839851379395,0.014557877,70,0.16989501953125,-0.012103716910490524
1048,1105920,430.62,900.0952,1054,9,0.2,0.03689248114824295,-4.175083169713616,0.10321525925799506,0.0003,0.7624186277389526,0.014975851,80,0.17584716796875,-0.011831606672622001
1035,1228800,438.44,979.25366,1186,10,0.2,0.02436329983174801,-4.163495193098982,0.09953631290370443,0.0003,0.7834978103637695,0.015599741,90,0.18075358072916667,-0.011935352585617997
1029,1351680,450.0,999.3016,1313,11,0.2,0.032190922647714615,-4.1486303098499775,0.10880598738595533,0.0003,0.71265709400177,0.016228627,100,0.18809000651041666,-0.01199054799932128
1023,1474560,447.16,1055.5225,1440,12,0.2,0.00812898576259613,-4.130254239688317,0.10199689987843158,0.0003,0.729059249162674,0.016673155,110,0.19368570963541668,-0.01182784386298105
1017,1597440,438.66,1067.8165,1569,13,0.2,0.006944289430975914,-4.121532992944122,0.10679214230175905,0.0003,0.7137267887592316,0.016777141,120,0.1909619140625,-0.0108051984668964
1010,1720320,447.04,1130.236,1703,14,0.2,0.0019233766943216324,-4.112579311753313,0.10909323002745319,0.0003,0.7770221084356308,0.01707596,130,0.19573811848958333,-0.0112546603797576
1007,1843200,450.0,1167.3612,1830,15,0.2,0.015540918335318565,-4.098753385978441,0.10761291130756338,0.0003,0.7197238504886627,0.018238908,140,0.20684488932291667,-0.011372607713340888
1003,1966080,445.72,1164.7623,1958,16,0.2,0.04684728756546974,-4.088662875468533,0.09514325407944853,0.0003,0.7113054096698761,0.01776514,150,0.20275960286458333,-0.011151546459629269
1001,2088960,442.94,1158.0684,2085,17,0.2,0.030810145661234856,-4.071075218146046,0.09993712994881207,0.0003,0.7454958260059357,0.018457659,160,0.21014485677083333,-0.009750999821644655
