rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction
439.92,122880,6692,1,700.6273,18,,,,,,,,,,
448.84,245760,1639,2,721.9495,149,-0.0062822902586291696,0.0003,0.29372092493334395,0.2,0.008563778,0.04941582679748535,0.29542112350463867,10,-4.270216650168101,0.07233723958333334
444.5,368640,1344,3,720.5595,274,-0.009698211599940502,0.0003,0.06945979246112984,0.2,0.00969735,0.030157266184687614,0.681004673242569,20,-4.259949821904302,0.09518717447916666
448.04,491520,1206,4,737.34784,407,-0.010333387311238767,0.0003,0.0875011759683063,0.2,0.010337115,0.02949860692024231,0.7039993405342102,30,-4.249946795602639,0.11219156901041667
435.66,614400,1134,5,731.11084,541,-0.01118615119002546,0.0003,0.10524243499870257,0.2,0.011751896,0.058046068996191025,0.6365692019462585,40,-4.235325542638699,0.1311669921875
450.0,737280,1089,6,816.85205,676,-0.01121807999259545,0.0003,0.11265231789303168,0.2,0.012795751,0.04289691150188446,0.6187102794647217,50,-4.220621975362301,0.14479329427083334
445.52,860160,1072,7,843.767,801,-0.01156722639751024,0.0003,0.12263753358914982,0.2,0.013743802,0.037725698202848434,0.6228471398353577,60,-4.2061769974976775,0.15570475260416666
438.84,983040,1062,8,837.11664,925,-0.011310043015867754,0.0003,0.12540286393254063,0.2,0.014231998,0.06959208101034164,0.6136443614959717,70,-4.194192619224389,0.16551676432291668
444.3,1105920,1051,9,884.4305,1051,-0.011494478266201136,0.0003,0.1444960606849054,0.2,0.014907207,0.11460690200328827,0.6174653768539429,80,-4.18022878502806,0.17266764322916667
450.0,1228800,1041,10,908.896,1179,-0.011404171582198615,0.0003,0.14913193293885948,0.2,0.015350827,0.03383491188287735,0.5749902427196503,90,-4.160578744759162,0.18217692057291668
442.78,1351680,1037,11,941.4543,1302,-0.01095965378872279,0.0003,0.15077030997956173,0.2,0.015480804,0.05864855647087097,0.5890896022319794,100,-4.146718023866415,0.18236979166666667
443.36,1474560,1032,12,960.4054,1427,-0.010992859407391127,0.0003,0.15550614896482634,0.2,0.016033659,0.06809748709201813,0.6501474976539612,110,-4.126909854412079,0.18819010416666668
450.0,1597440,1018,13,1030.8826,1568,-0.011163759866127899,0.0003,0.16319336560283168,0.2,0.016681103,0.04931674152612686,0.6615267395973206,120,-4.117413395022353,0.19852294921875
442.82,1720320,1011,14,1025.919,1701,-0.010916715885468876,0.0003,0.16012794898997526,0.2,0.01709431,0.056394509971141815,0.6162854135036469,130,-4.10902415446937,0.19967692057291667
434.46,1843200,1010,15,1027.88,1824,-0.011021979804257474,0.0003,0.15560197010558718,0.2,0.01820233,0.03424689918756485,0.6538276076316833,140,-4.100896621818344,0.20338785807291668
441.74,1966080,1008,16,1050.1725,1949,-0.010974754552310818,0.0003,0.15347839217497192,0.2,0.017744295,0.02547018602490425,0.6815428733825684,150,-4.079814876342813,0.20304931640625
442.92,2088960,1006,17,1082.9202,2076,-0.011131136198418972,0.0003,0.1493834003349184,0.2,0.018403519,0.0041354261338710785,0.7045585513114929,160,-4.0656435065592325,0.20861083984375
430.12,2211840,997,18,1074.6093,2216,-0.010911789511834892,0.0003,0.15446090152234926,0.2,0.018640189,0.04907650128006935,0.6964389681816101,170,-4.060103933513164,0.20963623046875
438.92,2334720,996,19,1129.4325,2342,-0.009979741148484511,0.0003,0.15868051463078398,0.2,0.019015443,0.025854961946606636,0.7603801488876343,180,-4.039947118697067,0.21481038411458334
447.24,2457600,995,20,1176.0835,2467,-0.010090939937848209,0.0003,0.14464795973908623,0.2,0.019452024,0.04722625017166138,0.7356116771697998,190,-4.0166641977553565,0.21944580078125
