time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates
1,18,122880,6705,701.7506,445.86,,,,,,,,,,
2,143,245760,1712,718.0795,450.0,-4.270913020496567,0.3441956707945792,0.028819171711802483,0.008430064,0.0003,-0.005846852688385601,0.00951075553894043,0.2,0.06605061848958334,10
3,266,368640,1384,718.8482,450.0,-4.261491872494419,0.1078349760104902,-0.017467673867940903,0.009806574,0.0003,-0.009502005540549969,0.47466200590133667,0.2,0.09577473958333334,20
4,387,491520,1267,726.8681,442.9,-4.249849637250105,0.12138399685286762,0.036816105246543884,0.011116573,0.0003,-0.01069031174718475,0.5681546032428741,0.2,0.11697347005208333,30
5,509,614400,1205,760.149,442.76,-4.237441364973783,0.1464962071343325,0.0783284604549408,0.011853187,0.0003,-0.010626660556560334,0.5362131893634796,0.2,0.127822265625,40
6,632,737280,1165,749.9297,448.0,-4.224680879016717,0.16124236459475166,0.0334428995847702,0.01276796,0.0003,-0.011211282383762107,0.5586791336536407,0.2,0.14195638020833334,50
7,755,860160,1138,760.18085,442.74,-4.21126772629718,0.17681483710456328,0.050010256469249725,0.013273458,0.0003,-0.010842470497464092,0.48106032609939575,0.2,0.1512841796875,60
8,878,983040,1119,802.89557,450.0,-4.202272570257386,0.19358527318846125,0.10825598239898682,0.013898091,0.0003,-0.011215846785198665,0.5027521252632141,0.2,0.15925048828125,70
9,1001,1105920,1103,822.8811,445.64,-4.191333517879247,0.18504159608487195,0.04248887300491333,0.014519154,0.0003,-0.011240689301757811,0.5509157776832581,0.2,0.16726643880208333,80
10,1131,1228800,1085,810.4096,444.68,-4.179320037464301,0.17667990513204132,0.08496840298175812,0.0146088125,0.0003,-0.011506362384461682,0.5734361708164215,0.2,0.16901692708333332,90
11,1255,1351680,1076,813.6612,437.8,-4.171960469161471,0.17736358160366458,0.014266610145568848,0.015181732,0.0003,-0.011348621355379389,0.5096573531627655,0.2,0.17270345052083333,100
12,1382,1474560,1066,815.4138,435.12,-4.155997347558539,0.2069961662842737,0.020403418689966202,0.015801081,0.0003,-0.011343522364756305,0.5709726214408875,0.2,0.18166585286458334,110
13,1507,1597440,1059,886.3452,445.06,-4.142415503015121,0.18193251486110967,0.02722993865609169,0.016076837,0.0003,-0.011379616058608615,0.6068437695503235,0.2,0.18361083984375,120
14,1633,1720320,1053,878.4485,443.56,-4.129492969661951,0.1881666505439595,0.061759646981954575,0.016723655,0.0003,-0.011310857849154369,0.6027359068393707,0.2,0.1910693359375,130
15,1757,1843200,1048,909.3498,439.68,-4.116930764690042,0.18986177450725034,0.07323005050420761,0.016804034,0.0003,-0.010849048484251398,0.5770904123783112,0.2,0.19332194010416667,140
16,1880,1966080,1045,925.6571,439.3,-4.10605406905214,0.18730221570314218,0.00531364232301712,0.01699719,0.0003,-0.010803698476350595,0.6489349007606506,0.2,0.19654459635416666,150
17,2003,2088960,1042,923.7419,433.04,-4.101287688290079,0.197514821778362,0.08794942498207092,0.016946107,0.0003,-0.011023531446686927,0.6456573605537415,0.2,0.1943359375,160
18,2128,2211840,1039,989.6715,443.06,-4.081135535302262,0.20162423475839508,0.033449187874794006,0.017797802,0.0003,-0.010616005937905963,0.7069106101989746,0.2,0.1997509765625,170
19,2252,2334720,1036,980.8368,437.94,-4.0778433444226785,0.20158193008081676,0.03740321099758148,0.01798081,0.0003,-0.010992952677837214,0.609431117773056,0.2,0.20359700520833332,180
20,2377,2457600,1033,1032.6505,447.98,-4.067094918017586,0.2268941278551938,0.07204818725585938,0.018215172,0.0003,-0.010609667818874489,0.574004739522934,0.2,0.20526936848958333,190
21,2502,2580480,1031,1023.51556,450.0,-4.060001112235089,0.18204054972428518,0.10076408833265305,0.017780595,0.0003,-0.010416904205036796,0.6458633840084076,0.2,0.20133463541666666,200
22,2627,2703360,1029,1070.4741,450.0,-4.038698046381275,0.18504813711100723,0.004707105457782745,0.018995274,0.0003,-0.011056566715033113,0.5392753183841705,0.2,0.21042805989583332,210
23,2752,2826240,1026,1039.848,430.76,-4.031456567049027,0.18248754887570007,0.06599000841379166,0.018862605,0.0003,-0.01055136396564194,0.529179722070694,0.2,0.20903645833333334,220
