time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/value_loss
122880,1,447.58,701.22,18,6676,,,,,,,,,,
245760,2,444.1,668.76636,150,1628,0.008271915,-0.040621161460876465,0.07093180338541667,0.2,10,0.2196265608072281,-0.006168329872131532,0.0003,-4.27025047938029,0.2865219527940402
368640,3,441.42,673.8425,308,1195,0.009929589,0.5185121595859528,0.09492350260416667,0.2,20,0.0035547930747270584,-0.009573442001813722,0.0003,-4.260980198904872,0.04426812764329952
491520,4,450.0,756.0623,433,1133,0.01089632,0.5576207339763641,0.11239908854166666,0.2,30,0.023275140672922134,-0.009782451925560357,0.0003,-4.250436292861899,0.05288718810877375
614400,5,444.2,738.3089,560,1095,0.011904073,0.6809812486171722,0.12643798828125,0.2,40,0.029046088457107544,-0.010598191407043487,0.0003,-4.2399055816729865,0.055861645955398366
737280,6,450.0,757.6666,685,1075,0.012457995,0.635939359664917,0.14016194661458334,0.2,50,-0.02132045477628708,-0.010660575493990715,0.0003,-4.228136541644732,0.0659628948707056
860160,7,445.16,766.9135,810,1061,0.01382799,0.6430105865001678,0.15417887369791666,0.2,60,0.0010896790772676468,-0.010929375291592198,0.0003,-4.214965319484472,0.07036507129058009
983040,8,442.78,784.1044,936,1049,0.014281182,0.6808947622776031,0.16611165364583333,0.2,70,0.023255910724401474,-0.011260102617646529,0.0003,-4.2020353615780675,0.07565318537594673
1105920,9,430.74,817.1369,1062,1040,0.014369428,0.6999130249023438,0.1668310546875,0.2,80,0.016057798638939857,-0.010772962333315567,0.0003,-4.19456561644872,0.08362112530866095
1228800,10,443.92,834.5991,1189,1033,0.015101397,0.734887421131134,0.17558268229166665,0.2,90,0.021640628576278687,-0.011024906687334806,0.0003,-4.182448846076926,0.08399859251949238
1351680,11,448.76,864.1783,1315,1027,0.015272155,0.6571491360664368,0.17367919921875,0.2,100,0.00944606028497219,-0.010797329356173578,0.0003,-4.172977568656206,0.09533405824826331
