time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/explained_variance
1,6669,18,708.32153,122880,437.86,,,,,,,,,,
2,1671,147,724.1106,245760,450.0,0.0005,-0.005772505034383357,-4.269844236498078,10,0.24223553153084745,-0.02424931526184082,0.008976977,0.2,0.07481282552083333,-0.19916141033172607
3,1355,272,730.0139,368640,444.84,0.0005,-0.008363211530862221,-4.26109479640921,20,0.046508055600861554,0.012022020295262337,0.0107818805,0.2,0.10931233723958333,0.5760911107063293
4,1231,399,741.3385,491520,438.82,0.0005,-0.008857204349381694,-4.25118734665215,30,0.0662688899585434,-0.024365682154893875,0.012104778,0.2,0.12940022786458333,0.6552762091159821
5,1163,527,767.3768,614400,446.66,0.0005,-0.010058193968410099,-4.2394599143167335,40,0.08794983803779663,0.006480351090431213,0.013810257,0.2,0.1544970703125,0.6447740197181702
6,1127,653,763.87195,737280,436.62,0.0005,-0.010430239355682715,-4.224068424925208,50,0.08809851441115218,0.05052748695015907,0.014504508,0.2,0.16531087239583334,0.6922095119953156
7,1100,781,837.3036,860160,443.86,0.0005,-0.009543523050706427,-4.210600426668922,60,0.09777621472031266,0.05171297863125801,0.015357628,0.2,0.17686279296875,0.6718724071979523
8,1080,909,855.77454,983040,445.22,0.0005,-0.009509936277536326,-4.200165671582023,70,0.10134950514320129,0.012261224910616875,0.016182397,0.2,0.18637044270833333,0.6365620493888855
9,1048,1055,883.03705,1105920,441.06,0.0005,-0.009399426547291418,-4.187984664688508,80,0.10556176120483239,0.04049425944685936,0.016972912,0.2,0.19325439453125,0.638783872127533
10,1039,1182,931.2865,1228800,450.0,0.0005,-0.009514093004460544,-4.1715661890308064,90,0.102399668317521,0.027515115216374397,0.01784972,0.2,0.20298177083333332,0.6751320958137512
11,1031,1309,957.252,1351680,450.0,0.0005,-0.00885217065544566,-4.159250340337555,100,0.12026431977719768,-0.022169113159179688,0.018322937,0.2,0.20574625651041667,0.6331551969051361
12,1024,1439,993.1794,1474560,450.0,0.0005,-0.00825297566133789,-4.146497592603167,110,0.12723428079431567,0.052325621247291565,0.019038867,0.2,0.20695556640625,0.6737945079803467
13,1019,1566,1027.2268,1597440,442.1,0.0005,-0.008394745603867099,-4.129898658295472,120,0.12049571607038767,0.03021819330751896,0.019597681,0.2,0.21468587239583334,0.6541424691677094
14,1014,1695,1029.7843,1720320,444.78,0.0005,-0.0083943193793372,-4.118577657019099,130,0.12647743586072466,0.033305391669273376,0.02049157,0.2,0.22041666666666668,0.6553389728069305
15,1010,1824,1089.936,1843200,444.66,0.0005,-0.0077026275660621955,-4.105096962725122,140,0.11939196121840116,0.038176678121089935,0.02003978,0.2,0.21764973958333333,0.7277812063694
16,1007,1951,1068.9453,1966080,439.06,0.0005,-0.008126292249732311,-4.096545121396582,150,0.12275142473129866,0.0377630814909935,0.021522777,0.2,0.22530843098958334,0.711255818605423
17,1005,2077,1148.1976,2088960,448.68,0.0005,-0.007947148025499094,-4.0851687080040575,160,0.11779900703171733,0.044176191091537476,0.021084929,0.2,0.22469970703125,0.7373673617839813
18,1003,2205,1111.1777,2211840,440.1,0.0005,-0.007322779018992757,-4.075791928482553,170,0.12453849874262232,0.01634157821536064,0.021546153,0.2,0.2261572265625,0.6986848413944244
