time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction
1,5342,163840,450.0,30,677.4115,,,,,,,,,,
2,685,327680,450.0,477,572.1613,0.3806342286276049,119.970665,0.8179963380098343,575.0550898194313,126.3218994140625,0.2,0.0003,10,-0.0034561792250967093,0.9177783203125
3,509,491520,450.0,965,576.77185,-1.7322463463642635e-10,0.0,0.7920178323984146,174.47829136570917,50.75852966308594,0.2,0.0003,20,-2.9258840006632076e-13,0.0
4,428,655360,450.0,1528,572.2245,-4.3500676838448273e-10,0.0,0.8976985961198807,67.7421837635152,27.727092742919922,0.2,0.0003,30,-3.3893753970118715e-17,0.0
5,384,819200,450.0,2129,569.7073,3.4533513826318084e-11,0.0,0.8998427018523216,48.366652493588624,35.71898651123047,0.2,0.0003,40,-2.9054840123239076e-17,0.0
6,356,983040,450.0,2757,584.7997,3.733521225512959e-10,0.0,0.9142450094223022,26.245133568936726,21.542665481567383,0.2,0.0003,50,-2.3726110095580794e-17,0.0
7,338,1146880,450.0,3384,574.0006,-3.047261998290196e-11,0.0,0.9081275463104248,18.05109619603958,29.279897689819336,0.2,0.0003,60,-2.750260403647662e-17,0.0
8,326,1310720,450.0,4009,578.37897,-2.792739905999042e-10,0.0,0.9164180308580399,9.812671041583526,0.7640735507011414,0.2,0.0003,70,-2.93595025590185e-17,0.0
9,318,1474560,450.0,4636,547.7873,5.610672815237194e-11,0.0,0.9087312668561935,6.7542466068582145,12.017678260803223,0.2,0.0003,80,-2.7904648741954206e-17,0.0
10,310,1638400,450.0,5273,557.1486,3.9298583942581897e-10,0.0,0.9193692654371262,3.52786797726847,0.9010081887245178,0.2,0.0003,90,-2.01545769627062e-17,0.0
11,305,1802240,450.0,5901,567.62274,1.0079929779749364e-10,0.0,0.9121030867099762,2.618009055997827,0.27235713601112366,0.2,0.0003,100,-2.974976161013011e-17,0.0
12,301,1966080,450.0,6528,563.7529,2.2535232346854173e-10,0.0,0.9090150594711304,1.6632335989740386,0.8292741179466248,0.2,0.0003,110,-2.7132105989308652e-17,0.0
13,297,2129920,450.0,7158,566.8537,2.2159838408697397e-10,0.0,0.9176552221179008,0.7831634567600122,0.8968797326087952,0.2,0.0003,120,-2.5991198649145604e-17,0.0
14,294,2293760,450.0,7783,565.7311,2.0635070541175081e-10,0.0,0.9148863926529884,0.589188920444576,0.08907392621040344,0.2,0.0003,130,-3.6812180137458035e-17,0.0
15,292,2457600,450.0,8413,571.51154,-3.8410689739976077e-10,0.0,0.9265809431672096,0.2713661020587824,0.12239161878824234,0.2,0.0003,140,-2.471846314107141e-17,0.0
