rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss
696.0083,6358,122880,19,1,438.96,,,,,,,,,,
715.1294,1669,245760,147,2,446.9,0.013473868370056152,10,0.2,0.2646868441690458,0.008862267,-0.006535269813151293,0.077822265625,-4.26957425105075,0.0003,0.022524211555719376
730.01294,1347,368640,273,3,422.56,0.5588736534118652,20,0.2,0.055530795871454756,0.010014037,-0.010054755871199935,0.09855143229166667,-4.25992157317698,0.0003,0.034503430128097534
761.2371,1230,491520,399,4,443.22,0.7039631307125092,30,0.2,0.07226602513934874,0.010897442,-0.011073651739643538,0.11477376302083334,-4.24644318866233,0.0003,0.018430529162287712
805.9403,1171,614400,524,5,444.24,0.6992354691028595,40,0.2,0.08372735591159047,0.011751238,-0.012508553768717926,0.13375569661458334,-4.2319980587313575,0.0003,0.006636986508965492
839.7537,1135,737280,649,6,445.26,0.6883106231689453,50,0.2,0.08956664262048435,0.012492997,-0.012567195561241534,0.1419091796875,-4.216709019591411,0.0003,-0.01421927660703659
845.3622,1109,860160,775,7,432.72,0.6706109344959259,60,0.2,0.10996997198167567,0.013564492,-0.01305528905907219,0.15242024739583335,-4.200582135518392,0.0003,0.005292803049087524
881.94366,1089,983040,901,8,445.02,0.668058305978775,70,0.2,0.11829330701303357,0.014367223,-0.012998557927409516,0.16217366536458333,-4.182958311711748,0.0003,0.05693976581096649
875.3682,1075,1105920,1028,9,430.44,0.6555820405483246,80,0.2,0.1192365025402978,0.014646823,-0.012497133820591746,0.16765543619791667,-4.163402592067917,0.0003,0.03056078404188156
1015.3426,1037,1228800,1183,10,436.18,0.6778365969657898,90,0.2,0.12098234325647354,0.015729848,-0.0130468419165724,0.17741455078125,-4.14756344417731,0.0003,0.07016223669052124
981.9773,1032,1351680,1308,11,429.04,0.6517889201641083,100,0.2,0.1306802113891657,0.01580787,-0.01255158935074481,0.18238525390625,-4.13613003047804,0.0003,0.026102513074874878
1042.3604,1029,1474560,1432,12,448.5,0.6727319657802582,110,0.2,0.12606045772185703,0.016670128,-0.012660064303151254,0.19348876953125,-4.1115295640379195,0.0003,0.048034168779850006
1054.6012,1025,1597440,1557,13,435.32,0.6659127473831177,120,0.2,0.12287668629995703,0.017360747,-0.012550993215372728,0.1959423828125,-4.097929655537009,0.0003,0.01631210371851921
1099.2592,1021,1720320,1683,14,434.56,0.6660424172878265,130,0.2,0.12473404583948043,0.017393116,-0.01248422441427465,0.19904459635416666,-4.08803663002948,0.0003,-0.008211668580770493
1162.684,1019,1843200,1807,15,441.66,0.7102559804916382,140,0.2,0.1327811280816483,0.017646186,-0.011869851305667301,0.20406168619791668,-4.0687781288102265,0.0003,0.02940259501338005
1168.9773,1017,1966080,1932,16,443.12,0.7467465102672577,150,0.2,0.1190281142591266,0.018247366,-0.011730372643651208,0.20971110026041667,-4.053066047417621,0.0003,0.05941237881779671
1186.016,1014,2088960,2058,17,446.34,0.7754942774772644,160,0.2,0.10743098466453375,0.019327488,-0.012257424069290816,0.21607828776041665,-4.030423380161325,0.0003,0.00883723795413971
1212.4047,1013,2211840,2182,18,450.0,0.7877399027347565,170,0.2,0.10392897601384903,0.01936726,-0.012197230982455948,0.22108968098958334,-4.012729170930882,0.0003,0.03022904135286808
1176.2155,1011,2334720,2307,19,429.82,0.7542464584112167,180,0.2,0.09880574911182824,0.019814117,-0.01156411451641058,0.22446533203125,-3.9981962612892192,0.0003,0.0270884670317173
1245.1431,1009,2457600,2434,20,444.74,0.7869675755500793,190,0.2,0.10858622663508868,0.019986205,-0.011345936305315264,0.22408365885416667,-3.980978460088372,0.0003,-0.01276562549173832
1253.5842,1008,2580480,2559,21,445.9,0.7884555906057358,200,0.2,0.1004978170482597,0.019761395,-0.011371394300391937,0.22433268229166667,-3.9747237556303543,0.0003,0.025926712900400162
1231.7028,1006,2703360,2685,22,433.16,0.7905435413122177,210,0.2,0.10018030054100867,0.020655155,-0.011218663880087357,0.22993733723958334,-3.9539107947051524,0.0003,0.043320316821336746
1252.5203,1004,2826240,2812,23,439.8,0.778374046087265,220,0.2,0.11488413428072818,0.021091258,-0.011065964620332427,0.23312825520833333,-3.9443659022822977,0.0003,0.04951715096831322
1284.4211,1004,2949120,2937,24,439.58,0.7839209735393524,230,0.2,0.10592070925292016,0.021494584,-0.011255951099798645,0.23862874348958332,-3.935924785733223,0.0003,0.028892535716295242
1271.9569,1003,3072000,3061,25,443.14,0.7871120125055313,240,0.2,0.10030667660369848,0.021472922,-0.01171212041532878,0.23915608723958334,-3.928063384058575,0.0003,0.009830059483647346
1321.131,1002,3194880,3186,26,448.42,0.7881346344947815,250,0.2,0.1004793776574661,0.02179239,-0.010832853860629257,0.23947265625,-3.917328764349222,0.0003,-0.0046934522688388824
1268.2268,1001,3317760,3312,27,432.66,0.8048653602600098,260,0.2,0.09308642285109575,0.022153078,-0.011079564870888134,0.24073649088541665,-3.8996272921438018,0.0003,0.03950193151831627
1277.8445,999,3440640,3440,28,436.66,0.8184681385755539,270,0.2,0.09278276769454048,0.021558968,-0.009873550462410396,0.23677164713541668,-3.883315395079553,0.0003,0.049073077738285065
1238.1849,999,3563520,3565,29,413.66,0.8200610727071762,280,0.2,0.09513556791159014,0.022715572,-0.010603616483034178,0.24558837890625,-3.8638719269136588,0.0003,-0.0163264237344265
1310.3701,998,3686400,3691,30,437.34,0.8232016116380692,290,0.2,0.100269339933778,0.022047905,-0.010579448166323951,0.24322184244791667,-3.8687902708475788,0.0003,0.004467617720365524
1353.9194,998,3809280,3816,31,440.22,0.8421127647161484,300,0.2,0.08913748808651387,0.022801016,-0.01082663218506544,0.24693603515625,-3.8488720683008433,0.0003,0.1332666426897049
1306.2102,997,3932160,3943,32,434.02,0.8337327837944031,310,0.2,0.0952439225439836,0.02343425,-0.010677927831220586,0.24827392578125,-3.837591435474654,0.0003,-0.0035819504410028458
1360.1416,989,4055040,4098,33,449.2,0.825936958193779,320,0.2,0.09330140167168187,0.022700198,-0.010357846474034886,0.24948160807291667,-3.818435999577244,0.0003,0.023685380816459656
1351.422,988,4177920,4225,34,435.42,0.824254959821701,330,0.2,0.08833654581171382,0.023327312,-0.010421911191873126,0.2507828776041667,-3.813971251981954,0.0003,0.026090577244758606
1390.5575,988,4300800,4352,35,444.64,0.841713085770607,340,0.2,0.09993322026799432,0.023604684,-0.010378709970412577,0.2526676432291667,-3.798331032904486,0.0003,0.026354080066084862
