rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss
447.9,122880,6517,1,18,705.3108,,,,,,,,,,
444.48,245760,1664,2,147,674.9771,0.2,0.0071884035,0.06987955729166667,-0.00253880961106006,0.015846291556954384,0.25550082531321094,-0.15211796760559082,0.0003,10,-4.270371472314
450.0,368640,1340,3,275,728.3861,0.2,0.007597173,0.07925374348958333,-0.0038539377952596016,-0.000755608081817627,0.06625686667306581,0.5703471601009369,0.0003,20,-4.2641637023538355
440.36,491520,1200,4,409,717.127,0.2,0.008343388,0.09748128255208334,-0.005321345559453524,0.027642032131552696,0.08117617311800132,0.6483161449432373,0.0003,30,-4.253055087253451
431.86,614400,1145,5,536,740.97577,0.2,0.009473988,0.11278971354166667,-0.00582811379937084,0.03311223164200783,0.09604529986158013,0.6691860556602478,0.0003,40,-4.244707133596142
443.26,737280,1100,6,670,785.37103,0.2,0.009921239,0.12526611328125,-0.006508150391564414,0.03939339891076088,0.10317844255128876,0.6777295172214508,0.0003,50,-4.230498631646236
431.84,860160,1074,7,800,826.86475,0.2,0.010358698,0.13415364583333333,-0.006954971324291061,0.07198863476514816,0.1163696189315912,0.6490147411823273,0.0003,60,-4.213515461062392
444.64,983040,1043,8,941,870.7406,0.2,0.010786609,0.13983723958333333,-0.0065319231328370125,0.0011866427958011627,0.12134675557259471,0.6937791407108307,0.0003,70,-4.202178850397468
441.84,1105920,1033,9,1069,890.8235,0.2,0.011267117,0.1488232421875,-0.007152131095936056,0.028948694467544556,0.12304215195123107,0.659757673740387,0.0003,80,-4.185267498393854
445.96,1228800,1027,10,1195,912.2782,0.2,0.011917875,0.15530924479166666,-0.006992587153290515,0.04833913967013359,0.12279690257564653,0.6848970651626587,0.0003,90,-4.1691921293487155
439.84,1351680,1022,11,1322,967.6169,0.2,0.012343599,0.16221435546875,-0.007242155373702796,0.10901390016078949,0.1302674427543146,0.711116224527359,0.0003,100,-4.147832301557064
437.08,1474560,1016,12,1450,975.3686,0.2,0.012437457,0.16505208333333332,-0.007301977819285336,0.018529750406742096,0.12523507367509107,0.7126254439353943,0.0003,110,-4.1367252880583205
450.0,1597440,1013,13,1575,1014.8399,0.2,0.012969759,0.16804443359375,-0.0073811667967675024,0.0056941919028759,0.1393645079426157,0.6627079546451569,0.0003,120,-4.124120489930113
437.52,1720320,1009,14,1703,1028.6128,0.2,0.013486592,0.17459635416666666,-0.007513342588924085,0.02577795833349228,0.13352067019790412,0.666356235742569,0.0003,130,-4.097504522576928
437.68,1843200,1007,15,1828,1075.5315,0.2,0.013782557,0.1800146484375,-0.007525596253932842,0.06434888392686844,0.12855807334330166,0.6896354854106903,0.0003,140,-4.0839622627198695
442.06,1966080,1006,16,1954,1099.7864,0.2,0.013966126,0.18697591145833334,-0.007575299805672936,0.032256849110126495,0.13780410132167162,0.6797055602073669,0.0003,150,-4.074967282811801
445.26,2088960,1004,17,2078,1102.4858,0.2,0.01471352,0.18923014322916668,-0.007589380740773777,0.018540699034929276,0.12203027240699157,0.7179178595542908,0.0003,160,-4.05598902542144
440.4,2211840,994,18,2223,1134.025,0.2,0.014950754,0.19507405598958333,-0.007201985124280933,0.0128516536206007,0.1298144584299492,0.7503084242343903,0.0003,170,-4.039366860091686
440.44,2334720,993,19,2349,1136.8029,0.2,0.015654715,0.20255859375,-0.007376893915916298,0.03028237633407116,0.12299723305817073,0.7673365622758865,0.0003,180,-4.022722500115633
446.48,2457600,992,20,2475,1197.9224,0.2,0.01587182,0.20170084635416666,-0.007157485405599194,0.03993154317140579,0.11960502757467717,0.7548280954360962,0.0003,190,-4.002781936787069
440.34,2580480,991,21,2601,1191.1908,0.2,0.01566597,0.20442057291666665,-0.006928392560839711,0.04007600247859955,0.12267906509630848,0.7519879937171936,0.0003,200,-3.982621353988846
441.82,2703360,991,22,2727,1193.5878,0.2,0.0158548,0.20892415364583333,-0.007312996729888254,0.03506210446357727,0.12427332880101555,0.7439301013946533,0.0003,210,-3.9693071723605198
432.7,2826240,990,23,2854,1182.3434,0.2,0.016741984,0.21410481770833334,-0.007431626810463664,0.03287571668624878,0.12409161848394433,0.7599935084581375,0.0003,220,-3.957505930128197
448.72,2949120,988,24,2983,1253.4181,0.2,0.016151119,0.21356119791666667,-0.0069566027173520225,0.02133861556649208,0.11951964639961564,0.7995505779981613,0.0003,230,-3.949620559712251
438.4,3072000,987,25,3111,1216.2235,0.2,0.016924191,0.21732666015625,-0.007466969271148021,0.03129551559686661,0.1138162139808992,0.7866228520870209,0.0003,240,-3.9294934497401117
447.78,3194880,986,26,3240,1267.1791,0.2,0.017027417,0.2177880859375,-0.007249573797901879,0.03887610137462616,0.10581049450052281,0.8110114634037018,0.0003,250,-3.9110797922313214
440.62,3317760,981,27,3380,1227.499,0.2,0.017316366,0.22240966796875,-0.007120214617377011,-0.005409745499491692,0.11430904472547505,0.7486117482185364,0.0003,260,-3.903112255980571
443.46,3440640,980,28,3508,1266.9146,0.2,0.017024549,0.22089436848958333,-0.0075137327145239395,0.031204095110297203,0.10198955211274248,0.7752532511949539,0.0003,270,-3.8865357665841778
443.16,3563520,980,29,3632,1293.2021,0.2,0.01746842,0.2244775390625,-0.007237465351736318,0.02510860376060009,0.09817515593448964,0.807470828294754,0.0003,280,-3.871920318926374
433.26,3686400,979,30,3761,1279.8799,0.2,0.017823348,0.2263427734375,-0.007327667634696506,0.020157484337687492,0.101498063915836,0.7958956956863403,0.0003,290,-3.858912157205244
430.44,3809280,979,31,3889,1248.7496,0.2,0.017969003,0.23072591145833332,-0.007737444400918321,0.003349343314766884,0.09942080126279809,0.8124843835830688,0.0003,300,-3.8351848085597156
436.94,3932160,978,32,4016,1258.9552,0.2,0.018173467,0.22647705078125,-0.007524974675404034,0.03595214709639549,0.09510116121595881,0.8162378668785095,0.0003,310,-3.82664600007236
437.02,4055040,978,33,4143,1294.763,0.2,0.01881692,0.23011637369791665,-0.007757228911456574,0.008601309731602669,0.09335511952803548,0.8182007968425751,0.0003,320,-3.8180871211985745
431.1,4177920,971,34,4298,1256.8445,0.2,0.018309176,0.231923828125,-0.007381583374220403,-0.008080519735813141,0.09127947412276019,0.8390939682722092,0.0003,330,-3.8034315855180223
423.76,4300800,970,35,4432,1269.8345,0.2,0.018646322,0.23296793619791667,-0.007664842643328787,0.006826018914580345,0.09093834287181381,0.8365415632724762,0.0003,340,-3.803284887125095
445.66,4423680,969,36,4560,1333.3777,0.2,0.018867683,0.23628092447916665,-0.00780766446276175,-0.00944616086781025,0.09422677197988377,0.8270908147096634,0.0003,350,-3.7983748482416075
438.38,4546560,969,37,4688,1303.8276,0.2,0.018748637,0.23171061197916668,-0.007613427641117596,0.008345965296030045,0.08240660743739378,0.8442279547452927,0.0003,360,-3.779995638728142
440.06,4669440,969,38,4817,1311.0574,0.2,0.019459486,0.23989827473958333,-0.007749187061538881,-0.0009936094284057617,0.08548047976364614,0.8464683592319489,0.0003,370,-3.7802638079101842
425.14,4792320,969,39,4945,1307.069,0.2,0.0191685,0.2397119140625,-0.007443219856728926,0.04258069396018982,0.0903355897787454,0.8291875571012497,0.0003,380,-3.769756845856706
437.5,4915200,968,40,5074,1328.3035,0.2,0.019728474,0.24128824869791668,-0.007636373604746041,0.07632268965244293,0.08835574131410491,0.8555139750242233,0.0003,390,-3.7496744407340885
441.82,5038080,968,41,5201,1360.6829,0.2,0.019589333,0.23740804036458332,-0.007276255989342341,0.00843052938580513,0.08576577736132701,0.8408788740634918,0.0003,400,-3.72837220714738
440.82,5160960,967,42,5335,1351.5748,0.2,0.019474026,0.24064290364583332,-0.007171567742583041,0.035185813903808594,0.08319175682622396,0.8248037099838257,0.0003,410,-3.7210967370619374
427.2,5283840,966,43,5465,1329.8265,0.2,0.019766899,0.23943033854166668,-0.007362313723727615,0.00795072317123413,0.0862856154818049,0.8532432168722153,0.0003,420,-3.706386629703144
429.26,5406720,965,44,5599,1342.802,0.2,0.019968398,0.2422607421875,-0.007508392535455642,0.050617046654224396,0.08861349185031334,0.8402440994977951,0.0003,430,-3.6965407373631995
441.38,5529600,965,45,5726,1369.2106,0.2,0.02009023,0.24613199869791666,-0.008111792535382847,0.012491416186094284,0.0941820085135987,0.829237550497055,0.0003,440,-3.694545726776123
428.6,5652480,965,46,5854,1346.3544,0.2,0.019683966,0.2426611328125,-0.007316009907469076,0.06895964592695236,0.09149713315535336,0.8097662776708603,0.0003,450,-3.690413618249198
440.58,5775360,965,47,5982,1380.4996,0.2,0.020300994,0.24613118489583333,-0.007307581827462855,0.021717965602874756,0.0938406572387612,0.8546577990055084,0.0003,460,-3.6720224155237275
429.16,5898240,965,48,6109,1329.5629,0.2,0.020371461,0.24715006510416668,-0.008297126079329852,-0.013384501449763775,0.08550026365061057,0.8397577404975891,0.0003,470,-3.6616259066015484
432.28,6021120,964,49,6239,1359.8364,0.2,0.020174114,0.24339111328125,-0.007292683994940792,0.007749514654278755,0.08478824360179715,0.879085935652256,0.0003,480,-3.648268124436339
427.18,6144000,963,50,6379,1348.9663,0.2,0.020762844,0.25368896484375,-0.007773185486194052,-0.016243085265159607,0.08872336522918582,0.8447762280702591,0.0003,490,-3.6284781584888695
427.0,6266880,962,51,6509,1354.5831,0.2,0.020603348,0.24993815104166667,-0.007335788817193436,0.02004007063806057,0.087344513223458,0.8435022085905075,0.0003,500,-3.6263799558455747
444.2,6389760,962,52,6637,1377.407,0.2,0.02061779,0.25202799479166665,-0.006898951007503153,0.02987096458673477,0.10637563502105574,0.816535085439682,0.0003,510,-3.6093390021969873
433.96,6512640,962,53,6764,1356.2091,0.2,0.020422237,0.245283203125,-0.007596091671457543,-0.019610412418842316,0.08951431723408557,0.8483345806598663,0.0003,520,-3.576890857430796
432.26,6635520,963,54,6890,1355.7937,0.2,0.02083965,0.24907063802083335,-0.006973413609945661,0.04667166620492935,0.08883612064780512,0.8464432209730148,0.0003,530,-3.5687920411055285
440.2,6758400,962,55,7024,1415.5631,0.2,0.020812882,0.24965657552083334,-0.00750184897722041,0.043260905891656876,0.09022943895106436,0.8576145768165588,0.0003,540,-3.559719510115683
432.18,6881280,962,56,7151,1394.979,0.2,0.020696713,0.24842854817708335,-0.007441052567010047,0.02829306200146675,0.0774661184635382,0.8414938449859619,0.0003,550,-3.544074025290708
433.92,7004160,961,57,7283,1379.077,0.2,0.021608386,0.25448486328125,-0.007552145340526598,0.027437403798103333,0.08381159062342097,0.8457934558391571,0.0003,560,-3.526730227172375
436.4,7127040,961,58,7410,1413.3899,0.2,0.02147979,0.25542317708333334,-0.007534517937904941,0.018515435978770256,0.08461896566994255,0.8342397958040237,0.0003,570,-3.5009179487948616
429.88,7249920,961,59,7539,1392.6323,0.2,0.021132069,0.25184000651041666,-0.007189230393499504,-0.0011384878307580948,0.08296862021331132,0.8373468518257141,0.0003,580,-3.485837895249327
435.02,7372800,961,60,7665,1402.9789,0.2,0.021912161,0.2587589518229167,-0.00741333804429208,0.03801054507493973,0.09442597417936971,0.8450185656547546,0.0003,590,-3.473062289096415
439.26,7495680,961,61,7792,1395.9102,0.2,0.022055324,0.25947916666666665,-0.0077306717378511774,0.02152550220489502,0.09010358947348626,0.8549365848302841,0.0003,600,-3.4619185722370944
434.78,7618560,961,62,7919,1409.5845,0.2,0.02142201,0.25445475260416667,-0.00694253704547009,0.029611587524414062,0.09583085107364847,0.84819096326828,0.0003,610,-3.4561291436478494
436.38,7741440,961,63,8051,1426.0164,0.2,0.022035737,0.2591072591145833,-0.006850963159534634,0.08676479756832123,0.10028561922032773,0.8335799276828766,0.0003,620,-3.421192020426194
421.1,7864320,959,64,8194,1381.707,0.2,0.022556191,0.26001708984375,-0.007385149894544156,0.012957906350493431,0.09249319332127925,0.8285085111856461,0.0003,630,-3.4026283500591914
441.9,7987200,959,65,8323,1444.1768,0.2,0.02248497,0.2663875325520833,-0.007580879908679587,0.01525233406573534,0.09934407031929975,0.8559520244598389,0.0003,640,-3.3849705768873295
441.8,8110080,959,66,8452,1452.1957,0.2,0.02277516,0.264033203125,-0.0069402049775999335,-0.003351394087076187,0.09857355304552282,0.8237038999795914,0.0003,650,-3.379233363084495
437.52,8232960,959,67,8581,1448.3672,0.2,0.022558121,0.2625374348958333,-0.00695065257476017,0.05937572941184044,0.08995187763110152,0.8097603917121887,0.0003,660,-3.377269920744002
442.3,8355840,959,68,8710,1498.7115,0.2,0.022659712,0.26104899088541667,-0.00692030773459616,0.039606768637895584,0.09752047983934366,0.8146015405654907,0.0003,670,-3.3557050268352033
425.96,8478720,959,69,8838,1440.9537,0.2,0.023032712,0.26626790364583336,-0.007076985429260579,0.013574585318565369,0.1002596673479032,0.7993775308132172,0.0003,680,-3.339716022585829
431.52,8601600,959,70,8965,1437.563,0.2,0.023097428,0.2661515299479167,-0.007120185681724251,0.031216152012348175,0.0876089008054017,0.8353946357965469,0.0003,690,-3.3202386887992423
431.24,8724480,959,71,9091,1443.2311,0.2,0.022654584,0.2586979166666667,-0.006288109672708136,0.030686605721712112,0.08349408843913504,0.8376643061637878,0.0003,700,-3.3092267284790675
443.04,8847360,959,72,9216,1492.0731,0.2,0.02252529,0.26200927734375,-0.007152474357068664,0.011634975671768188,0.08928197788380203,0.8343891054391861,0.0003,710,-3.2884377602487804
424.44,8970240,959,73,9345,1431.3542,0.2,0.022670647,0.2624104817708333,-0.007204680262602779,0.04359346255660057,0.08576224221115505,0.8193402588367462,0.0003,720,-3.2788791540140907
418.82,9093120,959,74,9473,1409.8851,0.2,0.02276787,0.261708984375,-0.006910332860137108,0.04267210140824318,0.08829306619838462,0.8316347897052765,0.0003,730,-3.2588533997039
422.46,9216000,959,75,9600,1437.95,0.2,0.023251878,0.26541829427083335,-0.0070008263811845006,0.0009930375963449478,0.09044997229672541,0.8550893664360046,0.0003,740,-3.2509509266540406
438.96,9338880,959,76,9729,1467.4111,0.2,0.02265033,0.26544596354166666,-0.007140875496291604,0.03895493224263191,0.09374451234689332,0.8346698135137558,0.0003,750,-3.2333633102849126
437.76,9461760,958,77,9873,1464.6742,0.2,0.023193147,0.26631998697916665,-0.006710173029277939,-0.014490583911538124,0.09373825832270086,0.8199448585510254,0.0003,760,-3.2307488033920526
443.08,9584640,958,78,9999,1486.9453,0.2,0.022991575,0.2657804361979167,-0.006715030423711141,-0.011266644112765789,0.09321933305254788,0.8291052877902985,0.0003,770,-3.2191460352639356
445.26,9707520,958,79,10129,1493.674,0.2,0.02362331,0.26513509114583333,-0.006296128675573224,0.02384520135819912,0.09849506888485242,0.8035399615764618,0.0003,780,-3.2177377788101635
429.36,9830400,958,80,10255,1452.2891,0.2,0.023012066,0.2631380208333333,-0.006688201586442422,0.046892307698726654,0.09321074236717929,0.8241335451602936,0.0003,790,-3.211021411679685
447.64,9953280,958,81,10383,1495.5135,0.2,0.022763854,0.26222330729166665,-0.0066783846959333456,-0.012033741921186447,0.0895228067964975,0.8113246709108353,0.0003,800,-3.2161665571729343
432.22,10076160,958,82,10514,1469.5809,0.2,0.023546752,0.2677734375,-0.006985550635933275,0.02079915814101696,0.08921196219419168,0.8184226900339127,0.0003,810,-3.189570963817338
440.32,10199040,958,83,10643,1481.7883,0.2,0.023680825,0.26896484375,-0.006614009251843527,0.06280817091464996,0.09944457980993321,0.8104118406772614,0.0003,820,-3.190074204429984
431.02,10321920,958,84,10772,1448.5485,0.2,0.023329023,0.2639697265625,-0.006767761066954942,-0.0017484743148088455,0.08425683317002647,0.833718404173851,0.0003,830,-3.199600867815316
443.14,10444800,956,85,10915,1499.3625,0.2,0.023516802,0.26556233723958333,-0.006856671069199365,0.041306935250759125,0.08361160408322273,0.8334976583719254,0.0003,840,-3.195767924040556
428.44,10567680,956,86,11042,1456.2708,0.2,0.023171352,0.2644921875,-0.007045352836897412,0.0321383997797966,0.08559959075510658,0.8347850292921066,0.0003,850,-3.1904859350497525
434.14,10690560,956,87,11170,1482.435,0.2,0.023406915,0.26799072265625,-0.00777042742186192,0.045448049902915955,0.07788313236519268,0.8570276498794556,0.0003,860,-3.141793433750669
431.2,10813440,957,88,11298,1478.8835,0.2,0.02327811,0.2700553385416667,-0.006938672511872331,0.03248616307973862,0.08879914255827316,0.8381719142198563,0.0003,870,-3.1366467563807965
435.32,10936320,957,89,11425,1501.6628,0.2,0.023571085,0.26639892578125,-0.006642815014777928,0.023785879835486412,0.08316031266799352,0.8364607840776443,0.0003,880,-3.0995873576402664
434.4,11059200,957,90,11555,1488.2178,0.2,0.023135325,0.26218587239583335,-0.007033330149273146,0.009822379797697067,0.07795329640352672,0.851626455783844,0.0003,890,-3.065841280457874
444.64,11182080,957,91,11682,1536.2255,0.2,0.023101015,0.2577083333333333,-0.0072075792660810595,-0.003259364515542984,0.07583036022178324,0.8614278733730316,0.0003,900,-3.030081274198989
433.78,11304960,957,92,11808,1473.9977,0.2,0.02251721,0.25713541666666667,-0.006680090448468642,0.0413261316716671,0.07705746699963735,0.8341715335845947,0.0003,910,-3.0121328855678438
438.48,11427840,957,93,11933,1534.6067,0.2,0.022305142,0.2531982421875,-0.006478627228334517,0.021091030910611153,0.07241882865816782,0.8554402589797974,0.0003,920,-3.0008845518529417
421.22,11550720,957,94,12061,1444.4923,0.2,0.022238262,0.25716959635416664,-0.006847149246914342,0.03991886228322983,0.07685895264148712,0.8585440069437027,0.0003,930,-2.9817833148067194
436.68,11673600,957,95,12190,1507.9167,0.2,0.02342516,0.25909423828125,-0.006875589434973032,0.0080155860632658,0.09185337532195263,0.8518309593200684,0.0003,940,-2.976836568589012
446.8,11796480,957,96,12321,1550.1333,0.2,0.022791456,0.2566650390625,-0.006480934353221528,0.048274505883455276,0.07719442324513996,0.8541195243597031,0.0003,950,-2.9676834324498973
441.76,11919360,956,97,12459,1527.4022,0.2,0.022704525,0.2559358723958333,-0.006905958776751504,0.0723007321357727,0.07604037718813439,0.8609651327133179,0.0003,960,-2.978203894284864
437.24,12042240,956,98,12587,1502.734,0.2,0.02338875,0.25796712239583336,-0.007854662121711348,-0.0009466242045164108,0.0752885810030178,0.8600846230983734,0.0003,970,-2.9524634854495524
435.7,12165120,956,99,12714,1525.1154,0.2,0.022007342,0.24940999348958334,-0.006219601300169113,0.04268336668610573,0.07490071497658694,0.8703527450561523,0.0003,980,-2.9598805962627135
437.42,12288000,956,100,12841,1512.5995,0.2,0.022532938,0.2552392578125,-0.006648793846937527,0.0043563805520534515,0.07634462060736648,0.8694261461496353,0.0003,990,-2.9485475030044714
447.58,12410880,956,101,12969,1576.2593,0.2,0.022628589,0.2560595703125,-0.0066803330272826615,-0.015802372246980667,0.07170633505525378,0.8846084624528885,0.0003,1000,-2.9495690683772167
441.46,12533760,957,102,13096,1550.7219,0.2,0.022558263,0.2578857421875,-0.006863635635548538,0.08650508522987366,0.07560865695006214,0.8615063279867172,0.0003,1010,-2.9415231957286596
444.8,12656640,957,103,13222,1581.9525,0.2,0.022948138,0.2599235026041667,-0.007095141431636876,-0.007643787190318108,0.07087318457051879,0.8671820163726807,0.0003,1020,-2.9332603751619657
444.52,12779520,957,104,13349,1580.6929,0.2,0.023445688,0.25877278645833335,-0.006481226799999907,0.12275132536888123,0.07494422972221704,0.8707430809736252,0.0003,1030,-2.9237275893986223
435.46,12902400,957,105,13477,1554.0598,0.2,0.02245051,0.25597412109375,-0.006067367130623703,0.03585653752088547,0.0795906184167446,0.8712433874607086,0.0003,1040,-2.89703974823157
439.8,13025280,957,106,13606,1551.9602,0.2,0.02335724,0.25713541666666667,-0.007114702951397097,0.01163809560239315,0.07320648755684185,0.8953574523329735,0.0003,1050,-2.8772858992964028
442.92,13148160,956,107,13747,1543.5562,0.2,0.022833884,0.25173828125,-0.006802970939643274,0.016737092286348343,0.0729784851942289,0.8767262101173401,0.0003,1060,-2.875290598124266
436.4,13271040,956,108,13873,1537.789,0.2,0.02277451,0.25384114583333334,-0.006171420220095266,0.07724732160568237,0.07577394591862685,0.8751615881919861,0.0003,1070,-2.9061575931683183
434.2,13393920,956,109,14006,1556.2308,0.2,0.023081137,0.25492919921875,-0.006615508746296352,0.00431467592716217,0.06705431613047647,0.8928316608071327,0.0003,1080,-2.8977289701998235
435.76,13516800,956,110,14132,1556.6144,0.2,0.023053598,0.25659423828125,-0.006839228938933957,0.01693001762032509,0.07418256039129725,0.8715991675853729,0.0003,1090,-2.8877269237364334
441.74,13639680,956,111,14260,1600.4231,0.2,0.022909129,0.25830647786458333,-0.0068183467410411445,0.05334646254777908,0.07572621644789858,0.8722109347581863,0.0003,1100,-2.8941845527291297
442.42,13762560,956,112,14385,1571.7633,0.2,0.022891406,0.25681966145833335,-0.0057684499117112865,0.004073917865753174,0.07880267935555214,0.8482115715742111,0.0003,1110,-2.8785014855116606
447.12,13885440,956,113,14514,1579.3942,0.2,0.022004796,0.24697591145833334,-0.0068755171890916246,-0.009386653080582619,0.06208834436033309,0.8830045834183693,0.0003,1120,-2.8497895148272314
449.78,14008320,956,114,14643,1593.8977,0.2,0.022703508,0.25241943359375,-0.00659284342821896,-0.015954963862895966,0.06508553195085066,0.8774525001645088,0.0003,1130,-2.826212640032172
450.0,14131200,956,115,14772,1608.761,0.2,0.022846457,0.25144612630208335,-0.006815289623967449,0.004632189869880676,0.05983126061274864,0.8783207535743713,0.0003,1140,-2.813974215500057
441.56,14254080,956,116,14907,1584.9576,0.2,0.02328262,0.25339925130208335,-0.0067045530459533135,0.050293952226638794,0.06337997053095024,0.8782643526792526,0.0003,1150,-2.8052649968490004
440.66,14376960,956,117,15038,1557.5743,0.2,0.023527892,0.2551497395833333,-0.006511279432367398,0.007076669484376907,0.07283222269514227,0.8793684840202332,0.0003,1160,-2.8064585978661976
440.64,14499840,955,118,15173,1585.9652,0.2,0.023945602,0.2569352213541667,-0.006527651427792686,-0.008300956338644028,0.06500806660250721,0.8793032243847847,0.0003,1170,-2.78537366549174
449.16,14622720,955,119,15300,1623.3923,0.2,0.02384944,0.25494466145833333,-0.006110125433200058,0.0028066840022802353,0.0743367493034748,0.8636185228824615,0.0003,1180,-2.795436525841554
446.74,14745600,955,120,15429,1615.2303,0.2,0.023826653,0.257392578125,-0.006519175634483266,0.022703398019075394,0.0704621400636582,0.8609726577997208,0.0003,1190,-2.8000192244226736
443.22,14868480,955,121,15555,1597.4781,0.2,0.023428451,0.25499348958333334,-0.006719660629454059,0.00968003086745739,0.0693026621931737,0.8621073663234711,0.0003,1200,-2.7854736591875553
446.82,14991360,955,122,15683,1622.1564,0.2,0.023232082,0.25301432291666665,-0.0072666727347374645,0.009082060307264328,0.06427699468961995,0.8782126680016518,0.0003,1210,-2.791375034439067
448.08,15114240,955,123,15810,1619.4197,0.2,0.02334317,0.2572737630208333,-0.006699319133082706,0.01741146482527256,0.06951251091964271,0.8696092367172241,0.0003,1220,-2.782810021651288
450.0,15237120,955,124,15938,1638.2699,0.2,0.023976259,0.2570084635416667,-0.006263864864498221,0.0642557442188263,0.07417458614043426,0.8626438975334167,0.0003,1230,-2.7747760849446057
442.48,15360000,954,125,16085,1597.6893,0.2,0.023244718,0.2552189127604167,-0.006280119642124191,0.008897421881556511,0.07759465022958466,0.8324383944272995,0.0003,1240,-2.787550119124353
435.62,15482880,955,126,16211,1570.9988,0.2,0.02310775,0.2529451497395833,-0.005931750957746166,0.005152566358447075,0.07167656775835592,0.8706734627485275,0.0003,1250,-2.774457906248669
446.5,15605760,953,127,16367,1608.7173,0.2,0.023597233,0.25446207682291666,-0.006557052860377249,0.0051366835832595825,0.0705933023894128,0.8716965317726135,0.0003,1260,-2.76371086815993
440.84,15728640,953,128,16494,1590.9044,0.2,0.023060959,0.25402506510416667,-0.005763819874065727,0.0036678100004792213,0.07118581288993786,0.8706701248884201,0.0003,1270,-2.7748985643436512
