time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss
122880,430.0,1544.4777,5996,1,20,,,,,,,,,,
245760,339.46666666666664,1192.6202,1239,2,198,0.0002,0.12267257273197174,0.6444686353206635,0.44420735677083334,1940,-0.006140328073309623,0.2601487360042908,0.2,0.1669116,-1.2543510877558341
368640,422.73333333333335,1508.9622,961,3,383,0.0002,0.02242426946759224,0.7065287828445435,0.444521484375,1950,-0.00657614559693684,0.13144666008728867,0.2,0.17155106,-1.24119866621991
491520,383.3333333333333,1382.5759,878,4,559,0.0002,0.06673607230186462,0.7244095504283905,0.4413956705729167,1960,-0.007001867278243784,0.12985634446328428,0.2,0.15890306,-1.2771564992920805
614400,433.6,1563.6545,835,5,735,0.0002,0.02788197621703148,0.7189083397388458,0.439814453125,1970,-0.006411753859780826,0.1290640115008379,0.2,0.15680712,-1.2736251075721035
737280,432.26666666666665,1525.0344,810,6,910,0.0002,0.05768568441271782,0.7187761068344116,0.43929850260416664,1980,-0.00665647775619315,0.12937192660290747,0.2,0.1599429,-1.2740103157547613
860160,409.1333333333333,1505.7532,787,7,1092,0.0002,0.06932774186134338,0.7069610357284546,0.43924641927083335,1990,-0.006540596842144927,0.1331665371740625,0.2,0.1659209,-1.256267886546751
983040,366.26666666666665,1354.569,774,8,1269,0.0002,0.1931079924106598,0.7237093448638916,0.4383935546875,2000,-0.006574514800474086,0.12864906125537043,0.2,0.15808508,-1.251669230669116
1105920,424.26666666666665,1517.6287,764,9,1445,0.0002,0.06129053980112076,0.7143566608428955,0.4362386067708333,2010,-0.0066370482821730544,0.13857414517891206,0.2,0.15437466,-1.2753459626187882
1228800,389.4,1394.9332,758,10,1619,0.0002,0.023412125185132027,0.714360773563385,0.43806315104166665,2020,-0.006656192632896516,0.13260228438312577,0.2,0.16024728,-1.246876818574965
1351680,381.3333333333333,1348.2792,752,11,1795,0.0002,0.009690124541521072,0.6968502700328827,0.43652587890625,2030,-0.0068898954208028345,0.13578058355740116,0.2,0.1609154,-1.2269926252961159
1474560,405.73333333333335,1495.7971,747,12,1971,0.0002,0.023428596556186676,0.733998030424118,0.43468343098958334,2040,-0.006940845526769408,0.12761572800275947,0.2,0.16782604,-1.2391984380067635
1597440,396.26666666666665,1435.3784,743,13,2148,0.0002,-0.00871090404689312,0.7136206328868866,0.43680745442708335,2050,-0.007857985003180754,0.13316286236600716,0.2,0.15309912,-1.247888161142667
1720320,377.3333333333333,1378.2573,739,14,2325,0.0002,-0.004607832059264183,0.6994766592979431,0.43733072916666665,2060,-0.006562234319268706,0.13272157398440565,0.2,0.16421165,-1.2009154136882474
1843200,380.8666666666667,1405.0684,736,15,2502,0.0002,0.04915054142475128,0.6998010873794556,0.43496907552083336,2070,-0.0069081418702929415,0.1372792995244769,0.2,0.15971865,-1.224484797725454
1966080,381.0,1387.8351,734,16,2678,0.0002,-0.0171972569078207,0.7034205794334412,0.4358902994791667,2080,-0.0071101028304716846,0.13060531293294236,0.2,0.15388732,-1.2358280730992555
2088960,377.0,1358.886,731,17,2856,0.0002,0.005332170054316521,0.712268590927124,0.4322005208333333,2090,-0.006397575234162408,0.1317017258675575,0.2,0.1575387,-1.2222177000933636
2211840,384.06666666666666,1367.6818,729,18,3032,0.0002,0.033275991678237915,0.6849648058414459,0.43079182942708333,2100,-0.006980468188800539,0.13929668451736993,0.2,0.1536534,-1.2094177955357979
2334720,399.06666666666666,1441.5375,727,19,3209,0.0002,-0.008530477061867714,0.7003162205219269,0.4335986328125,2110,-0.007356701837658572,0.13040064786357106,0.2,0.15628809,-1.2121660346289476
2457600,404.53333333333336,1490.8885,725,20,3387,0.0002,-0.007954327389597893,0.7121545076370239,0.4326888020833333,2120,-0.007549507537029664,0.12995297561690677,0.2,0.15623516,-1.238300086905559
2580480,375.93333333333334,1411.2396,722,21,3570,0.0002,0.025158224627375603,0.6963663995265961,0.43396240234375,2130,-0.006976134848658452,0.13353212814846,0.2,0.15507825,-1.2322015463809173
2703360,360.73333333333335,1323.7848,718,22,3760,0.0002,0.02450150065124035,0.7099022269248962,0.43220133463541666,2140,-0.007755317107688218,0.12756961200376585,0.2,0.15376654,-1.248712119171396
2826240,408.0,1504.2922,718,23,3936,0.0002,0.12266703695058823,0.6983058154582977,0.4323421223958333,2150,-0.007976499778918272,0.1329762109783284,0.2,0.14934422,-1.2664691288489849
2949120,406.0,1497.9436,716,24,4113,0.0002,-0.012297961860895157,0.7123373746871948,0.43316324869791667,2160,-0.006904448426454716,0.12727738878844927,0.2,0.15741923,-1.2370076406219352
3072000,376.53333333333336,1406.7366,716,25,4287,0.0002,0.00460430420935154,0.6992306411266327,0.4298828125,2170,-0.00769479993411854,0.12950633024864752,0.2,0.14908598,-1.2322338643173376
3194880,396.93333333333334,1468.9387,715,26,4464,0.0002,0.057455435395240784,0.703764945268631,0.4292854817708333,2180,-0.0068778278445703715,0.13274045259070893,0.2,0.15410422,-1.2218142115448911
