rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_range,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction
748.4046,450.0,1,6082,122880,20,,,,,,,,,,
726.422,450.0,2,1149,245760,213,0.2,0.009574912,10,0.0033193016424775124,0.0002,-4.269597603107492,-0.007070077577518532,-0.04966175556182861,0.14814254939366947,0.0809765625
817.07007,450.0,3,991,368640,371,0.2,0.012018365,20,-0.018633048981428146,0.0002,-4.255850866933664,-0.01330871698230112,0.7159056961536407,0.037857102677711134,0.12517985026041667
862.3616,450.0,4,932,491520,527,0.2,0.014439096,30,-0.0169523935765028,0.0002,-4.2358586330960195,-0.018961508201343045,0.807023674249649,0.048534995313093535,0.16387451171875
922.1738,450.0,5,897,614400,684,0.2,0.016191471,40,0.0016472414135932922,0.0002,-4.212424010063211,-0.021420049015493228,0.8227444440126419,0.061475848158200584,0.18862548828125
974.50397,450.0,6,878,737280,839,0.2,0.018076692,50,-0.009132225066423416,0.0002,-4.185049227600296,-0.023425186873573693,0.8114920109510422,0.06522218835908765,0.20859212239583333
1015.24664,427.73333333333335,7,862,860160,997,0.2,0.02042552,60,0.0254728514701128,0.0002,-4.152066756387551,-0.025252388678491115,0.8015165328979492,0.07019772421617139,0.22947102864583332
1104.5604,450.0,8,852,983040,1152,0.2,0.02183782,70,-0.021498452872037888,0.0002,-4.121660295451681,-0.025992155295383176,0.7772144824266434,0.07030336589659177,0.24358154296875
1135.8757,450.0,9,844,1105920,1310,0.2,0.023877652,80,-0.023707719519734383,0.0002,-4.09277964045604,-0.027197888971246965,0.7577706426382065,0.0694210492412094,0.2571866861979167
1105.3804,425.06666666666666,10,837,1228800,1467,0.2,0.025292879,90,-0.0247470885515213,0.0002,-4.063942701891064,-0.027185197902351018,0.7348439991474152,0.06313619830131453,0.26988362630208335
1223.1783,438.1333333333333,11,831,1351680,1624,0.2,0.027620021,100,-0.037852756679058075,0.0002,-4.029935896111032,-0.027406414022649792,0.7428527772426605,0.06047145169005186,0.28295003255208334
1306.9153,450.0,12,827,1474560,1782,0.2,0.029103315,110,-0.02173922024667263,0.0002,-4.003647969029844,-0.028128352868795142,0.7213670909404755,0.05669703751181563,0.2924609375
1263.3295,429.6,13,822,1597440,1941,0.2,0.030457433,120,-0.016217906028032303,0.0002,-3.9734752574190497,-0.028345748498480438,0.7362932562828064,0.05422429731232114,0.30262125651041666
1379.7847,448.1333333333333,14,819,1720320,2099,0.2,0.03246922,130,-0.015957839787006378,0.0002,-3.9414736338456473,-0.028835410452035526,0.7346612513065338,0.05130671944837862,0.31422119140625
1317.3711,431.0,15,815,1843200,2259,0.2,0.034110863,140,-0.04080217704176903,0.0002,-3.905275106454889,-0.028047896757573958,0.7444667518138885,0.049103492477249044,0.32376708984375
1290.4934,415.2,16,813,1966080,2416,0.2,0.035993654,150,-0.0006194021552801132,0.0002,-3.867424002674719,-0.02832805112119483,0.7288971543312073,0.05118997842912601,0.33482503255208335
1335.4481,425.0,17,812,2088960,2572,0.2,0.037448306,160,-0.05903461202979088,0.0002,-3.8405285952116053,-0.028510814418174657,0.715230256319046,0.04692931599061315,0.3418684895833333
1389.2844,441.0,18,810,2211840,2728,0.2,0.03797395,170,-0.013732599094510078,0.0002,-3.818529375270009,-0.027950154389260812,0.7299633622169495,0.04890813321442693,0.34722412109375
1399.2303,433.3333333333333,19,808,2334720,2887,0.2,0.040284563,180,-0.002943350002169609,0.0002,-3.788955373416344,-0.028736246177965465,0.7157723307609558,0.05091930337550972,0.35763346354166664
1390.8075,429.73333333333335,20,805,2457600,3052,0.2,0.041034482,190,-0.0034509990364313126,0.0002,-3.7548542699466148,-0.02799063036286801,0.7371300160884857,0.04787421603502783,0.3631510416666667
1328.8201,405.06666666666666,21,804,2580480,3209,0.2,0.043993134,200,-0.02122564986348152,0.0002,-3.7198646332944434,-0.028281260895006804,0.7130599915981293,0.053401458726778706,0.37048177083333333
1403.1603,416.26666666666665,22,802,2703360,3367,0.2,0.044516016,210,-0.06368336081504822,0.0002,-3.696080741733313,-0.028284649666699503,0.7247361838817596,0.0498695581992312,0.3792423502604167
1286.143,404.0,23,802,2826240,3521,0.2,0.046379983,220,-0.029666133224964142,0.0002,-3.665484173335135,-0.028627981269413186,0.7111789882183075,0.050662649093865184,0.38506429036458334
1400.582,428.0,24,801,2949120,3677,0.2,0.048904642,230,-0.025555742904543877,0.0002,-3.631232167271276,-0.028217552507636964,0.7234498262405396,0.050400374366678685,0.39186197916666665
1311.9308,387.93333333333334,25,801,3072000,3834,0.2,0.049040955,240,-0.051192641258239746,0.0002,-3.603573358207941,-0.028451695322255544,0.703739732503891,0.05051005277937899,0.39651692708333336
1510.4592,440.8666666666667,26,793,3194880,4027,0.2,0.05167192,250,-0.05007888004183769,0.0002,-3.5628991304089626,-0.027347426990684955,0.6769132912158966,0.056718213113344976,0.40624348958333334
1476.5996,440.2,27,792,3317760,4185,0.2,0.05365526,260,-0.05039040744304657,0.0002,-3.5288670804475744,-0.026967769630427938,0.6654011905193329,0.055127458675027205,0.41104248046875
1301.3324,379.73333333333335,28,792,3440640,4343,0.2,0.053986896,270,-0.04073522984981537,0.0002,-3.505129540450871,-0.027204202394480792,0.6660999357700348,0.05237406074612712,0.4164632161458333
1428.1741,421.6666666666667,29,791,3563520,4501,0.2,0.056594007,280,-0.0074086375534534454,0.0002,-3.489426713536183,-0.027825084468895513,0.6814217269420624,0.053762186532258054,0.42239827473958336
1565.0884,450.0,30,790,3686400,4660,0.2,0.057288773,290,-0.03472574055194855,0.0002,-3.4452641834691167,-0.027294490715527597,0.6736804842948914,0.054224290906810586,0.4279402669270833
1403.9388,405.3333333333333,31,790,3809280,4817,0.2,0.0592453,300,-0.05694892257452011,0.0002,-3.419574817555646,-0.02643320039357301,0.6578274667263031,0.05614347736132913,0.42990315755208336
1337.0835,384.26666666666665,32,789,3932160,4978,0.2,0.060293965,310,-0.014381032437086105,0.0002,-3.3866839653626086,-0.026451626508872627,0.6717641353607178,0.05879087098966314,0.4366536458333333
1522.1497,437.26666666666665,33,789,4055040,5138,0.2,0.060474277,320,-0.028166232630610466,0.0002,-3.3690102344130475,-0.0259337396545925,0.6538102328777313,0.0582611399567395,0.4369921875
1151.4004,339.6,34,788,4177920,5295,0.2,0.062468868,330,-0.002847740426659584,0.0002,-3.3415683159356315,-0.026435868250167308,0.6202056109905243,0.06016629539871549,0.4431559244791667
1295.476,378.93333333333334,35,789,4300800,5450,0.2,0.06418943,340,-0.00021035317331552505,0.0002,-3.3246101693436505,-0.026479276166343577,0.6396705508232117,0.062221930269539975,0.4486328125
1583.5663,450.0,36,788,4423680,5608,0.2,0.06559393,350,0.038084711879491806,0.0002,-3.2853246367846927,-0.02629311373886594,0.6341127455234528,0.06405600397042387,0.44914388020833335
1555.0311,450.0,37,788,4546560,5765,0.2,0.066516735,360,0.0014323722571134567,0.0002,-3.2593449778979022,-0.025807873404179796,0.6399965584278107,0.06390270259032453,0.4547835286458333
1429.5204,406.93333333333334,38,788,4669440,5925,0.2,0.06631049,370,-0.03543217480182648,0.0002,-3.2335970985889433,-0.024256409889039786,0.6287760734558105,0.06368903969007078,0.45409749348958334
1379.6991,383.06666666666666,39,787,4792320,6083,0.2,0.06783592,380,-0.034455910325050354,0.0002,-3.206493816934526,-0.02515676894976423,0.6366031467914581,0.06221756906035201,0.4573592122395833
1555.0714,450.0,40,787,4915200,6244,0.2,0.071000606,390,-0.05298499017953873,0.0002,-3.1864237574115397,-0.025282176052648233,0.639075368642807,0.06324402040064646,0.46192057291666666
1503.8226,431.26666666666665,41,787,5038080,6399,0.2,0.07081438,400,0.0007397327572107315,0.0002,-3.1614736679941418,-0.024806109625848574,0.6345194280147552,0.06599050504368885,0.46356689453125
1434.552,412.26666666666665,42,786,5160960,6558,0.2,0.0725951,410,-0.056152284145355225,0.0002,-3.1342803127566974,-0.02422355283353075,0.639906644821167,0.06720038535471153,0.46641927083333334
1493.418,423.0,43,786,5283840,6715,0.2,0.074861005,420,-0.02086593024432659,0.0002,-3.1112362535918754,-0.024530338912572915,0.628136396408081,0.06773999038152397,0.46874593098958334
1393.8925,401.53333333333336,44,786,5406720,6873,0.2,0.074393615,430,-0.05555540695786476,0.0002,-3.081650186193486,-0.024507834493573077,0.6461301743984222,0.06755611646556645,0.4687394205729167
1442.4127,405.26666666666665,45,785,5529600,7037,0.2,0.07664214,440,-0.009347714483737946,0.0002,-3.0520247126246494,-0.024473412561686322,0.632966011762619,0.06905988113891605,0.47511474609375
1539.1027,446.93333333333334,46,785,5652480,7195,0.2,0.076342486,450,-0.030073991045355797,0.0002,-3.03159641901652,-0.023926724230756615,0.6211757659912109,0.06798198431943699,0.4737044270833333
1542.2875,432.06666666666666,47,785,5775360,7353,0.2,0.07879812,460,-0.009545935317873955,0.0002,-2.9843532274415097,-0.02315584742475039,0.6216104924678802,0.07310109442808121,0.4770751953125
1627.9935,450.0,48,785,5898240,7512,0.2,0.08013134,470,0.0073075853288173676,0.0002,-2.9778723681966466,-0.023393394390811107,0.6115725040435791,0.07775787307851716,0.47847900390625
1292.065,365.6666666666667,49,784,6021120,7670,0.2,0.07902739,480,0.05675721913576126,0.0002,-2.945460846560697,-0.023236230435168183,0.6191875636577606,0.07353235323505941,0.47795735677083334
1441.7662,407.06666666666666,50,784,6144000,7827,0.2,0.08012235,490,0.0463198721408844,0.0002,-2.9358631596465905,-0.023599576718006575,0.6516442000865936,0.0710414021006242,0.47981119791666665
1524.6636,424.93333333333334,51,784,6266880,7986,0.2,0.0820914,500,-0.009660737589001656,0.0002,-2.905626118729512,-0.02334301885382653,0.6477152705192566,0.0722458432407196,0.48097574869791665
1316.4077,377.2,52,784,6389760,8145,0.2,0.08359779,510,-0.01265399158000946,0.0002,-2.862943122833967,-0.02261593435875208,0.6192528009414673,0.07920948790279606,0.4862312825520833
1348.4569,375.06666666666666,53,784,6512640,8305,0.2,0.08571508,520,0.03221355378627777,0.0002,-2.828776201059421,-0.022340399736494872,0.6183473169803619,0.08150560297008876,0.4886653645833333
1474.8407,432.4,54,783,6635520,8465,0.2,0.08576341,530,0.017802966758608818,0.0002,-2.8168647039184966,-0.021526422232273034,0.6416272222995758,0.07738341702065857,0.48703857421875
1331.4291,384.2,55,783,6758400,8624,0.2,0.08634212,540,-0.03867046535015106,0.0002,-2.8031619908784826,-0.02224044007257665,0.6274698078632355,0.07578990003438472,0.491259765625
1485.8911,427.73333333333335,56,783,6881280,8782,0.2,0.08831494,550,0.014837298542261124,0.0002,-2.7843917522579433,-0.022395908961188978,0.6225712299346924,0.07993933287565597,0.49157145182291667
1485.1989,423.6666666666667,57,783,7004160,8941,0.2,0.0893991,560,-0.009306002408266068,0.0002,-2.7663028159116707,-0.02279758057572811,0.6241406202316284,0.0805381589049163,0.4945369466145833
1568.6666,444.4,58,783,7127040,9100,0.2,0.08920518,570,0.02129252254962921,0.0002,-2.746344959437847,-0.022033171752009365,0.6263701915740967,0.08231992478918983,0.49361002604166665
1499.1199,419.46666666666664,59,781,7249920,9275,0.2,0.09022258,580,-0.01129111647605896,0.0002,-2.723980435207486,-0.022044576488078747,0.6341985166072845,0.08150365501909013,0.49510986328125
1351.2174,373.1333333333333,60,780,7372800,9449,0.2,0.09196065,590,0.03334346413612366,0.0002,-2.6917840567976237,-0.021373546242187635,0.6318588256835938,0.0800560700581506,0.4935603841145833
1369.4165,382.8,61,780,7495680,9609,0.2,0.10166202,600,-0.006041347980499268,0.0002,-2.661086239690582,-0.022332623698409104,0.637635737657547,0.08814468591774736,0.5017073567708333
1452.6323,404.6,62,779,7618560,9770,0.2,0.094636135,610,0.004424603655934334,0.0002,-2.641143409969906,-0.020836581897541086,0.6269034445285797,0.08587835699892214,0.49979085286458336
1467.8912,413.6666666666667,63,779,7741440,9929,0.2,0.095678315,620,-0.00496150366961956,0.0002,-2.620193317197263,-0.02080908002331853,0.6064131259918213,0.08664574565521131,0.49939371744791666
1557.8849,430.1333333333333,64,779,7864320,10089,0.2,0.09337233,630,-0.0445227213203907,0.0002,-2.6273929439485073,-0.02130337383660541,0.6160483658313751,0.0868155497237846,0.49907552083333334
1432.9913,413.8,65,779,7987200,10250,0.2,0.09605632,640,0.0006680572405457497,0.0002,-2.590341916469236,-0.0202586377432605,0.6285985708236694,0.08290457317857848,0.4967830403645833
1426.7135,402.2,66,776,8110080,10445,0.2,0.098207206,650,-0.052384696900844574,0.0002,-2.5641322547321517,-0.02100244299131494,0.6355903148651123,0.08656937371095409,0.50049072265625
1518.9283,421.53333333333336,67,776,8232960,10602,0.2,0.09860586,660,-0.020569713786244392,0.0002,-2.5501985236257316,-0.020899237913702868,0.6202027499675751,0.09125636819536642,0.5022111002604167
1295.8988,358.2,68,776,8355840,10759,0.2,0.098486856,670,0.02813783846795559,0.0002,-2.5163723412776986,-0.02061587653605481,0.6715746223926544,0.0883660411396219,0.50180419921875
1430.4785,394.73333333333335,69,776,8478720,10918,0.2,0.09995767,680,-0.02381739392876625,0.0002,-2.494438934351007,-0.020276288445644847,0.6504338681697845,0.08847911896707955,0.5009415690104166
1348.9199,380.2,70,776,8601600,11078,0.2,0.100072175,690,0.00019599497318267822,0.0002,-2.4616885487362743,-0.018769020494291907,0.6559797525405884,0.08909161356306868,0.5017366536458333
1392.5194,386.6,71,773,8724480,11273,0.2,0.104505174,700,0.016510069370269775,0.0002,-2.4215787862427534,-0.018737765189792602,0.6479832530021667,0.08951561734177327,0.5048502604166667
1485.9735,410.73333333333335,72,773,8847360,11432,0.2,0.1042646,710,0.0028873756527900696,0.0002,-2.421136684740583,-0.018743441830592927,0.6306238770484924,0.09196727528236806,0.5049015299479167
1537.9718,429.46666666666664,73,773,8970240,11603,0.2,0.10436808,720,-0.03399530053138733,0.0002,-2.4096520631263654,-0.018810120945575666,0.6155036985874176,0.09056082212894884,0.5042976888020834
1515.6595,431.1333333333333,74,773,9093120,11760,0.2,0.10476212,730,0.0032055964693427086,0.0002,-2.3852113005208473,-0.018563898110157122,0.6231703758239746,0.09125721718233157,0.5060970052083333
1532.1671,420.1333333333333,75,773,9216000,11919,0.2,0.10779864,740,-0.028315356001257896,0.0002,-2.354488326497376,-0.018602992853563288,0.6454440951347351,0.09198292490900106,0.50550537109375
1532.7029,429.2,76,773,9338880,12081,0.2,0.106595404,750,-0.0074956100434064865,0.0002,-2.351921264088402,-0.018865022752640168,0.5977080464363098,0.09322510084166424,0.5055167643229167
1464.6334,404.73333333333335,77,773,9461760,12238,0.2,0.105721354,760,-0.02094273641705513,0.0002,-2.3288747517205777,-0.018527780822660135,0.62193164229393,0.09693717820385549,0.5030452473958333
1599.1965,439.0,78,772,9584640,12401,0.2,0.10871124,770,-0.011713671498000622,0.0002,-2.303020438961685,-0.018048036121787542,0.5869299471378326,0.09934884079227535,0.5085986328125
