time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/entropy_loss
1,694.4021,122880,450.0,6307,19,,,,,,,,,,
2,723.7881,245760,450.0,1373,178,-0.006299263295053,0.2,0.0002,0.009468263,0.07692545572916666,0.16123054448452118,-0.02304387092590332,10,0.009934039786458015,-4.2701258057107525
3,759.7676,368640,450.0,1092,337,-0.014140559041964783,0.2,0.0002,0.012195086,0.13218668619791665,0.029756883957791917,0.6705307364463806,20,0.012553769163787365,-4.256516709402203
4,786.1667,491520,450.0,991,495,-0.018554897932457,0.2,0.0002,0.014520887,0.16728271484375,0.03936222175359338,0.7886427789926529,30,-0.0027305781841278076,-4.237576583474874
5,840.2503,614400,425.6666666666667,941,652,-0.021154469624046518,0.2,0.0002,0.015984682,0.19249674479166667,0.04995930983127134,0.7994054406881332,40,-0.0006449948996305466,-4.21314442490538
6,961.26575,737280,450.0,909,810,-0.022966762991988313,0.2,0.0002,0.017650165,0.20650390625,0.05035352917625763,0.8025908917188644,50,-0.01242024451494217,-4.189413938547174
7,937.1706,860160,450.0,887,968,-0.023730737997672502,0.2,0.0002,0.01919073,0.22540608723958333,0.06472227327399499,0.7710743397474289,60,-0.03538510575890541,-4.162201719408234
8,1041.754,983040,439.8,870,1128,-0.025191183569410594,0.2,0.0002,0.02112024,0.23913492838541667,0.05238774335516306,0.7824194580316544,70,-0.0173017755150795,-4.129777245223522
9,1083.54,1105920,447.46666666666664,858,1288,-0.025462806895726924,0.2,0.0002,0.023176769,0.2572607421875,0.058753742475479764,0.7329405546188354,80,-0.059118956327438354,-4.099912393266956
10,1165.7571,1228800,450.0,849,1446,-0.025949371860624525,0.2,0.0002,0.024594525,0.2684757486979167,0.05882952584933567,0.7023461759090424,90,-0.016339777037501335,-4.069582676614324
11,1188.264,1351680,429.1333333333333,836,1615,-0.02637894398404266,0.2,0.0002,0.026150426,0.2769270833333333,0.05037144569985685,0.7325694561004639,100,-0.013852429576218128,-4.040947900513808
12,1233.0994,1474560,433.6,831,1773,-0.025389993298546566,0.2,0.0002,0.027694743,0.29156087239583334,0.05377357688523868,0.7286547422409058,110,-0.018566051498055458,-4.015653528856735
13,1309.7357,1597440,439.46666666666664,814,1960,-0.026301631390324473,0.2,0.0002,0.02875793,0.3011930338541667,0.044787672124318,0.755884200334549,120,0.0054548755288124084,-3.9812978280708196
14,1255.6644,1720320,428.8666666666667,806,2133,-0.02731960213420583,0.2,0.0002,0.031628605,0.31246826171875,0.03863287830565241,0.7759465128183365,130,-0.006838411092758179,-3.9562644216542444
15,1296.9894,1843200,434.2,803,2292,-0.026880798950175328,0.2,0.0002,0.03271095,0.3224991861979167,0.03937459808662728,0.7422862648963928,140,-0.04256446287035942,-3.924646156579256
16,1256.181,1966080,409.06666666666666,802,2450,-0.026656624759464953,0.2,0.0002,0.03409176,0.33240071614583333,0.039254073904958206,0.7544525861740112,150,-0.03966972231864929,-3.9052179786438743
17,1302.6207,2088960,425.73333333333335,799,2611,-0.026616701784235676,0.2,0.0002,0.03587506,0.34081380208333334,0.03994935459336072,0.7917553037405014,160,-0.003910485655069351,-3.8661191777388253
18,1374.1127,2211840,437.4,797,2772,-0.02666967405034787,0.2,0.0002,0.03737277,0.3470076497395833,0.03730773828140324,0.7443430721759796,170,-0.05303778499364853,-3.8334290888160467
19,1284.9008,2334720,405.2,796,2932,-0.0268054237792118,0.2,0.0002,0.03881239,0.3551155598958333,0.03722840879905562,0.7989214211702347,180,-0.03462648019194603,-3.8011697002500298
20,1431.7491,2457600,450.0,794,3093,-0.02535497361218707,0.2,0.0002,0.040407706,0.3655501302083333,0.04251820877587306,0.8004505187273026,190,-0.042720407247543335,-3.765034024802347
21,1314.9723,2580480,409.2,793,3252,-0.026646719203102597,0.2,0.0002,0.04327749,0.37710123697916664,0.036719287546463114,0.776330292224884,200,-0.013574959710240364,-3.722458447876076
22,1365.1376,2703360,417.6,792,3411,-0.0264886640572513,0.2,0.0002,0.046027295,0.3880509440104167,0.03918000630915534,0.7924233376979828,210,-0.04079895466566086,-3.686594989063839
23,1310.0385,2826240,392.8666666666667,791,3572,-0.025269123675886174,0.2,0.0002,0.04497751,0.38398681640625,0.03643809074783348,0.7974684685468674,220,-0.03686032071709633,-3.660501253902912
24,1479.8821,2949120,448.93333333333334,789,3733,-0.02562716547325484,0.2,0.0002,0.047084372,0.39603759765625,0.03751113361933676,0.7855962812900543,230,-0.04803626984357834,-3.640001504731675
25,1371.5228,3072000,426.1333333333333,787,3903,-0.025644668944041767,0.2,0.0002,0.049019296,0.39999755859375,0.03708375763041356,0.8213688433170319,240,-0.047078996896743774,-3.615356894681851
