time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/explained_variance
5933,349.3333333333333,896.9067,1,122880,20,,,,,,,,,,
1074,423.4,1110.1049,2,245760,228,0.2249955023957106,0.0002,-0.5590089953799422,0.2,0.077223815,0.18422119140625,0.01624177396297455,-0.0036697732776762373,9280,0.5156192183494568
853,400.1333333333333,883.0862,3,368640,431,0.05344446819348377,0.0002,-0.5844553379233306,0.2,0.21629445,0.190703125,0.0002301931381225586,-0.0068138462356243205,9290,0.7922137230634689
772,389.0,996.4932,4,491520,635,0.05705112729308894,0.0002,-0.5909200695591669,0.2,0.06941231,0.18421956380208335,0.00935886986553669,-0.006652858665453702,9300,0.8562879860401154
730,375.53333333333336,1004.4479,5,614400,840,0.07557474750467615,0.0002,-0.5869429392879829,0.2,0.06750868,0.184755859375,0.03458959236741066,-0.0064986782839696385,9310,0.8514091819524765
705,421.2,993.5732,6,737280,1045,0.05418769021120776,0.0002,-0.6019097894104197,0.2,0.07106133,0.18712890625,0.05446472018957138,-0.007505334843293288,9320,0.8568965643644333
687,382.53333333333336,1002.7602,7,860160,1250,0.07150647034509651,0.0002,-0.6170373987406492,0.2,0.076190904,0.19715494791666666,0.02855154499411583,-0.007140465611961797,9330,0.8643049150705338
676,374.0,969.68176,8,983040,1454,0.058690584196592684,0.0002,-0.6084081436973066,0.2,0.07284288,0.19383544921875,-0.003491843119263649,-0.00852707684382646,9340,0.8763156086206436
666,402.2,1038.4368,9,1105920,1658,0.06667391509967274,0.0002,-0.609560308107175,0.2,0.078476764,0.19426920572916667,0.017446668818593025,-0.007267898269168048,9350,0.8318634331226349
659,391.8666666666667,1101.1653,10,1228800,1861,0.06508586315215022,0.0002,-0.6138778375042603,0.2,0.08504994,0.19922119140625,0.07139222323894501,-0.008310359698668132,9360,0.8385894745588303
654,409.1333333333333,1083.4165,11,1351680,2065,0.06936757249975926,0.0002,-0.6299683780952667,0.2,0.079274766,0.19875813802083334,0.010358382016420364,-0.008294248327656533,9370,0.8848575949668884
649,410.3333333333333,1114.5577,12,1474560,2270,0.07851777522882912,0.0002,-0.6172290826309472,0.2,0.083196685,0.19806477864583333,0.022162122651934624,-0.007129387350159959,9380,0.8359420448541641
646,392.2,1104.171,13,1597440,2471,0.06339564318957855,0.0002,-0.6270110423117876,0.2,0.07629748,0.19951904296875,-0.009415172040462494,-0.008616073627787652,9390,0.8658252209424973
643,368.06666666666666,1084.8478,14,1720320,2675,0.06553886149680087,0.0002,-0.6268762244284153,0.2,0.080761075,0.20430338541666668,0.011858100071549416,-0.008389434542259551,9400,0.8660793304443359
640,403.1333333333333,1081.4773,15,1843200,2877,0.09541471090177463,0.0002,-0.6374078793637454,0.2,0.08067267,0.20343587239583333,0.039201341569423676,-0.007365257415425125,9410,0.7950541526079178
638,402.8666666666667,1107.6213,16,1966080,3081,0.0614492652870346,0.0002,-0.6423415657117342,0.2,0.08548765,0.20457194010416666,-0.026309248059988022,-0.006360066760231954,9420,0.8547210246324539
635,387.26666666666665,1174.0404,17,2088960,3285,0.08732051957107614,0.0002,-0.6421905545331538,0.2,0.09913035,0.20537679036458334,-0.0007251910865306854,-0.007852713486227004,9430,0.8495633006095886
634,420.3333333333333,1303.07,18,2211840,3487,0.07118655659651267,0.0002,-0.6395591686526313,0.2,0.0856096,0.2041455078125,0.014554593712091446,-0.007919055536888967,9440,0.8486500233411789
632,377.46666666666664,1152.0835,19,2334720,3691,0.06126576930522181,0.0002,-0.6391835418607419,0.2,0.0870342,0.20674072265625,-0.009169114753603935,-0.007931354267272279,9450,0.8443029224872589
631,404.46666666666664,1210.541,20,2457600,3893,0.07082006486093936,0.0002,-0.6234142890603592,0.2,0.18177655,0.20385009765625,-0.015115735121071339,-0.007807996374267532,9460,0.8419140577316284
629,422.2,1298.3167,21,2580480,4096,0.07182463204337788,0.0002,-0.624199255577599,0.2,0.08171589,0.205322265625,0.00411439873278141,-0.007846565136163311,9470,0.8482684046030045
628,419.06666666666666,1305.1023,22,2703360,4300,0.06216416636641952,0.0002,-0.6367814186153312,0.2,0.0822159,0.20490559895833332,0.040444210171699524,-0.008436665235415907,9480,0.870819091796875
627,394.73333333333335,1214.5122,23,2826240,4506,0.06575459620789237,0.0002,-0.6447585435879106,0.2,0.08136444,0.21035237630208334,-0.00571052823215723,-0.007731436433453685,9490,0.8465212732553482
626,441.8,1358.447,24,2949120,4710,0.0758159582138372,0.0002,-0.6277053728916993,0.2,0.08881419,0.21319173177083334,-0.0016302652657032013,-0.008182534066402998,9500,0.8443533182144165
625,375.73333333333335,1165.8656,25,3072000,4914,0.06215157756344221,0.0002,-0.6387598516015957,0.2,0.08786299,0.21009440104166666,0.017337054014205933,-0.008869493066292004,9510,0.8768880143761635
624,423.06666666666666,1342.8938,26,3194880,5118,0.0671844973070741,0.0002,-0.6338624273069824,0.2,0.08710931,0.21061197916666666,-0.0118293147534132,-0.00769271644669061,9520,0.827729344367981
623,414.53333333333336,1346.3248,27,3317760,5323,0.07740944275617949,0.0002,-0.6311597798252478,0.2,0.089575514,0.20986165364583334,0.011779677122831345,-0.007695377763781532,9530,0.860596314072609
622,425.4,1353.5697,28,3440640,5525,0.07411109123640927,0.0002,-0.6335633423489829,0.2,0.08472457,0.21397705078125,-0.0020039603114128113,-0.00766046378340737,9540,0.8391576409339905
621,427.8,1329.2283,29,3563520,5730,0.2647821362253065,0.0002,-0.6370914493780583,0.2,0.086800985,0.21185953776041666,-0.00996614620089531,-0.007900827134296075,9550,0.3877716660499573
621,410.0,1308.0286,30,3686400,5932,0.07875916982986382,0.0002,-0.6432119729292268,0.2,0.08719909,0.2151904296875,-0.029758082702755928,-0.007900427140636263,9560,0.8315403610467911
620,424.73333333333335,1420.433,31,3809280,6134,0.07643374317330502,0.0002,-0.6462162131133179,0.2,0.09258833,0.21304524739583333,-0.01345003955066204,-0.007886409404751854,9570,0.8482135087251663
620,424.6,1389.5637,32,3932160,6336,0.05945513259692234,0.0002,-0.6434324849691863,0.2,0.08733503,0.21254964192708334,0.10345159471035004,-0.008235454882051272,9580,0.8476362079381943
620,429.0,1437.3622,33,4055040,6539,0.07676807050253652,0.0002,-0.6425285746529699,0.2,0.092456505,0.2179248046875,0.10606392472982407,-0.007229148999043294,9590,0.8660763949155807
619,373.26666666666665,1245.7866,34,4177920,6744,0.07300800916496276,0.0002,-0.6505392847582698,0.2,0.0890704,0.21762369791666666,-0.00882142037153244,-0.007952631599970724,9600,0.8595709651708603
618,410.46666666666664,1432.0273,35,4300800,6948,0.0726399851583119,0.0002,-0.6495694728350888,0.2,0.0847983,0.214423828125,-0.0017622560262680054,-0.007790705283744804,9610,0.8766518533229828
618,439.1333333333333,1480.6594,36,4423680,7152,0.06716838333809089,0.0002,-0.6489211944428583,0.2,0.084973805,0.21479736328125,-0.0017482824623584747,-0.0077416491043732095,9620,0.8747591525316238
617,408.2,1432.2893,37,4546560,7358,0.08237748215857815,0.0002,-0.6467351262535279,0.2,0.094161555,0.22060139973958334,0.04347265139222145,-0.006650213722641638,9630,0.8365908265113831
617,384.4,1363.099,38,4669440,7562,0.0671373303902025,0.0002,-0.6393051028329259,0.2,0.095889345,0.21717447916666666,0.007076818495988846,-0.007287681961873508,9640,0.8425131589174271
616,416.06666666666666,1419.1945,39,4792320,7768,0.0802998127589429,0.0002,-0.643259938081416,0.2,0.09000028,0.22038492838541668,0.048628225922584534,-0.005225345930988018,9650,0.8504196554422379
616,428.1333333333333,1422.4479,40,4915200,7971,0.07862923525821922,0.0002,-0.6462799534900114,0.2,0.096081495,0.2185009765625,0.022378448396921158,-0.007417826023299009,9660,0.8700847923755646
616,450.0,1549.4304,41,5038080,8176,0.07578726662070645,0.0002,-0.6512834877831241,0.2,0.088423364,0.21984537760416667,0.01271197572350502,-0.007592153531989728,9670,0.8578448593616486
615,387.06666666666666,1369.1271,42,5160960,8380,0.08095650449788082,0.0002,-0.6487277351785451,0.2,0.09438643,0.22061197916666667,0.019861716777086258,-0.007775495188137332,9680,0.8558748513460159
615,423.2,1460.8788,43,5283840,8585,0.0684580456057544,0.0002,-0.6455675848620013,0.2,0.100505546,0.21933837890625,-0.0022889450192451477,-0.007934566007297689,9690,0.8729755580425262
615,430.3333333333333,1487.1392,44,5406720,8787,0.06325170757894133,0.0002,-0.6511035996349528,0.2,0.09839838,0.22119303385416667,0.0598461776971817,-0.008081471135398411,9700,0.8946187347173691
614,432.8666666666667,1517.2576,45,5529600,8993,0.0666790293965217,0.0002,-0.6463849992413695,0.2,0.092458755,0.22078450520833334,-0.002800252288579941,-0.008126058050341575,9710,0.8674441128969193
614,390.6666666666667,1412.7993,46,5652480,9196,0.07665123736534345,0.0002,-0.6473231921376039,0.2,0.08934111,0.22358642578125,-0.0021148864179849625,-0.006821249295583887,9720,0.8399976044893265
614,378.8666666666667,1370.5508,47,5775360,9402,0.0788044562357633,0.0002,-0.6471225530002266,0.2,0.09538662,0.22308919270833333,0.023389112204313278,-0.006830795550467883,9730,0.8782379552721977
614,374.6,1332.7014,48,5898240,9606,0.07429467463351709,0.0002,-0.6535062086504574,0.2,0.090173535,0.22351969401041666,0.011750366538763046,-0.006824519336790521,9740,0.874494656920433
613,432.0,1534.9762,49,6021120,9808,0.0788486102662379,0.0002,-0.6480648839380592,0.2,0.09110001,0.22242350260416666,0.022323977202177048,-0.007261714802013254,9750,0.8759666532278061
613,417.2,1521.4487,50,6144000,10011,0.07840116671660023,0.0002,-0.6648860037419945,0.2,0.09184947,0.22192789713541666,-0.00436168909072876,-0.006346113533818425,9760,0.8027692437171936
613,392.26666666666665,1411.6036,51,6266880,10216,0.07232016463914381,0.0002,-0.6566397855368753,0.2,0.09184926,0.21958821614583332,-0.010989509522914886,-0.007159856734700346,9770,0.853009819984436
613,427.1333333333333,1548.9523,52,6389760,10419,0.06585905489948346,0.0002,-0.65526866616526,0.2,0.09159512,0.22246744791666667,0.01606270670890808,-0.006854606898098912,9780,0.8614203184843063
613,400.0,1417.6914,53,6512640,10622,0.07191642938511601,0.0002,-0.6613660473298902,0.2,0.09117829,0.22428792317708332,0.02375955693423748,-0.006709624320392322,9790,0.8270872533321381
612,409.8666666666667,1466.4504,54,6635520,10825,0.06706121872678826,0.0002,-0.6613360679196194,0.2,0.09102586,0.22268391927083334,-0.008196014910936356,-0.006913624022145086,9800,0.8610294908285141
612,364.73333333333335,1338.8676,55,6758400,11028,0.0639917179482048,0.0002,-0.6694527092917512,0.2,0.09354495,0.22420817057291667,-0.006754383444786072,-0.0069184366166518884,9810,0.8850574344396591
612,367.6666666666667,1323.6438,56,6881280,11231,0.06971086091492908,0.0002,-0.6651893540502837,0.2,0.08661738,0.22298583984375,-0.0020545199513435364,-0.0066538799541316015,9820,0.883787140250206
612,420.46666666666664,1511.2722,57,7004160,11433,0.08336762148239359,0.0002,-0.6776704095086704,0.2,0.091647506,0.22981770833333334,0.013674982823431492,-0.0072889909524140725,9830,0.8927578330039978
612,450.0,1591.9274,58,7127040,11636,0.06692405612171569,0.0002,-0.6657848541562756,0.2,0.089221016,0.22449137369791666,0.3117286264896393,-0.007067668523444202,9840,0.8859332278370857
612,388.8666666666667,1400.7997,59,7249920,11840,0.0613177851397874,0.0002,-0.6804690574466561,0.2,0.09304431,0.23025390625,0.020411789417266846,-0.007491854741789818,9850,0.8676970601081848
612,426.0,1511.1775,60,7372800,12046,0.08219724738553244,0.0002,-0.6648109818669036,0.2,0.09341126,0.22604166666666667,-0.028034010902047157,-0.007312582850421071,9860,0.8783998414874077
611,448.73333333333335,1650.8749,61,7495680,12250,0.06048402800811649,0.0002,-0.6813303960176805,0.2,0.09272285,0.22732584635416667,0.014805536717176437,-0.006933430558862407,9870,0.8708386570215225
611,375.26666666666665,1361.6012,62,7618560,12455,0.06277095595753053,0.0002,-0.6766485686413943,0.2,0.09211262,0.2285400390625,0.002288319170475006,-0.007994135007265868,9880,0.8636053502559662
611,437.8666666666667,1598.746,63,7741440,12658,0.06454489010781496,0.0002,-0.6709167063748463,0.2,0.09169866,0.22354817708333333,-0.006268460303544998,-0.006822641562381856,9890,0.8711598813533783
611,352.4,1325.4048,64,7864320,12864,0.0638812287441154,0.0002,-0.6795484001422301,0.2,0.0932499,0.22855224609375,0.000165536068379879,-0.006985070807550073,9900,0.8645068556070328
611,419.4,1547.087,65,7987200,13070,0.08200068879222575,0.0002,-0.6872690529205526,0.2,0.09217633,0.22981201171875,-0.0036374200135469437,-0.006894747802198254,9910,0.8290290087461472
610,324.46666666666664,1222.1827,66,8110080,13275,0.07324697425288226,0.0002,-0.6718342189118266,0.2,0.10533387,0.22394775390625,-0.04206957668066025,-0.0069301116728335424,9920,0.9021455943584442
610,438.73333333333335,1642.3613,67,8232960,13481,0.09971451241881975,0.0002,-0.6837805668388803,0.2,0.10884582,0.22924641927083333,0.014533116482198238,-0.00606624113882693,9930,0.863659143447876
610,429.6666666666667,1557.8247,68,8355840,13684,0.07847258984222814,0.0002,-0.6751899073754127,0.2,0.09243805,0.22509765625,0.019014757126569748,-0.00687122468078087,9940,0.8293475210666656
610,346.4,1290.1699,69,8478720,13889,0.08079577068633323,0.0002,-0.670667042445081,0.2,0.090986006,0.2248388671875,-0.0038683749735355377,-0.005911868016197938,9950,0.8785508424043655
610,440.26666666666665,1618.3362,70,8601600,14095,0.0685684793194135,0.0002,-0.6773008425533772,0.2,0.09574597,0.22829020182291668,0.0020843129605054855,-0.0067544511188377026,9960,0.8783610463142395
610,395.8666666666667,1485.0969,71,8724480,14297,0.06730618802573493,0.0002,-0.6792518353291477,0.2,0.097165614,0.22954915364583334,0.015147415921092033,-0.007597818698013725,9970,0.8872148022055626
610,402.6666666666667,1495.3981,72,8847360,14498,0.0711192831431011,0.0002,-0.683757824144947,0.2,0.095521845,0.22876383463541666,0.010737603530287743,-0.007485125671767795,9980,0.893599346280098
609,388.06666666666666,1444.4781,73,8970240,14705,0.07408054055272563,0.0002,-0.6873514748318121,0.2,0.09258755,0.22754557291666666,0.020693590864539146,-0.006577948009047153,9990,0.8732276409864426
609,396.2,1507.6697,74,9093120,14908,0.07253347847048038,0.0002,-0.6765620141771311,0.2,0.088334,0.227294921875,0.03554036468267441,-0.0059924056203938866,10000,0.86959308385849
609,399.3333333333333,1484.8871,75,9216000,15115,0.06896083166594812,0.0002,-0.6932959203375504,0.2,0.090819255,0.23003255208333334,0.03606430068612099,-0.007132522510158499,10010,0.8514488339424133
608,422.06666666666666,1595.4215,76,9338880,15353,0.07381782418121778,0.0002,-0.7067407908538977,0.2,0.09425848,0.23080891927083333,0.027807733044028282,-0.006602027643924278,10020,0.8544753193855286
607,402.1333333333333,1513.4818,77,9461760,15565,0.07153476977803318,0.0002,-0.7029684877488762,0.2,0.08712485,0.22775553385416666,-0.015805277973413467,-0.006840494286482984,10030,0.8363918215036392
607,362.4,1405.9833,78,9584640,15769,0.06992766452417223,0.0002,-0.688518834648033,0.2,0.09384106,0.2283544921875,0.0008121039718389511,-0.006346703227306231,10040,0.8843010514974594
607,392.6,1550.4467,79,9707520,15974,0.08894891070507584,0.0002,-0.6893432906735688,0.2,0.094157025,0.22888427734375,-0.01000850647687912,-0.006346777981282988,10050,0.8685344904661179
607,402.4,1563.5603,80,9830400,16177,0.08900298084452515,0.0002,-0.6956936612911523,0.2,0.09219656,0.229638671875,0.03693348914384842,-0.005573165107844034,10060,0.8690079003572464
607,380.73333333333335,1447.2911,81,9953280,16378,0.13273379292952692,0.0002,-0.6935602899050961,0.2,0.09584107,0.23116861979166667,0.018138103187084198,-0.005645777579287217,10070,0.8620463311672211
607,396.2,1542.7965,82,10076160,16583,0.08130882794803862,0.0002,-0.6977355341318374,0.2,0.092022054,0.22936116536458334,-0.006410729140043259,-0.0062275764911040215,10080,0.8784448578953743
607,434.6666666666667,1648.6722,83,10199040,16789,0.06838663826415238,0.0002,-0.6991071103932336,0.2,0.094101824,0.23175944010416666,-0.004469620063900948,-0.006541800898921792,10090,0.8512735962867737
607,433.6666666666667,1662.6973,84,10321920,16993,0.062107360105898506,0.0002,-0.7051038282907879,0.2,0.08792062,0.22758707682291668,0.02078651636838913,-0.006241064073255984,10100,0.843708947300911
607,382.26666666666665,1485.7048,85,10444800,17197,0.06182245508610019,0.0002,-0.7101490671203161,0.2,0.0861383,0.22699625651041666,0.008344355970621109,-0.006579464772521533,10110,0.8490359336137772
607,447.46666666666664,1678.0686,86,10567680,17399,0.0790817640129535,0.0002,-0.7161858253957083,0.2,0.092237286,0.23127278645833332,0.02023547887802124,-0.005919925132569309,10120,0.8444074392318726
607,337.1333333333333,1306.5717,87,10690560,17601,0.07601986305657192,0.0002,-0.7130776568719497,0.2,0.09859594,0.23122477213541667,0.04028768837451935,-0.00639750979257163,10130,0.8684863448143005
607,411.93333333333334,1616.5714,88,10813440,17806,0.09621386293089017,0.0002,-0.7220769512389477,0.2,0.10329639,0.23725016276041666,-0.009592285379767418,-0.006165785607766642,10140,0.8509033173322678
607,437.2,1688.8939,89,10936320,18009,0.07637839518133357,0.0002,-0.7227456540769587,0.2,0.09431274,0.23279541015625,0.015939146280288696,-0.006459844125950743,10150,0.8913829922676086
607,414.2,1628.6604,90,11059200,18214,0.08819195050765605,0.0002,-0.7166665974088634,0.2,0.09477775,0.23114176432291667,0.014642584137618542,-0.006189795709912384,10160,0.8769471868872643
