time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/clip_range
163840,5323,30,1,671.59644,450.0,,,,,,,,,,
327680,685,478,2,1096.1761,450.0,173.90782,0.9999578857421875,0.6607680916786194,0.367494687355138,10,0.0003,-0.0006104897683424907,267.6040116144717,84.68128204345703,0.2
491520,512,959,3,957.9997,450.0,0.32467833,0.01743896484375,0.7018607556819916,0.0009508110138381199,20,0.0003,-0.00042895199001634246,20.38344510343508,7.489783763885498,0.2
655360,440,1488,4,979.2299,450.0,0.0,0.0,0.756477490067482,5.6434146245010195e-11,30,0.0003,-2.9862348853455096e-08,2.061057577757529,1.0286891460418701,0.2
819200,402,2036,5,870.783,450.0,0.0,0.0,0.8045401871204376,-9.272525858250447e-11,40,0.0003,-3.0309689299165553e-08,1.4832151039146992,0.18495021760463715,0.2
983040,373,2631,6,892.7261,450.0,0.0,0.0,0.8953893780708313,-1.3103090168442577e-10,50,0.0003,-2.5529643614000465e-08,0.9044472725728884,1.568951964378357,0.2
1146880,354,3232,7,889.36365,450.0,0.0,0.0,0.9021781608462334,1.0828671292983927e-10,60,0.0003,-2.1886648980417624e-08,0.747848411587629,1.179348111152649,0.2
1310720,342,3825,8,1115.5349,450.0,0.0,0.0,0.9198466911911964,-3.929244485334493e-11,70,0.0003,-1.7945225890755867e-08,0.40748248376367885,0.1582334339618683,0.2
1474560,333,4426,9,1023.23486,450.0,0.0,0.0,0.9134295880794525,1.2155965123383794e-11,80,0.0003,-1.426284849274928e-08,0.33488505711695327,0.5434776544570923,0.2
1638400,326,5019,10,1051.1433,450.0,0.0,0.0,0.9177602753043175,1.7293587006861345e-10,90,0.0003,-1.3238968895601388e-08,0.17124784581678795,0.007380637805908918,0.2
1802240,319,5648,11,957.13055,450.0,0.0,0.0,0.9133540019392967,-1.0046733223134652e-10,100,0.0003,-9.498476700223711e-09,0.18308120810418585,0.062153637409210205,0.2
1966080,314,6248,12,1047.8695,450.0,0.0,0.0,0.9076535701751709,-3.0169076126185246e-11,110,0.0003,-6.749458109039756e-09,0.1289426722481039,0.05108150839805603,0.2
2129920,311,6839,13,932.75446,450.0,0.0,0.0,0.9260865300893784,2.100364326906856e-11,120,0.0003,-5.967899123328693e-09,0.08010555287341503,0.004232312086969614,0.2
2293760,308,7432,14,958.72095,450.0,0.0,0.0,0.9175084605813026,-1.2714735930785537e-11,130,0.0003,-4.529934982302596e-09,0.08141951069856077,0.03515806794166565,0.2
2457600,306,8017,15,980.8734,450.0,0.0,0.0,0.9299579560756683,-1.8130776879843323e-11,140,0.0003,-4.042943170456341e-09,0.06392881848196338,0.009781195782124996,0.2
2621440,304,8603,16,1004.57874,450.0,0.0,0.0,0.9257330223917961,-8.912024895835202e-11,150,0.0003,-3.533950244890595e-09,0.07378874130802615,0.10912573337554932,0.2
2785280,303,9186,17,873.2505,450.0,0.0,0.0,0.938721526414156,7.021299097687006e-12,160,0.0003,-3.1025642169496895e-09,0.0551823596255008,0.025585908442735672,0.2
2949120,302,9762,18,894.41705,450.0,0.0,0.0,0.9361751228570938,1.1295924196019769e-10,170,0.0003,-2.41133753008777e-09,0.06085376698150867,0.024303553625941277,0.2
3112960,300,10350,19,932.6101,450.0,0.0,0.0,0.9445292986929417,-8.778101800999138e-11,180,0.0003,-2.5305974369108606e-09,0.05196441265413341,0.03656204789876938,0.2
3276800,299,10939,20,1024.8801,450.0,0.0,0.0,0.9361261799931526,-9.948962542694062e-11,190,0.0003,-2.2324619239149323e-09,0.06450007767781245,0.007492641918361187,0.2
3440640,298,11513,21,1025.7087,450.0,0.0,0.0,0.938669890165329,-9.743871487444267e-11,200,0.0003,-2.251351607540815e-09,0.06576762630129906,0.06862956285476685,0.2
3604480,298,12084,22,1093.5067,450.0,0.0,0.0,0.9485306926071644,-1.3301132639753632e-10,210,0.0003,-2.046766918292666e-09,0.055005463128163685,0.0318823903799057,0.2
3768320,297,12682,23,980.09033,450.0,0.0,0.0,0.9338244944810867,-2.2927338250156027e-10,220,0.0003,-2.2580191636812664e-09,0.07766611337865015,0.04415002465248108,0.2
3932160,296,13248,24,1090.0453,450.0,0.0,0.0,0.9543072916567326,6.436948751797899e-12,230,0.0003,-1.766729539673514e-09,0.05032370165971997,0.005018919240683317,0.2
4096000,296,13799,25,1050.2808,450.0,0.0,0.0,0.9362989813089371,1.2064447219017894e-10,240,0.0003,-1.9715554220103848e-09,0.07636680127584441,0.018532106652855873,0.2
4259840,296,14347,26,979.22485,450.0,0.0,0.0,0.949658140540123,-3.66731001122389e-11,250,0.0003,-1.9307031926614655e-09,0.05911695151147569,0.025730019435286522,0.2
4423680,296,14908,27,959.66595,450.0,0.0,0.0,0.9406183287501335,3.3020342016243375e-11,260,0.0003,-1.7271762227789692e-09,0.06770769416136319,0.05677400529384613,0.2
4587520,296,15466,28,938.4625,450.0,0.0,0.0,0.9570308476686478,3.697948613989865e-11,270,0.0003,-1.505539384924373e-09,0.04722838056640967,0.02335793897509575,0.2
4751360,296,16022,29,824.1172,450.0,0.0,0.0,0.9377730526030064,-9.412588042323478e-11,280,0.0003,-1.44963964232212e-09,0.06895983425314625,0.012185695581138134,0.2
4915200,296,16592,30,1157.1661,450.0,0.0,0.0,0.9610232897102833,-3.8949110603425654e-11,290,0.0003,-1.2325619452163706e-09,0.041942214305368,0.059804730117321014,0.2
5079040,296,17148,31,983.2861,450.0,0.0,0.0,0.9437099024653435,2.615252014948055e-11,300,0.0003,-1.4532146173375747e-09,0.06844026194950402,0.11681334674358368,0.2
5242880,296,17699,32,781.7726,450.0,0.0,0.0,0.9369124472141266,-7.950802682898939e-11,310,0.0003,-1.4920051957583932e-09,0.0720059903773199,0.0377073772251606,0.2
5406720,296,18260,33,956.33954,450.0,0.0,0.0,0.9562021680176258,-5.629658517136704e-11,320,0.0003,-1.0127382135059455e-09,0.04561230232121261,0.05470815300941467,0.2
5570560,296,18806,34,934.25287,450.0,0.0,0.0,0.9474773108959198,-1.0398025551694445e-10,330,0.0003,-1.0798693577215206e-09,0.05825241177961743,0.055361468344926834,0.2
5734400,296,19347,35,1002.8217,450.0,0.0,0.0,0.9553875662386417,9.376549314765725e-11,340,0.0003,-1.0634868007628264e-09,0.04896438734528147,0.005299081094563007,0.2
5898240,296,19890,36,960.529,450.0,0.0,0.0,0.9451117925345898,-3.0622686608694495e-11,350,0.0003,-1.0792900923678462e-09,0.06339463801979037,0.01753292977809906,0.2
6062080,296,20429,37,1048.6384,450.0,0.0,0.0,0.9518236592411995,-7.512142019550083e-12,360,0.0003,-1.0180740483877923e-09,0.05371736852151798,0.055147670209407806,0.2
6225920,296,20973,38,1068.1987,450.0,0.0,0.0,0.9465660825371742,3.2198386179516095e-11,370,0.0003,-9.91552740989038e-10,0.06082106628633028,0.013402103446424007,0.2
6389760,297,21510,39,980.83734,450.0,0.0,0.0,0.9542568065226078,2.1166215447010473e-11,380,0.0003,-1.199079582373799e-09,0.055324882349016204,0.030174968764185905,0.2
6553600,297,22049,40,936.86554,450.0,0.0,0.0,0.9424112737178802,5.503807187778875e-11,390,0.0003,-9.227633228597702e-10,0.06468259331540593,0.006705658044666052,0.2
6717440,297,22582,41,913.1574,450.0,0.0,0.0,0.9421958848834038,-2.7042574402003084e-10,400,0.0003,-1.0674403248312792e-09,0.06746629179418051,0.058210115879774094,0.2
6881280,297,23127,42,1002.9343,450.0,0.0,0.0,0.95399409532547,-6.475602276623249e-11,410,0.0003,-9.39931981478576e-10,0.051604050492114764,0.007106868550181389,0.2
7045120,297,23668,43,913.92694,450.0,0.0,0.0,0.9426997378468513,-2.8036879484716338e-11,420,0.0003,-9.780474686485896e-10,0.06623545062137964,0.005017646588385105,0.2
7208960,297,24209,44,1073.0845,450.0,0.0,0.0,0.9573607556521893,-1.2483951650210655e-10,430,0.0003,-7.513582223631294e-10,0.04245228168367476,0.010309845209121704,0.2
7372800,297,24749,45,982.605,450.0,0.0,0.0,0.9412823803722858,-7.38464223104529e-11,440,0.0003,-9.799262156785002e-10,0.06748025330110977,0.005570618435740471,0.2
7536640,298,25284,46,912.2463,450.0,0.0,0.0,0.9571711532771587,-9.174527804134414e-11,450,0.0003,-7.665260837500486e-10,0.04491162026715756,0.026657525449991226,0.2
7700480,298,25827,47,890.9967,450.0,0.0,0.0,0.9451733864843845,2.0031620806548746e-12,460,0.0003,-7.082410784508024e-10,0.05887074762210432,0.0049367002211511135,0.2
7864320,298,26366,48,1047.8569,450.0,0.0,0.0,0.9570201076567173,4.985395207768306e-11,470,0.0003,-6.531016069459289e-10,0.04586619312112816,0.06698773801326752,0.2
8028160,298,26900,49,886.93994,450.0,0.0,0.0,0.9447188749909401,-1.0811618267325684e-12,480,0.0003,-7.711428876998241e-10,0.0646531936396059,0.04024229198694229,0.2
8192000,298,27434,50,1091.8713,450.0,0.0,0.0,0.9446120709180832,-2.0789343579963316e-11,490,0.0003,-7.033669696172472e-10,0.06337593350743646,0.005167444236576557,0.2
8355840,298,27973,51,982.471,450.0,0.0,0.0,0.9507784023880959,-9.658378985477611e-11,500,0.0003,-7.150952961482334e-10,0.05605524851908058,0.010171694681048393,0.2
8519680,298,28533,52,1025.7476,450.0,0.0,0.0,0.9443083591759205,-1.467344645789126e-10,510,0.0003,-6.874390805558517e-10,0.060816801668361224,0.05181434005498886,0.2
8683520,298,29071,53,956.2478,450.0,0.0,0.0,0.9541080258786678,-4.271782927389722e-11,520,0.0003,-6.820663676400124e-10,0.04994881902638326,0.0009760084212757647,0.2
8847360,298,29605,54,1135.8813,450.0,0.0,0.0,0.94470389559865,5.998231245030184e-11,530,0.0003,-6.13195869793694e-10,0.06124850693440749,0.01429897639900446,0.2
9011200,299,30134,55,954.69763,450.0,0.0,0.0,0.9503751918673515,-3.337504494993482e-11,540,0.0003,-7.149937071755392e-10,0.055214137511320587,0.088494211435318,0.2
9175040,299,30676,56,1072.3457,450.0,0.0,0.0,0.9392173662781715,1.0664109595381887e-10,550,0.0003,-6.052103633356767e-10,0.06580954924674189,0.023689143359661102,0.2
9338880,299,31204,57,892.85846,450.0,0.0,0.0,0.9499267712235451,4.8564743337919936e-11,560,0.0003,-6.113791931825754e-10,0.05199511607565228,0.1259745955467224,0.2
9502720,299,31744,58,1114.666,450.0,0.0,0.0,0.9439804516732693,2.1662117433152162e-10,570,0.0003,-5.321184386484568e-10,0.059194271829592256,0.035210736095905304,0.2
9666560,299,32277,59,978.503,450.0,0.0,0.0,0.9500976800918579,-5.825540938531048e-11,580,0.0003,-6.287353288993007e-10,0.05553647733429898,0.02064688690006733,0.2
9830400,299,32812,60,869.09283,450.0,0.0,0.0,0.9406104236841202,-1.3612179827759973e-10,590,0.0003,-5.599498734078137e-10,0.06685935660423184,0.00871211662888527,0.2
9994240,299,33342,61,1024.1022,450.0,0.0,0.0,0.9477920345962048,2.6349198378738948e-11,600,0.0003,-4.6162529381953837e-10,0.05686093078596968,0.023515384644269943,0.2
10158080,299,33875,62,961.3906,450.0,0.0,0.0,0.9478626921772957,3.949139681935776e-11,610,0.0003,-6.033600622774729e-10,0.06039105446380745,0.044796161353588104,0.2
10321920,299,34408,63,1002.8579,450.0,0.0,0.0,0.9374473169445992,-5.413539838627912e-11,620,0.0003,-5.762559933462745e-10,0.0732661295842945,0.029176004230976105,0.2
10485760,299,34953,64,1023.1686,450.0,0.0,0.0,0.9523949921131134,1.8209675545222126e-10,630,0.0003,-5.130808840921215e-10,0.05307212647884626,0.04801293835043907,0.2
10649600,299,35503,65,1137.5236,450.0,0.0,0.0,0.9436422623693943,1.3386511454882566e-10,640,0.0003,-4.962897910741702e-10,0.06401018925840163,0.035645779222249985,0.2
10813440,300,36030,66,933.45404,450.0,0.0,0.0,0.9530501514673233,-1.973302232727292e-10,650,0.0003,-5.187351234594174e-10,0.05338127148994772,0.10140683501958847,0.2
10977280,300,36569,67,1024.1035,450.0,0.0,0.0,0.9428339153528214,9.145196600002236e-11,660,0.0003,-4.849105904845569e-10,0.06595944813125243,0.011871490627527237,0.2
11141120,300,37104,68,998.5758,450.0,0.0,0.0,0.9511052072048187,-4.917183105135336e-11,670,0.0003,-5.018411547295021e-10,0.054999046716936846,0.026615511626005173,0.2
11304960,300,37644,69,1000.4439,450.0,0.0,0.0,0.9411849565804005,2.391971065662801e-12,680,0.0003,-4.906213580199584e-10,0.06825663426252049,0.0781325027346611,0.2
11468800,300,38171,70,822.54236,450.0,0.0,0.0,0.9361970722675323,-4.918547347187996e-11,690,0.0003,-5.38665877979072e-10,0.07213712688794204,0.0410328283905983,0.2
11632640,300,38713,71,980.01025,450.0,0.0,0.0,0.9555526711046696,1.9358594727236778e-11,700,0.0003,-4.217907227714547e-10,0.048487750897575094,0.034500494599342346,0.2
11796480,300,39254,72,803.78595,450.0,0.0,0.0,0.9414262287318707,5.672063707606867e-11,710,0.0003,-4.5095024186141794e-10,0.06586662874809007,0.03397615998983383,0.2
11960320,300,39788,73,890.2967,450.0,0.0,0.0,0.9559541083872318,6.582013156730682e-11,720,0.0003,-3.9270574536426785e-10,0.04603665363848904,0.016414234414696693,0.2
12124160,300,40327,74,932.6328,450.0,0.0,0.0,0.9430597275495529,-1.2551595318655017e-10,730,0.0003,-4.2965776576099925e-10,0.06555187128687975,0.0318714939057827,0.2
12288000,300,40861,75,1024.0043,450.0,0.0,0.0,0.9533299431204796,-1.098783286579419e-11,740,0.0003,-4.1951339875198875e-10,0.05155789311629178,0.021737035363912582,0.2
12451840,300,41403,76,981.6983,450.0,0.0,0.0,0.9452741853892803,-8.003894436114933e-11,750,0.0003,-3.9205423946642603e-10,0.060431555473564914,0.047607120126485825,0.2
12615680,300,41943,77,886.9393,450.0,0.0,0.0,0.9520733505487442,9.907580533763394e-11,760,0.0003,-4.375387050614037e-10,0.053174961936165346,0.002157327253371477,0.2
12779520,300,42486,78,1046.1327,450.0,0.0,0.0,0.9428756237030029,5.964011506875977e-12,770,0.0003,-3.5932718594263327e-10,0.06209735299934891,0.007213748060166836,0.2
12943360,300,43023,79,1023.1107,450.0,0.0,0.0,0.9515867196023464,2.874685378628783e-11,780,0.0003,-4.019728730550367e-10,0.05269722835892935,0.011815053410828114,0.2
13107200,300,43564,80,911.4327,450.0,0.0,0.0,0.9493728652596474,-6.657671747234417e-11,790,0.0003,-3.6670409851057755e-10,0.056315118491675094,0.005828981753438711,0.2
13271040,300,44103,81,1046.9507,450.0,0.0,0.0,0.946596585214138,-2.1212827050476335e-11,800,0.0003,-3.410158597118209e-10,0.058807449111891404,0.016010673716664314,0.2
13434880,300,44641,82,980.9127,450.0,0.0,0.0,0.9533183500170708,1.3556132216763218e-10,810,0.0003,-3.866950343161851e-10,0.05247035499990943,0.04325046390295029,0.2
13598720,300,45181,83,1091.8192,450.0,0.0,0.0,0.9382539428770542,1.4815213944530115e-10,820,0.0003,-4.030011259225459e-10,0.06958684426923355,0.022969797253608704,0.2
13762560,301,45710,84,982.563,450.0,0.0,0.0,0.9515454806387424,8.020379027584568e-11,830,0.0003,-3.688824915115013e-10,0.052565007027060344,0.002122684149071574,0.2
13926400,301,46247,85,958.79767,450.0,0.0,0.0,0.9419885091483593,-1.2707573660009075e-10,840,0.0003,-3.641882231973214e-10,0.06447157872842581,0.02167331799864769,0.2
14090240,301,46786,86,870.6614,450.0,0.0,0.0,0.9556431919336319,2.1565256247413344e-11,850,0.0003,-3.2324418099632196e-10,0.048236560049210765,0.001708596246317029,0.2
14254080,301,47328,87,980.1007,450.0,0.0,0.0,0.9456148818135262,-6.706386557198129e-11,860,0.0003,-3.1833948196469465e-10,0.05914532510648314,0.027648845687508583,0.2
14417920,301,47864,88,957.9925,450.0,0.0,0.0,0.9527433477342129,-9.077041340788127e-11,870,0.0003,-3.405030273180825e-10,0.051476963932145736,0.03817897289991379,0.2
14581760,301,48402,89,1133.3682,450.0,0.0,0.0,0.9507326558232307,-2.1634605218423532e-11,880,0.0003,-2.638203755732675e-10,0.05183753657603574,0.03123549371957779,0.2
14745600,301,48964,90,914.88116,450.0,0.0,0.0,0.9395024850964546,-4.298556177673163e-11,890,0.0003,-3.6412196632591277e-10,0.06965022915626833,0.008143790997564793,0.2
14909440,301,49505,91,1025.0032,450.0,0.0,0.0,0.9556227549910545,2.635567852848908e-10,900,0.0003,-2.9863870215510526e-10,0.04775505466643153,0.004107106942683458,0.2
15073280,301,50045,92,1067.3395,450.0,0.0,0.0,0.9423078633844852,-1.0601979738567024e-10,910,0.0003,-3.3449191470997543e-10,0.06553838680154513,0.03627665713429451,0.2
15237120,301,50583,93,1022.32764,450.0,0.0,0.0,0.9550569243729115,4.4475427785073405e-11,920,0.0003,-3.0432472078559563e-10,0.049300058428159446,0.024431051686406136,0.2
15400960,301,51127,94,824.18286,450.0,0.0,0.0,0.9456772990524769,-8.890538083505817e-11,930,0.0003,-2.979549606005197e-10,0.05987341987751279,0.015937253832817078,0.2
15564800,301,51665,95,1001.34924,450.0,0.0,0.0,0.9571881555020809,-8.763890946283936e-11,940,0.0003,-2.6723237735477444e-10,0.04444815654740978,0.028873588889837265,0.2
15728640,301,52241,96,889.3589,450.0,0.0,0.0,0.9440601319074631,-1.6189005691558123e-12,950,0.0003,-2.8757715901477337e-10,0.06100090568613723,0.0034057244192808867,0.2
15892480,301,52779,97,978.32544,450.0,0.0,0.0,0.9556882791221142,1.2066152521583716e-10,960,0.0003,-2.8101706861147736e-10,0.048022810487341305,0.0029402703512459993,0.2
16056320,301,53314,98,890.08954,450.0,0.0,0.0,0.9445836618542671,4.713456291938201e-12,970,0.0003,-2.839367055818172e-10,0.06145285897999202,0.0037092301063239574,0.2
16220160,301,53850,99,1024.9277,450.0,0.0,0.0,0.949326653033495,-4.2566625779727476e-11,980,0.0003,-2.3314714416178693e-10,0.051450579965990076,0.03713301569223404,0.2
16384000,301,54393,100,979.18823,450.0,0.0,0.0,0.9561018645763397,7.347580321948043e-11,990,0.0003,-2.650704804336621e-10,0.04817003919763238,0.0021980530582368374,0.2
16547840,301,54933,101,932.5906,450.0,0.0,0.0,0.9445591680705547,1.1280008038738742e-11,1000,0.0003,-2.722362844016584e-10,0.06098119792396574,0.05029493197798729,0.2
16711680,301,55474,102,1092.6088,450.0,0.0,0.0,0.9564645513892174,-4.398089004098438e-11,1010,0.0003,-2.7053563283764004e-10,0.047716230807889136,0.050195012241601944,0.2
