rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates
450.0,682.97705,163840,30,5290,1,,,,,,,,,,
450.0,687.5747,327680,460,711,2,-0.004018273920650474,0.5689606273821118,0.8223734498023987,164.38951110839844,0.999913330078125,715.213340857327,0.2,0.0003,456.03946,10
450.0,693.41437,491520,964,509,3,-1.9138147917591106e-11,1.1503857422212604e-10,0.767932116985321,93.56295776367188,0.0,182.9251381843537,0.2,0.0003,0.0,20
450.0,692.3047,655360,1568,417,4,-2.47648108943044e-11,-3.687631533466629e-11,0.8534675091505051,19.520164489746094,0.0,71.07869709087535,0.2,0.0003,0.0,30
450.0,692.9991,819200,2125,385,5,-1.6260962010108228e-11,-4.1225121094612405e-11,0.8727296143770218,17.19214630126953,0.0,40.87921838048845,0.2,0.0003,0.0,40
450.0,691.4015,983040,2707,363,6,-2.5145464383839586e-11,-1.9406343199079855e-11,0.897037111222744,8.452469825744629,0.0,25.646591981947424,0.2,0.0003,0.0,50
450.0,694.4506,1146880,3274,350,7,-2.2707759125302686e-11,7.381913746939973e-11,0.9054980576038361,7.518625259399414,0.0,16.513810719633476,0.2,0.0003,0.0,60
450.0,693.9168,1310720,3845,340,8,-2.1527903715747975e-11,5.2864379540551454e-11,0.9132856503129005,1.8002705574035645,0.0,11.837046560267918,0.2,0.0003,0.0,70
450.0,701.25745,1474560,4423,333,9,-1.5183310289705955e-11,2.2914719011168927e-11,0.9181697964668274,4.042078495025635,0.0,6.588737481804564,0.2,0.0003,0.0,80
450.0,694.48755,1638400,4986,328,10,-2.3183683005427718e-11,3.183231456205249e-12,0.9142059460282326,0.5863775014877319,0.0,4.501545176063664,0.2,0.0003,0.0,90
450.0,699.89404,1802240,5546,324,11,-6.332769831774743e-11,2.839442458935082e-11,0.9176855161786079,0.5853151082992554,0.0,2.567628782967804,0.2,0.0003,0.0,100
449.8,694.26154,1966080,6117,321,12,-2.4821599838229555e-11,-8.510596671840176e-11,0.9153817668557167,0.19870388507843018,0.0,1.7651599798852111,0.2,0.0003,0.0,110
450.0,698.1259,2129920,6683,318,13,-2.3361545954739848e-11,-1.1420297596487216e-10,0.9190079346299171,0.4124377965927124,0.0,1.0009629260370274,0.2,0.0003,0.0,120
450.0,696.3485,2293760,7258,316,14,-1.4971703065637666e-11,1.6189005691558123e-12,0.9150573909282684,0.1535092294216156,0.0,0.803936609144439,0.2,0.0003,0.0,130
