winner,loser
Tekus1E,Rookie
Rookie,Tekus1E
Rookie,Tekus1E
Rookie,Tekus1E
Rookie,Tekus1E
Tekus2A,Tekus1E
Tekus2A,Tekus1E
Tekus2A,Tekus1E
Tekus2A,Tekus1E
Tekus2A,Tekus1E
Tekus1E,Tekus1D
Tekus1E,Tekus1D
Tekus1E,Tekus1D
Tekus1E,Tekus1D
Tekus1D,Tekus1E
Tekus1D,Tekus1C
Tekus1E,Tekus1C
Tekus1E,Tekus1C
Tekus1E,Tekus1C
Tekus1E,Tekus1C
Rookie,Tekus2A
Rookie,Tekus2A
Rookie,Tekus2A
Rookie,Tekus2A
Rookie,Tekus2A
Tekus2A,Rookie
Rookie,Tekus2A
Rookie,Tekus2A
Rookie,Tekus2A
Rookie,Tekus2A
Tekus2A,Tekus1D
Tekus2A,Tekus1D
Tekus2A,Tekus1D
Tekus2A,Tekus1D
Tekus2A,Tekus1D
Tekus1D,Tekus2A
Rookie,Tekus1D
Rookie,Tekus1D
Rookie,Tekus1D
Rookie,Tekus1D
Rookie,Tekus1D
Rookie,Tekus1D
Rookie,Tekus1C
Rookie,Tekus1C
Rookie,Tekus1C
Tekus1C,Rookie
Rookie,Tekus1C
Rookie,Tekus1C
Pro,Rookie
Pro,Rookie
Rookie,Pro
Pro,Rookie
Rookie,Pro
Pro,Rookie
Pro,Rookie
Pro,Tekus2A
Pro,Tekus2A
Pro,Tekus2A
Pro,Tekus2A
Pro,Tekus2A
Rookie,Tekus2A
Tekus2A,Rookie
Rookie,Tekus2A
Rookie,Tekus2A
Rookie,Tekus2A
Rookie,Tekus2A
Tekus1E,Tekus2A
Tekus2A,Tekus1E
Tekus1E,Tekus2A
Tekus2A,Tekus1E
Tekus2A,Tekus1E
Tekus2A,Tekus1E
Tekus1E,Tekus1D
Tekus1D,Tekus1E
Tekus1E,Tekus1D
Tekus1D,Tekus1C 
Tekus1D,Tekus1C
Tekus1D,Tekus1C
Tekus1C,Tekus1D
Tekus1C,Tekus1D
Tekus1D,Tekus1C
Tekus1C,Tekus1E
Tekus1E,Tekus1C
Tekus1E,Tekus1C
